Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jan 8, 2024 12:00 AM to Sun, Jan 14, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,1,1,0,3
7:00AM - 7:59AM,0,2,1,0,1,0,0,4
8:00AM - 8:59AM,0,2,3,1,1,1,0,8
9:00AM - 9:59AM,0,0,3,0,2,2,1,8
10:00AM - 10:59AM,0,3,2,0,1,1,2,9
11:00AM - 11:59AM,0,4,3,2,3,2,1,15
12:00PM - 12:59PM,0,1,0,0,0,2,1,4
1:00PM - 1:59PM,0,0,1,3,2,0,1,7
2:00PM - 2:59PM,0,0,0,0,0,0,4,4
3:00PM - 3:59PM,0,0,1,1,0,2,0,4
4:00PM - 4:59PM,0,1,2,2,1,1,0,7
5:00PM - 5:59PM,0,0,1,1,4,1,0,7
6:00PM - 6:59PM,0,0,5,3,3,1,0,12
7:00PM - 7:59PM,0,0,1,2,1,0,0,4
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,14,24,15,20,14,10,97
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,5,8,3,7,2,0,25
7:00AM - 7:59AM,0,0,2,0,2,1,0,5
8:00AM - 8:59AM,0,1,0,3,0,0,0,4
9:00AM - 9:59AM,0,2,1,1,3,2,2,11
10:00AM - 10:59AM,0,1,3,3,0,4,2,13
11:00AM - 11:59AM,0,6,1,2,2,3,0,14
12:00PM - 12:59PM,0,3,4,1,3,1,1,13
1:00PM - 1:59PM,0,3,0,0,3,0,0,6
2:00PM - 2:59PM,0,1,0,3,0,3,0,7
3:00PM - 3:59PM,0,5,4,1,0,2,2,14
4:00PM - 4:59PM,0,4,3,2,4,5,1,19
5:00PM - 5:59PM,0,3,7,3,1,1,1,16
6:00PM - 6:59PM,0,2,5,2,4,0,0,13
7:00PM - 7:59PM,0,2,1,4,0,1,0,8
8:00PM - 8:59PM,0,2,0,3,1,0,0,6
9:00PM - 9:59PM,0,1,0,0,1,0,0,2
10:00PM - 10:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,42,39,31,31,25,9,177
Membership Type: Bushnell ,,,,,,,,
11:00AM - 11:59AM,0,0,0,0,0,0,1,1
2:00PM - 2:59PM,0,1,0,0,0,0,0,1
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
5:00PM - 5:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,1,0,0,1,1,1,4
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: Club Sports - Kendo - Limited Hours,,,,,,,,
3:00PM - 3:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,0,1,0,0,0,2
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,1,1,1,0,0,0,3
Membership Type: Club Sports - Weightlifting - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,0,1,0,0,0,2
Membership Totals:,0,1,0,1,0,0,0,2
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
7:00PM - 7:59PM,0,0,1,1,0,0,0,2
Membership Totals:,0,0,1,1,0,0,0,2
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,1,0,0,1
5:00PM - 5:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,1,0,0,2
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,4,4,5,4,3,0,20
7:00AM - 7:59AM,0,2,3,2,1,2,0,10
8:00AM - 8:59AM,0,1,1,3,4,1,0,10
9:00AM - 9:59AM,0,1,4,3,2,4,2,16
10:00AM - 10:59AM,0,3,3,1,1,4,4,16
11:00AM - 11:59AM,0,1,2,1,2,3,5,14
12:00PM - 12:59PM,0,1,4,1,2,1,0,9
1:00PM - 1:59PM,0,2,3,3,3,2,2,15
2:00PM - 2:59PM,0,1,2,2,6,0,1,12
3:00PM - 3:59PM,0,5,3,6,4,5,0,23
4:00PM - 4:59PM,0,5,1,7,3,5,2,23
5:00PM - 5:59PM,0,3,3,5,5,7,1,24
6:00PM - 6:59PM,0,2,5,5,3,4,1,20
7:00PM - 7:59PM,0,3,4,3,1,0,0,11
8:00PM - 8:59PM,0,2,4,1,2,1,0,10
9:00PM - 9:59PM,0,0,2,1,0,0,0,3
Membership Totals:,0,36,48,49,43,42,18,236
Membership Type: Courtesy,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,0,0,0,1,0,1
6:00AM - 6:59AM,0,223,159,182,99,63,0,726
7:00AM - 7:59AM,0,293,214,283,151,74,0,1015
8:00AM - 8:59AM,0,354,295,347,266,149,0,1411
9:00AM - 9:59AM,0,336,389,334,310,175,117,1661
10:00AM - 10:59AM,0,349,347,255,305,248,133,1637
11:00AM - 11:59AM,0,379,384,331,341,296,207,1938
12:00PM - 12:59PM,0,374,274,338,233,255,206,1680
1:00PM - 1:59PM,0,379,532,359,480,271,165,2186
2:00PM - 2:59PM,0,328,393,308,363,291,180,1863
3:00PM - 3:59PM,0,392,413,363,355,343,164,2030
4:00PM - 4:59PM,0,360,438,412,359,343,145,2057
5:00PM - 5:59PM,0,380,591,500,454,287,113,2325
6:00PM - 6:59PM,0,509,559,577,436,226,77,2384
7:00PM - 7:59PM,0,321,416,390,351,158,30,1666
8:00PM - 8:59PM,0,439,261,241,182,32,0,1155
9:00PM - 9:59PM,0,134,99,92,133,0,0,458
10:00PM - 10:59PM,0,24,10,17,11,0,0,62
Membership Totals:,0,5574,5774,5329,4829,3212,1537,26255
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,0,2,0,3,0,0,5
8:00AM - 8:59AM,0,2,0,0,3,1,0,6
9:00AM - 9:59AM,0,1,2,4,2,2,0,11
10:00AM - 10:59AM,0,3,0,2,0,1,1,7
11:00AM - 11:59AM,0,2,1,1,0,1,1,6
12:00PM - 12:59PM,0,3,0,0,0,4,3,10
1:00PM - 1:59PM,0,1,3,1,1,3,2,11
2:00PM - 2:59PM,0,1,3,1,0,1,2,8
3:00PM - 3:59PM,0,0,2,0,0,0,0,2
4:00PM - 4:59PM,0,5,1,3,2,0,0,11
5:00PM - 5:59PM,0,2,4,7,5,6,0,24
6:00PM - 6:59PM,0,2,2,6,3,4,0,17
7:00PM - 7:59PM,0,2,2,0,2,3,0,9
8:00PM - 8:59PM,0,0,0,0,1,0,0,1
9:00PM - 9:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,24,23,25,23,26,9,130
Membership Type: Faculty/Staff,,,,,,,,
6:00AM - 6:59AM,0,9,6,4,5,2,0,26
7:00AM - 7:59AM,0,8,6,8,5,9,0,36
8:00AM - 8:59AM,0,5,5,3,2,4,0,19
9:00AM - 9:59AM,0,3,4,2,4,3,2,18
10:00AM - 10:59AM,0,8,12,4,9,6,2,41
11:00AM - 11:59AM,0,16,16,19,15,13,3,82
12:00PM - 12:59PM,0,14,11,7,8,10,2,52
1:00PM - 1:59PM,0,6,4,3,7,1,2,23
2:00PM - 2:59PM,0,3,2,5,4,4,4,22
3:00PM - 3:59PM,0,9,1,5,9,6,1,31
4:00PM - 4:59PM,0,12,8,8,7,9,0,44
5:00PM - 5:59PM,0,12,17,14,13,5,0,61
6:00PM - 6:59PM,0,1,8,8,6,4,1,28
7:00PM - 7:59PM,0,1,1,3,3,1,1,10
8:00PM - 8:59PM,0,1,0,1,1,1,0,4
9:00PM - 9:59PM,0,2,1,3,2,0,0,8
Membership Totals:,0,110,102,97,100,78,18,505
Membership Type: PE & Rec Staff,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,0,1,0,1
8:00AM - 8:59AM,0,0,1,0,2,1,0,4
10:00AM - 10:59AM,0,0,0,0,0,0,1,1
11:00AM - 11:59AM,0,1,1,0,0,2,0,4
2:00PM - 2:59PM,0,1,0,1,0,0,0,2
3:00PM - 3:59PM,0,0,1,0,1,0,0,2
4:00PM - 4:59PM,0,0,0,1,0,0,0,1
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
9:00PM - 9:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,2,4,3,3,4,1,17
Membership Type: Student Off Term,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,0,0,0,1,0,0,1
8:00AM - 8:59AM,0,0,1,0,0,0,0,1
9:00AM - 9:59AM,0,0,1,1,1,0,0,3
10:00AM - 10:59AM,0,0,1,2,1,2,1,7
12:00PM - 12:59PM,0,1,0,0,1,1,0,3
1:00PM - 1:59PM,0,0,2,0,0,1,0,3
2:00PM - 2:59PM,0,0,0,2,2,0,0,4
3:00PM - 3:59PM,0,1,0,0,1,3,1,6
4:00PM - 4:59PM,0,1,2,2,0,1,0,6
5:00PM - 5:59PM,0,1,1,4,1,0,1,8
6:00PM - 6:59PM,0,0,1,0,1,0,1,3
7:00PM - 7:59PM,0,3,1,0,1,1,0,6
8:00PM - 8:59PM,0,1,1,0,0,0,0,2
9:00PM - 9:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,8,12,12,10,9,4,55
Totals:,0,5815,6028,5565,5062,3411,1607,27488
"Mon, Feb 10 2025 11:07A",,,,,,,,Page: 1/1
