Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Apr 29, 2024 12:00 AM to Sun, May 5, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,2,1,1,0,5
7:00AM - 7:59AM,0,0,1,1,1,0,0,3
8:00AM - 8:59AM,0,0,2,1,0,0,0,3
9:00AM - 9:59AM,2,0,1,0,0,0,1,4
10:00AM - 10:59AM,2,2,2,0,2,1,3,12
11:00AM - 11:59AM,0,5,3,2,3,2,3,18
12:00PM - 12:59PM,1,1,1,1,1,3,1,9
1:00PM - 1:59PM,3,0,1,0,0,0,1,5
2:00PM - 2:59PM,0,0,1,0,1,0,1,3
3:00PM - 3:59PM,0,0,0,2,0,0,1,3
4:00PM - 4:59PM,0,2,2,1,1,2,0,8
5:00PM - 5:59PM,0,3,6,0,5,1,1,16
6:00PM - 6:59PM,2,1,3,0,2,0,3,11
7:00PM - 7:59PM,1,1,2,0,0,1,0,5
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
Membership Totals:,11,16,25,11,17,11,15,106
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,5,8,5,9,4,0,31
7:00AM - 7:59AM,0,1,3,1,1,0,0,6
8:00AM - 8:59AM,0,0,4,5,2,2,0,13
9:00AM - 9:59AM,2,3,2,2,2,2,2,15
10:00AM - 10:59AM,1,2,0,2,4,2,5,16
11:00AM - 11:59AM,1,3,1,2,1,3,1,12
12:00PM - 12:59PM,1,1,0,1,2,0,1,6
1:00PM - 1:59PM,0,3,2,1,2,1,2,11
2:00PM - 2:59PM,1,2,1,2,0,2,1,9
3:00PM - 3:59PM,2,1,1,0,2,1,4,11
4:00PM - 4:59PM,1,2,2,5,3,2,2,17
5:00PM - 5:59PM,1,4,6,2,3,1,1,18
6:00PM - 6:59PM,1,3,5,3,3,3,2,20
7:00PM - 7:59PM,2,3,2,0,0,1,4,12
8:00PM - 8:59PM,0,3,1,1,1,1,0,7
9:00PM - 9:59PM,0,3,2,1,2,0,0,8
10:00PM - 10:59PM,0,0,1,1,0,0,0,2
Membership Totals:,13,39,41,34,37,25,25,214
Membership Type: Bushnell ,,,,,,,,
9:00AM - 9:59AM,0,0,0,1,0,0,0,1
10:00AM - 10:59AM,1,0,0,0,0,0,0,1
12:00PM - 12:59PM,0,0,0,0,1,0,0,1
4:00PM - 4:59PM,1,0,0,0,0,0,0,1
5:00PM - 5:59PM,0,0,0,1,1,0,0,2
Membership Totals:,2,0,0,2,2,0,0,6
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,1,0,0,0,0,1
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
