Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, May 13, 2024 12:00 AM to Sun, May 19, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,1,1,0,3
7:00AM - 7:59AM,0,2,1,2,0,0,0,5
8:00AM - 8:59AM,0,0,2,0,1,1,0,4
9:00AM - 9:59AM,4,0,1,0,0,2,3,10
10:00AM - 10:59AM,1,1,1,0,0,3,2,8
11:00AM - 11:59AM,3,1,0,4,0,4,0,12
12:00PM - 12:59PM,0,1,3,0,0,2,1,7
1:00PM - 1:59PM,2,0,1,0,1,2,1,7
2:00PM - 2:59PM,0,2,0,1,0,0,0,3
3:00PM - 3:59PM,0,0,1,1,1,2,1,6
4:00PM - 4:59PM,0,1,0,1,0,0,0,2
5:00PM - 5:59PM,1,0,1,0,7,3,1,13
6:00PM - 6:59PM,0,0,1,0,3,0,0,4
7:00PM - 7:59PM,0,1,1,1,1,0,0,4
Membership Totals:,11,9,13,11,15,20,9,88
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,8,7,4,5,0,0,24
7:00AM - 7:59AM,0,2,1,2,1,1,0,7
8:00AM - 8:59AM,0,1,4,3,3,0,0,11
9:00AM - 9:59AM,0,3,1,3,1,3,5,16
10:00AM - 10:59AM,6,2,5,2,2,2,1,20
11:00AM - 11:59AM,2,1,4,2,2,5,1,17
12:00PM - 12:59PM,0,2,0,1,1,1,2,7
1:00PM - 1:59PM,2,0,1,1,1,0,1,6
2:00PM - 2:59PM,4,3,0,1,1,1,2,12
3:00PM - 3:59PM,0,5,1,3,1,3,2,15
4:00PM - 4:59PM,2,3,4,2,3,0,0,14
5:00PM - 5:59PM,0,3,5,3,1,1,2,15
6:00PM - 6:59PM,0,3,5,3,2,2,2,17
7:00PM - 7:59PM,1,2,1,1,1,1,2,9
8:00PM - 8:59PM,0,5,0,2,0,1,0,8
9:00PM - 9:59PM,0,3,2,0,0,0,0,5
10:00PM - 10:59PM,0,0,0,0,1,0,0,1
Membership Totals:,17,46,41,33,26,21,20,204
Membership Type: Bushnell ,,,,,,,,
7:00AM - 7:59AM,0,0,1,0,0,0,0,1
9:00AM - 9:59AM,0,1,0,1,0,0,0,2
10:00AM - 10:59AM,1,1,0,0,0,0,0,2
3:00PM - 3:59PM,0,0,1,0,0,1,0,2
4:00PM - 4:59PM,0,1,0,1,0,0,0,2
5:00PM - 5:59PM,0,1,1,2,0,0,0,4
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,1,4,3,5,0,1,0,14
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: Club Sports - Kendo - Limited Hours,,,,,,,,
3:00PM - 3:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,2,0,0,0,0,0,2
5:00PM - 5:59PM,0,0,0,2,2,0,0,4
Membership Totals:,0,2,0,2,2,0,0,6
Membership Type: Community Membership,,,,,,,,
5:00AM - 5:59AM,0,0,0,0,0,1,0,1
6:00AM - 6:59AM,0,3,4,5,6,1,0,19
7:00AM - 7:59AM,0,3,4,2,0,0,0,9
8:00AM - 8:59AM,0,2,1,2,4,1,0,10
9:00AM - 9:59AM,1,1,1,4,1,3,0,11
10:00AM - 10:59AM,3,4,3,2,2,3,1,18
11:00AM - 11:59AM,0,1,1,2,2,3,1,10
12:00PM - 12:59PM,1,1,2,2,3,2,1,12
1:00PM - 1:59PM,0,2,3,0,0,1,3,9
2:00PM - 2:59PM,4,3,2,0,3,1,2,15
3:00PM - 3:59PM,2,4,3,3,4,5,2,23
4:00PM - 4:59PM,0,3,5,5,4,5,2,24
5:00PM - 5:59PM,3,9,10,6,2,4,3,37
6:00PM - 6:59PM,0,2,3,4,3,1,1,14
7:00PM - 7:59PM,3,2,1,1,0,2,0,9
8:00PM - 8:59PM,1,1,1,1,0,0,0,4
9:00PM - 9:59PM,0,1,0,1,2,0,0,4
Membership Totals:,18,42,44,40,36,33,16,229
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,1,0,0,0,4,0,5
6:00AM - 6:59AM,0,84,106,99,91,48,0,428
7:00AM - 7:59AM,0,132,170,190,132,62,0,686
8:00AM - 8:59AM,0,221,237,279,199,109,0,1045
9:00AM - 9:59AM,102,279,293,323,282,147,173,1599
10:00AM - 10:59AM,75,253,320,260,303,170,99,1480
11:00AM - 11:59AM,86,288,318,281,292,226,143,1634
12:00PM - 12:59PM,117,258,272,236,247,184,112,1426
1:00PM - 1:59PM,96,302,379,302,287,213,148,1727
2:00PM - 2:59PM,113,295,319,220,299,206,146,1598
3:00PM - 3:59PM,165,349,336,284,362,190,171,1857
4:00PM - 4:59PM,142,350,396,327,301,216,117,1849
5:00PM - 5:59PM,142,389,383,330,284,168,114,1810
6:00PM - 6:59PM,119,342,374,315,189,138,95,1572
7:00PM - 7:59PM,126,303,246,217,184,118,89,1283
8:00PM - 8:59PM,55,225,216,190,141,44,21,892
9:00PM - 9:59PM,0,159,143,140,83,0,0,525
10:00PM - 10:59PM,0,19,28,41,29,0,0,117
Membership Totals:,1338,4249,4536,4034,3705,2243,1428,21533
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,1,0,0,2
7:00AM - 7:59AM,0,1,0,0,1,0,0,2
8:00AM - 8:59AM,0,0,2,0,1,1,0,4
9:00AM - 9:59AM,2,1,1,1,2,0,0,7
10:00AM - 10:59AM,2,1,0,0,0,2,1,6
11:00AM - 11:59AM,1,3,1,3,0,1,2,11
12:00PM - 12:59PM,0,1,0,0,0,1,1,3
1:00PM - 1:59PM,1,3,0,0,1,0,2,7
2:00PM - 2:59PM,0,0,0,2,3,1,0,6
3:00PM - 3:59PM,0,0,0,0,0,0,1,1
4:00PM - 4:59PM,0,1,3,4,3,1,0,12
5:00PM - 5:59PM,0,2,5,4,2,0,0,13
6:00PM - 6:59PM,0,2,5,2,1,0,0,10
7:00PM - 7:59PM,0,0,0,3,1,0,0,4
8:00PM - 8:59PM,1,1,1,0,0,2,0,5
9:00PM - 9:59PM,0,1,0,0,0,0,0,1
10:00PM - 10:59PM,0,0,0,1,0,0,0,1
Membership Totals:,7,17,19,20,16,9,7,95
Membership Type: Faculty/Staff,,,,,,,,
6:00AM - 6:59AM,0,3,3,3,6,3,0,18
7:00AM - 7:59AM,0,6,5,10,5,5,0,31
8:00AM - 8:59AM,0,0,3,1,3,3,0,10
9:00AM - 9:59AM,7,2,7,2,5,4,1,28
10:00AM - 10:59AM,7,8,6,2,7,6,7,43
11:00AM - 11:59AM,5,16,18,5,8,11,4,67
12:00PM - 12:59PM,7,9,10,12,10,5,2,55
1:00PM - 1:59PM,1,6,3,2,4,3,2,21
2:00PM - 2:59PM,2,2,2,3,4,3,6,22
3:00PM - 3:59PM,1,3,4,5,6,1,1,21
4:00PM - 4:59PM,1,6,9,9,17,5,1,48
5:00PM - 5:59PM,2,15,24,11,11,7,0,70
6:00PM - 6:59PM,2,7,6,6,1,5,2,29
7:00PM - 7:59PM,1,2,2,3,2,1,0,11
8:00PM - 8:59PM,2,1,1,2,0,1,0,7
9:00PM - 9:59PM,0,1,2,3,1,0,0,7
10:00PM - 10:59PM,0,0,0,1,0,0,0,1
Membership Totals:,38,87,105,80,90,63,26,489
Membership Type: PE & Rec Staff,,,,,,,,
7:00AM - 7:59AM,0,1,1,0,1,0,0,3
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,1,0,1,0,1,1,4
10:00AM - 10:59AM,0,1,0,0,1,1,0,3
11:00AM - 11:59AM,0,1,1,1,2,0,0,5
1:00PM - 1:59PM,0,0,0,0,0,0,1,1
2:00PM - 2:59PM,0,1,0,1,0,0,1,3
5:00PM - 5:59PM,0,0,0,1,1,0,0,2
6:00PM - 6:59PM,1,1,1,0,0,0,0,3
7:00PM - 7:59PM,1,0,0,0,0,0,0,1
Membership Totals:,2,7,3,4,5,2,3,26
Membership Type: Student Off Term,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,0,2,0,2
7:00AM - 7:59AM,0,0,1,2,2,0,0,5
8:00AM - 8:59AM,0,2,3,1,2,0,0,8
9:00AM - 9:59AM,0,0,2,4,2,1,0,9
10:00AM - 10:59AM,1,2,1,1,2,2,1,10
11:00AM - 11:59AM,0,1,2,2,2,1,1,9
12:00PM - 12:59PM,1,3,1,2,2,2,1,12
1:00PM - 1:59PM,1,0,1,2,1,3,0,8
2:00PM - 2:59PM,4,3,4,1,1,0,3,16
3:00PM - 3:59PM,0,1,3,4,5,0,1,14
4:00PM - 4:59PM,1,0,2,4,1,1,1,10
5:00PM - 5:59PM,2,5,1,3,3,2,1,17
