Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Nov 25, 2024 12:00 AM to Sun, Dec 1, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,5,0,0,0,0,0,5
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,1,0,3,0,0,0,4
10:00AM - 10:59AM,0,0,1,2,0,0,0,3
11:00AM - 11:59AM,0,2,4,0,0,0,0,6
12:00PM - 12:59PM,0,1,2,1,0,0,0,4
1:00PM - 1:59PM,0,0,1,1,0,0,0,2
2:00PM - 2:59PM,0,1,0,1,0,0,0,2
3:00PM - 3:59PM,0,0,1,2,0,0,0,3
4:00PM - 4:59PM,0,3,0,1,0,0,0,4
5:00PM - 5:59PM,0,4,1,1,0,0,0,6
6:00PM - 6:59PM,0,2,0,0,0,0,0,2
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,21,10,12,0,0,0,43
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,6,2,2,0,0,0,10
7:00AM - 7:59AM,0,0,2,0,0,0,0,2
8:00AM - 8:59AM,0,0,1,0,0,0,0,1
9:00AM - 9:59AM,0,1,0,3,0,0,0,4
10:00AM - 10:59AM,0,6,2,3,0,0,0,11
11:00AM - 11:59AM,0,4,1,3,0,0,0,8
12:00PM - 12:59PM,0,0,1,1,0,0,0,2
1:00PM - 1:59PM,0,1,0,0,0,0,0,1
2:00PM - 2:59PM,0,2,0,1,0,0,0,3
3:00PM - 3:59PM,0,2,3,1,0,0,0,6
4:00PM - 4:59PM,0,3,2,2,0,0,0,7
5:00PM - 5:59PM,0,4,6,3,0,0,0,13
6:00PM - 6:59PM,0,4,4,4,0,0,0,12
7:00PM - 7:59PM,0,2,5,1,0,0,0,8
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
9:00PM - 9:59PM,0,2,0,0,0,0,0,2
Membership Totals:,0,38,29,24,0,0,0,91
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,4,4,0,0,0,0,8
7:00AM - 7:59AM,0,1,2,0,0,0,0,3
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,1,1,2,0,0,0,4
10:00AM - 10:59AM,0,0,1,4,0,0,0,5
11:00AM - 11:59AM,0,2,0,5,0,0,0,7
12:00PM - 12:59PM,0,0,0,1,0,0,0,1
1:00PM - 1:59PM,0,3,2,4,0,0,0,9
2:00PM - 2:59PM,0,2,0,1,0,0,0,3
3:00PM - 3:59PM,0,4,1,4,0,0,0,9
4:00PM - 4:59PM,0,2,2,1,0,0,0,5
5:00PM - 5:59PM,0,1,4,0,0,0,0,5
6:00PM - 6:59PM,0,1,5,1,0,0,0,7
7:00PM - 7:59PM,0,2,1,1,0,0,0,4
8:00PM - 8:59PM,0,2,0,0,0,0,0,2
9:00PM - 9:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,27,23,24,0,0,0,74
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,87,59,31,0,0,0,177
7:00AM - 7:59AM,0,108,87,50,0,0,0,245
8:00AM - 8:59AM,0,168,135,113,0,0,0,416
9:00AM - 9:59AM,0,238,194,158,0,0,0,590
10:00AM - 10:59AM,0,200,169,137,0,0,0,506
11:00AM - 11:59AM,0,222,220,154,0,0,0,596
12:00PM - 12:59PM,0,238,161,120,0,0,0,519
1:00PM - 1:59PM,0,255,197,95,0,0,0,547
2:00PM - 2:59PM,0,233,191,108,0,0,0,532
3:00PM - 3:59PM,0,307,225,86,0,0,0,618
4:00PM - 4:59PM,0,331,227,115,0,0,0,673
5:00PM - 5:59PM,0,332,277,88,0,0,0,697
6:00PM - 6:59PM,0,326,222,61,0,0,0,609
7:00PM - 7:59PM,0,265,63,15,0,0,0,343
8:00PM - 8:59PM,0,170,0,0,0,0,0,170
9:00PM - 9:59PM,0,112,0,0,0,0,0,112
10:00PM - 10:59PM,0,26,0,0,0,0,0,26
Membership Totals:,0,3618,2427,1331,0,0,0,7376
Membership Type: Current Student 1,,,,,,,,
11:00AM - 11:59AM,0,1,0,0,0,0,0,1
2:00PM - 2:59PM,0,1,0,0,0,0,0,1
5:00PM - 5:59PM,0,1,1,0,0,0,0,2
6:00PM - 6:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,3,1,1,0,0,0,5
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,3,1,0,0,0,0,4
8:00AM - 8:59AM,0,2,0,0,0,0,0,2
9:00AM - 9:59AM,0,0,0,3,0,0,0,3
10:00AM - 10:59AM,0,0,1,2,0,0,0,3
11:00AM - 11:59AM,0,1,1,1,0,0,0,3
12:00PM - 12:59PM,0,1,1,0,0,0,0,2
1:00PM - 1:59PM,0,3,0,0,0,0,0,3
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
3:00PM - 3:59PM,0,0,2,3,0,0,0,5
4:00PM - 4:59PM,0,4,3,4,0,0,0,11
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
6:00PM - 6:59PM,0,0,1,1,0,0,0,2
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,16,11,15,0,0,0,42
Membership Type: Faculty/Staff,,,,,,,,
6:00AM - 6:59AM,0,8,4,4,0,0,0,16
7:00AM - 7:59AM,0,7,4,1,0,0,0,12
8:00AM - 8:59AM,0,2,3,5,0,0,0,10
9:00AM - 9:59AM,0,5,5,6,0,0,0,16
10:00AM - 10:59AM,0,7,8,8,0,0,0,23
11:00AM - 11:59AM,0,8,15,11,0,0,0,34
12:00PM - 12:59PM,0,9,13,8,0,0,0,30
1:00PM - 1:59PM,0,6,3,1,0,0,0,10
2:00PM - 2:59PM,0,4,3,1,0,0,0,8
3:00PM - 3:59PM,0,4,6,5,0,0,0,15
4:00PM - 4:59PM,0,9,13,6,0,0,0,28
5:00PM - 5:59PM,0,17,12,5,0,0,0,34
