Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Sep 16, 2024 12:00 AM to Sun, Sep 22, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,6,5,3,0,2,0,16
11:00AM - 11:59AM,0,3,0,2,0,4,0,9
12:00PM - 12:59PM,0,2,2,0,1,2,0,7
1:00PM - 1:59PM,0,1,2,1,0,0,0,4
2:00PM - 2:59PM,0,0,3,0,1,1,0,5
3:00PM - 3:59PM,0,4,0,0,1,0,0,5
4:00PM - 4:59PM,0,4,1,2,0,0,0,7
5:00PM - 5:59PM,0,0,2,0,0,1,0,3
6:00PM - 6:59PM,0,2,2,2,1,2,0,9
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,22,18,10,4,12,0,66
Membership Type: Alumni Members,,,,,,,,
10:00AM - 10:59AM,0,4,3,4,0,4,0,15
11:00AM - 11:59AM,0,2,3,0,4,3,0,12
12:00PM - 12:59PM,0,1,1,1,1,0,0,4
1:00PM - 1:59PM,0,1,0,0,1,0,0,2
2:00PM - 2:59PM,0,0,1,0,0,0,0,1
3:00PM - 3:59PM,0,3,1,1,1,2,0,8
4:00PM - 4:59PM,0,3,6,3,5,1,0,18
5:00PM - 5:59PM,0,3,2,3,5,6,0,19
6:00PM - 6:59PM,0,5,5,5,1,0,0,16
7:00PM - 7:59PM,0,0,1,1,1,3,0,6
Membership Totals:,0,22,23,18,19,19,0,101
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,4,1,3,6,5,0,19
11:00AM - 11:59AM,0,4,1,3,0,1,0,9
12:00PM - 12:59PM,0,1,3,2,1,0,0,7
1:00PM - 1:59PM,0,0,1,2,2,0,0,5
2:00PM - 2:59PM,0,2,2,1,1,1,0,7
3:00PM - 3:59PM,0,4,2,2,2,1,0,11
4:00PM - 4:59PM,0,0,3,3,2,4,0,12
5:00PM - 5:59PM,0,3,4,2,4,2,0,15
6:00PM - 6:59PM,0,2,2,2,1,1,0,8
Membership Totals:,0,20,19,20,19,15,0,93
Membership Type: Current Student,,,,,,,,
10:00AM - 10:59AM,0,44,49,126,120,101,0,440
11:00AM - 11:59AM,0,29,22,90,105,120,0,366
12:00PM - 12:59PM,0,24,22,125,51,93,0,315
1:00PM - 1:59PM,0,22,22,92,84,94,0,314
2:00PM - 2:59PM,0,22,17,59,76,68,0,242
3:00PM - 3:59PM,0,27,24,53,63,75,0,242
4:00PM - 4:59PM,0,26,26,62,69,60,0,243
5:00PM - 5:59PM,0,18,24,62,66,51,0,221
6:00PM - 6:59PM,0,14,20,57,46,38,0,175
7:00PM - 7:59PM,0,1,5,30,17,30,0,83
Membership Totals:,0,227,231,756,697,730,0,2641
Membership Type: Dependent/Spouse,,,,,,,,
10:00AM - 10:59AM,0,1,1,2,3,2,0,9
11:00AM - 11:59AM,0,1,0,0,0,1,0,2
12:00PM - 12:59PM,0,0,0,2,1,0,0,3
1:00PM - 1:59PM,0,0,0,0,1,0,0,1
2:00PM - 2:59PM,0,1,0,0,0,0,0,1
3:00PM - 3:59PM,0,2,0,1,1,1,0,5
4:00PM - 4:59PM,0,0,1,1,1,0,0,3
5:00PM - 5:59PM,0,2,2,1,1,0,0,6
6:00PM - 6:59PM,0,0,0,0,0,2,0,2
Membership Totals:,0,7,4,7,8,6,0,32
Membership Type: Faculty/Staff,,,,,,,,
10:00AM - 10:59AM,0,10,10,6,12,10,0,48
11:00AM - 11:59AM,0,13,14,12,13,7,0,59
12:00PM - 12:59PM,0,14,11,9,8,9,0,51
1:00PM - 1:59PM,0,8,6,3,3,4,0,24
2:00PM - 2:59PM,0,3,5,2,3,3,0,16
3:00PM - 3:59PM,0,3,4,3,3,3,0,16
4:00PM - 4:59PM,0,4,7,5,4,10,0,30
5:00PM - 5:59PM,0,7,10,10,5,4,0,36
6:00PM - 6:59PM,0,2,6,2,4,6,0,20
7:00PM - 7:59PM,0,0,0,0,2,1,0,3
Membership Totals:,0,64,73,52,57,57,0,303
Membership Type: PE & Rec Staff,,,,,,,,
9:00AM - 9:59AM,0,2,0,0,0,0,0,2
10:00AM - 10:59AM,0,1,1,0,0,0,0,2
11:00AM - 11:59AM,0,0,1,2,1,1,0,5
12:00PM - 12:59PM,0,1,1,1,1,2,0,6
1:00PM - 1:59PM,0,1,0,1,1,0,0,3
2:00PM - 2:59PM,0,1,2,1,1,0,0,5
3:00PM - 3:59PM,0,0,0,4,1,3,0,8
4:00PM - 4:59PM,0,1,2,0,1,2,0,6
5:00PM - 5:59PM,0,0,3,0,2,0,0,5
6:00PM - 6:59PM,0,2,0,2,2,0,0,6
Membership Totals:,0,9,10,11,10,8,0,48
Membership Type: Student Off Term,,,,,,,,
10:00AM - 10:59AM,0,23,15,13,16,15,0,82
11:00AM - 11:59AM,0,15,13,15,12,13,0,68
12:00PM - 12:59PM,0,11,10,15,5,9,0,50
1:00PM - 1:59PM,0,6,12,10,8,10,0,46
2:00PM - 2:59PM,0,14,4,5,10,6,0,39
3:00PM - 3:59PM,0,23,12,14,10,10,0,69
4:00PM - 4:59PM,0,20,30,20,26,7,0,103
5:00PM - 5:59PM,0,23,31,21,13,13,0,101
6:00PM - 6:59PM,0,15,19,24,21,8,0,87
7:00PM - 7:59PM,0,4,1,6,4,5,0,20
Membership Totals:,0,154,147,143,125,96,0,665
Totals:,0,525,525,1017,939,943,0,3949
"Mon, Feb 10 2025 11:13A",,,,,,,,Page: 1/1
