Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Aug 26, 2024 12:00 AM to Sun, Sep 1, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,2,0,1,0,0,3
7:00AM - 7:59AM,0,0,4,1,0,3,0,8
8:00AM - 8:59AM,0,0,0,0,1,0,0,1
9:00AM - 9:59AM,0,1,0,1,1,1,0,4
10:00AM - 10:59AM,0,2,0,2,1,0,0,5
11:00AM - 11:59AM,0,4,3,2,3,6,0,18
12:00PM - 12:59PM,0,5,2,3,0,3,0,13
1:00PM - 1:59PM,0,0,2,1,0,1,0,4
2:00PM - 2:59PM,0,1,1,2,0,0,0,4
3:00PM - 3:59PM,0,3,0,2,3,0,0,8
4:00PM - 4:59PM,0,3,4,4,0,2,0,13
5:00PM - 5:59PM,0,5,3,0,2,2,0,12
6:00PM - 6:59PM,0,0,1,2,5,2,0,10
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,24,23,20,17,20,0,104
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,1,2,1,1,0,8
7:00AM - 7:59AM,0,0,0,0,1,0,0,1
8:00AM - 8:59AM,0,0,1,0,0,0,0,1
9:00AM - 9:59AM,0,0,0,2,1,1,0,4
10:00AM - 10:59AM,0,2,0,0,1,2,0,5
11:00AM - 11:59AM,0,2,2,3,4,2,0,13
12:00PM - 12:59PM,0,4,1,0,1,2,0,8
1:00PM - 1:59PM,0,1,2,0,0,2,0,5
2:00PM - 2:59PM,0,0,0,2,1,2,0,5
3:00PM - 3:59PM,0,1,2,0,0,0,0,3
4:00PM - 4:59PM,0,4,2,4,1,5,0,16
5:00PM - 5:59PM,0,5,4,1,4,5,0,19
6:00PM - 6:59PM,0,6,5,9,2,2,0,24
7:00PM - 7:59PM,0,1,1,0,1,0,0,3
Membership Totals:,0,29,21,23,18,24,0,115
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,0,0,1,0,3
7:00AM - 7:59AM,0,2,0,1,1,0,0,4
8:00AM - 8:59AM,0,0,0,0,1,0,0,1
9:00AM - 9:59AM,0,0,0,0,0,1,0,1
10:00AM - 10:59AM,0,1,1,1,0,0,0,3
11:00AM - 11:59AM,0,2,0,1,1,2,0,6
12:00PM - 12:59PM,0,0,0,3,2,2,0,7
1:00PM - 1:59PM,0,2,1,0,0,0,0,3
2:00PM - 2:59PM,0,0,0,0,0,1,0,1
3:00PM - 3:59PM,0,2,1,0,3,2,0,8
4:00PM - 4:59PM,0,0,2,0,1,0,0,3
5:00PM - 5:59PM,0,2,3,4,2,0,0,11
6:00PM - 6:59PM,0,2,2,1,1,0,0,6
Membership Totals:,0,14,11,11,12,9,0,57
Membership Type: Current Student,,,,,,,,
