"","date","nonmembers","alumni","community_members","students","faculty_staff","pe_staff","other","total"
"1",2015-01-05,7,34,22,6796,2,79,0,6940
"2",2015-01-06,10,29,35,6181,2,447,0,6704
"3",2015-01-07,15,34,45,5843,68,204,0,6209
"4",2015-01-08,9,25,46,5097,1,19,0,5197
"5",2015-01-09,13,30,45,4219,0,117,0,4424
"6",2015-01-10,8,19,30,2715,0,3,0,2775
"7",2015-01-11,8,19,40,2843,0,6,0,2916
"8",2015-01-12,5,27,23,2980,0,22,0,3057
"9",2015-01-13,8,28,42,4988,6,41,0,5113
"10",2015-01-14,9,39,44,5606,0,25,1,5724
"11",2015-01-15,14,28,45,5046,0,18,1,5152
"12",2015-01-16,13,34,61,3496,1,12,0,3617
"13",2015-01-17,6,19,29,2441,0,1,0,2496
"14",2015-01-18,3,22,26,2174,1,1,0,2227
"15",2015-01-19,10,26,32,2526,0,1,0,2595
"16",2015-01-20,14,44,63,5376,1,19,2,5519
"17",2015-01-21,9,46,55,5322,0,18,2,5452
"18",2015-01-22,7,33,54,5278,0,16,2,5390
"19",2015-01-23,12,28,47,4062,0,9,2,4160
"20",2015-01-24,2,26,36,2551,0,1,0,2616
"21",2015-01-25,6,14,35,2216,0,3,0,2274
"22",2015-01-26,14,44,58,5153,0,16,4,5289
"23",2015-01-27,6,45,70,4831,0,14,2,4968
"24",2015-01-28,11,39,67,5005,0,14,5,5141
"25",2015-01-29,12,33,57,4782,0,9,2,4895
"26",2015-01-30,11,37,55,3441,0,7,1,3552
"27",2015-01-31,8,22,39,2348,0,1,0,2418
"28",2015-02-01,5,21,26,1670,0,3,0,1725
"29",2015-02-02,15,42,68,5172,0,17,4,5318
"30",2015-02-03,10,40,54,4974,0,21,3,5102
"31",2015-02-04,8,30,60,4963,0,14,2,5077
"32",2015-02-05,11,27,65,4672,0,16,2,4793
"33",2015-02-06,9,44,50,3476,0,11,2,3592
"34",2015-02-07,5,20,45,2484,0,2,0,2556
"35",2015-02-08,13,30,39,2078,0,1,0,2161
"36",2015-02-09,9,50,63,4916,0,9,1,5048
"37",2015-02-10,8,40,62,5086,0,6,3,5205
"38",2015-02-11,6,46,65,5066,1,16,4,5204
"39",2015-02-12,12,37,65,4615,0,7,3,4739
"40",2015-02-13,12,33,44,3158,0,36,0,3283
