Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Apr 13, 2015 12:00 AM to Sun, Apr 19, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,4,0,1,0,0,5
7:00AM - 7:59AM,0,0,0,0,0,4,0,4
8:00AM - 8:59AM,0,2,3,0,1,0,0,6
9:00AM - 9:59AM,0,0,0,0,1,1,0,2
10:00AM - 10:59AM,5,0,2,0,2,0,0,9
11:00AM - 11:59AM,0,1,1,1,1,2,1,7
12:00PM - 12:59PM,0,1,1,0,0,0,0,2
1:00PM - 1:59PM,0,0,3,0,0,0,0,3
2:00PM - 2:59PM,0,1,2,0,2,1,0,6
3:00PM - 3:59PM,1,1,0,0,1,1,0,4
4:00PM - 4:59PM,0,0,3,1,1,1,1,7
5:00PM - 5:59PM,0,0,0,1,0,0,0,1
6:00PM - 6:59PM,0,1,3,2,0,1,0,7
7:00PM - 7:59PM,0,0,3,0,1,0,0,4
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
Membership Totals:,6,7,25,6,11,11,2,68
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,2,0,2,0,0,7
7:00AM - 7:59AM,0,0,2,1,0,1,0,4
8:00AM - 8:59AM,0,0,1,2,1,0,0,4
9:00AM - 9:59AM,0,2,2,0,0,1,0,5
10:00AM - 10:59AM,3,2,1,4,2,3,1,16
11:00AM - 11:59AM,0,6,2,2,3,4,1,18
12:00PM - 12:59PM,1,2,3,0,1,2,0,9
1:00PM - 1:59PM,1,1,1,1,1,1,1,7
2:00PM - 2:59PM,0,3,1,1,2,0,0,7
3:00PM - 3:59PM,2,2,2,1,1,3,1,12
4:00PM - 4:59PM,0,1,4,4,1,2,1,13
5:00PM - 5:59PM,1,2,6,3,3,0,1,16
6:00PM - 6:59PM,1,3,4,5,2,4,4,23
7:00PM - 7:59PM,0,1,1,1,0,1,1,5
8:00PM - 8:59PM,2,3,3,1,2,1,0,12
9:00PM - 9:59PM,0,3,4,1,0,1,0,9
10:00PM - 10:59PM,2,2,3,2,3,2,0,14
11:00PM - 11:59PM,1,0,0,1,1,0,0,3
Membership Totals:,14,36,42,30,25,26,11,184
Membership Type: Class MWF,,,,,,,,
9:00AM - 9:59AM,0,0,0,0,0,1,0,1
11:00AM - 11:59AM,0,0,0,0,0,1,0,1
12:00PM - 12:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,2,0,3
Membership Type: Class TU/TR,,,,,,,,
9:00AM - 9:59AM,0,0,1,0,1,0,0,2
10:00AM - 10:59AM,0,0,1,0,1,0,0,2
5:00PM - 5:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,2,0,3,0,0,5
Membership Type: Community Members,,,,,,,,
7:00AM - 7:59AM,0,0,1,1,2,1,0,5
8:00AM - 8:59AM,0,1,2,0,0,0,0,3
9:00AM - 9:59AM,0,2,1,3,0,0,0,6
10:00AM - 10:59AM,3,4,4,4,4,4,0,23
11:00AM - 11:59AM,2,2,1,3,3,4,1,16
12:00PM - 12:59PM,0,3,1,3,2,2,1,12
1:00PM - 1:59PM,2,1,0,3,2,5,2,15
2:00PM - 2:59PM,3,3,6,7,5,1,4,29
3:00PM - 3:59PM,5,6,4,3,2,1,2,23
4:00PM - 4:59PM,2,3,8,5,4,10,1,33
5:00PM - 5:59PM,2,7,6,9,1,5,3,33
6:00PM - 6:59PM,3,10,9,7,7,3,1,40
7:00PM - 7:59PM,4,20,4,10,8,3,0,49
8:00PM - 8:59PM,1,5,9,9,4,0,3,31
9:00PM - 9:59PM,1,4,8,4,1,1,2,21
10:00PM - 10:59PM,3,0,1,3,3,2,0,12
Membership Totals:,31,71,65,74,48,42,20,351
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,73,119,95,82,49,0,418
7:00AM - 7:59AM,0,98,88,90,85,57,0,418
8:00AM - 8:59AM,0,216,223,257,194,96,0,986
9:00AM - 9:59AM,1,378,345,412,277,168,11,1592
10:00AM - 10:59AM,153,281,295,291,265,208,183,1676
11:00AM - 11:59AM,124,347,379,316,341,241,137,1885
12:00PM - 12:59PM,105,330,332,290,313,254,104,1728
1:00PM - 1:59PM,122,408,529,367,419,187,112,2144
2:00PM - 2:59PM,126,281,353,280,289,227,109,1665
3:00PM - 3:59PM,146,370,440,336,346,217,177,2032
4:00PM - 4:59PM,190,345,394,402,336,248,191,2106
5:00PM - 5:59PM,190,330,463,352,363,204,173,2075
6:00PM - 6:59PM,178,351,353,449,387,229,171,2118
7:00PM - 7:59PM,172,441,374,354,290,177,161,1969
8:00PM - 8:59PM,182,422,362,345,227,144,124,1806
9:00PM - 9:59PM,100,284,258,257,233,128,148,1408
10:00PM - 10:59PM,99,158,171,155,168,88,67,906
11:00PM - 11:59PM,14,25,15,27,25,19,20,145
Membership Totals:,1902,5138,5493,5075,4640,2941,1888,27077
Membership Type: Current Student 1,,,,,,,,
12:00PM - 12:59PM,0,2,0,0,0,0,0,2
Membership Totals:,0,2,0,0,0,0,0,2
Membership Type: PE & Rec Staff,,,,,,,,
5:00AM - 5:59AM,0,1,0,0,0,0,0,1
6:00AM - 6:59AM,0,0,1,1,0,0,0,2
7:00AM - 7:59AM,0,0,0,0,1,1,0,2
8:00AM - 8:59AM,0,1,0,2,0,0,0,3
9:00AM - 9:59AM,0,1,1,1,2,1,0,6
10:00AM - 10:59AM,0,0,0,0,1,1,1,3
11:00AM - 11:59AM,0,2,4,3,1,2,0,12
12:00PM - 12:59PM,0,2,1,1,2,1,1,8
1:00PM - 1:59PM,0,1,1,2,1,0,0,5
2:00PM - 2:59PM,0,1,0,1,1,0,0,3
