Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Apr 27, 2015 12:00 AM to Sun, May 3, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,1,1,0,3
8:00AM - 8:59AM,0,0,6,0,0,3,0,9
9:00AM - 9:59AM,0,0,0,0,3,0,0,3
10:00AM - 10:59AM,0,0,0,0,0,2,0,2
11:00AM - 11:59AM,0,2,0,1,1,0,0,4
12:00PM - 12:59PM,0,0,0,1,0,4,1,6
1:00PM - 1:59PM,1,0,1,1,1,2,1,7
2:00PM - 2:59PM,0,1,5,0,0,0,0,6
3:00PM - 3:59PM,0,1,1,0,1,0,0,3
4:00PM - 4:59PM,0,0,0,0,0,0,2,2
5:00PM - 5:59PM,1,1,1,2,0,0,0,5
6:00PM - 6:59PM,0,0,3,3,0,1,0,7
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
10:00PM - 10:59PM,0,0,1,0,0,0,0,1
Membership Totals:,2,5,20,8,7,13,4,59
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,2,2,4,0,0,11
7:00AM - 7:59AM,0,0,0,0,2,0,0,2
8:00AM - 8:59AM,0,2,1,0,1,2,0,6
9:00AM - 9:59AM,0,4,2,3,0,1,0,10
10:00AM - 10:59AM,2,7,4,4,4,4,3,28
11:00AM - 11:59AM,5,3,1,5,2,4,0,20
12:00PM - 12:59PM,0,2,0,0,3,1,2,8
1:00PM - 1:59PM,0,1,3,0,1,3,1,9
2:00PM - 2:59PM,2,2,0,2,1,5,1,13
3:00PM - 3:59PM,1,1,0,2,1,2,2,9
4:00PM - 4:59PM,1,4,3,1,2,3,0,14
5:00PM - 5:59PM,1,5,2,2,3,1,1,15
6:00PM - 6:59PM,4,4,6,9,3,3,2,31
7:00PM - 7:59PM,0,2,3,0,2,0,0,7
8:00PM - 8:59PM,0,1,2,2,3,0,1,9
9:00PM - 9:59PM,0,3,5,1,4,1,0,14
10:00PM - 10:59PM,0,2,0,2,2,1,0,7
Membership Totals:,16,46,34,35,38,31,13,213
Membership Type: Class MWF,,,,,,,,
10:00AM - 10:59AM,0,0,0,0,0,1,0,1
12:00PM - 12:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,1,0,2
Membership Type: Class TU/TR,,,,,,,,
9:00AM - 9:59AM,0,0,1,0,0,0,0,1
10:00AM - 10:59AM,0,0,2,0,2,0,0,4
5:00PM - 5:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,3,0,3,0,0,6
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,0,2,0,0,0,2
7:00AM - 7:59AM,0,1,3,1,1,2,0,8
8:00AM - 8:59AM,0,1,0,0,2,1,0,4
9:00AM - 9:59AM,0,1,2,2,0,0,0,5
10:00AM - 10:59AM,1,5,3,5,7,2,1,24
11:00AM - 11:59AM,2,2,2,4,5,4,0,19
12:00PM - 12:59PM,1,4,4,2,3,3,2,19
1:00PM - 1:59PM,4,3,1,2,2,2,2,16
2:00PM - 2:59PM,3,1,5,4,3,3,4,23
3:00PM - 3:59PM,5,4,2,4,4,2,2,23
4:00PM - 4:59PM,2,8,4,3,2,2,4,25
5:00PM - 5:59PM,2,8,8,8,6,1,0,33
6:00PM - 6:59PM,2,10,13,11,11,5,1,53
7:00PM - 7:59PM,4,8,5,4,3,6,3,33
8:00PM - 8:59PM,5,9,3,5,5,6,0,33
9:00PM - 9:59PM,5,1,3,2,7,2,1,21
10:00PM - 10:59PM,2,3,5,4,3,3,2,22
Membership Totals:,38,69,63,63,64,44,22,363
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,1,0,0,0,0,1
6:00AM - 6:59AM,0,99,93,94,69,38,0,393
7:00AM - 7:59AM,0,89,78,105,57,57,7,393
8:00AM - 8:59AM,0,220,206,213,194,83,0,916
9:00AM - 9:59AM,0,354,311,353,295,149,0,1462
10:00AM - 10:59AM,137,258,242,264,229,195,98,1423
11:00AM - 11:59AM,110,295,342,301,323,232,87,1690
12:00PM - 12:59PM,119,286,338,287,267,173,68,1538
1:00PM - 1:59PM,132,348,419,356,415,219,106,1995
2:00PM - 2:59PM,145,238,320,242,280,207,126,1558
3:00PM - 3:59PM,206,342,377,321,301,230,139,1916
4:00PM - 4:59PM,159,326,330,309,306,237,144,1811
5:00PM - 5:59PM,191,356,356,356,305,180,117,1861
6:00PM - 6:59PM,230,361,343,326,295,200,127,1882
7:00PM - 7:59PM,187,328,323,330,307,159,104,1738
8:00PM - 8:59PM,169,348,337,365,268,130,61,1678
9:00PM - 9:59PM,160,294,258,311,255,122,76,1476
10:00PM - 10:59PM,107,200,157,135,129,106,80,914
11:00PM - 11:59PM,12,29,28,28,12,14,4,127
Membership Totals:,2064,4771,4859,4696,4307,2731,1344,24772
Membership Type: PE & Rec Staff,,,,,,,,
8:00AM - 8:59AM,0,0,3,0,0,0,0,3
9:00AM - 9:59AM,0,1,1,0,1,0,0,3
10:00AM - 10:59AM,0,1,0,0,0,1,0,2
11:00AM - 11:59AM,0,1,3,4,1,0,0,9
12:00PM - 12:59PM,0,1,0,1,2,1,0,5
1:00PM - 1:59PM,0,1,2,1,0,0,0,4
2:00PM - 2:59PM,0,0,0,2,1,0,0,3
3:00PM - 3:59PM,0,0,2,2,1,0,0,5
4:00PM - 4:59PM,0,0,1,1,0,0,0,2
5:00PM - 5:59PM,0,1,0,0,1,0,0,2
9:00PM - 9:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,7,12,11,7,2,0,39
Totals:,2120,4899,4991,4813,4426,2822,1383,25454
"Mon, Feb 3 2025 11:20A",,,,,,,,Page: 1/1
