Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jul 6, 2015 12:00 AM to Sun, Jul 12, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,2,0,0,0,2
7:00AM - 7:59AM,0,1,1,0,1,0,0,3
8:00AM - 8:59AM,0,1,0,1,0,0,0,2
9:00AM - 9:59AM,0,1,0,0,0,2,0,3
10:00AM - 10:59AM,0,0,0,1,0,0,0,1
11:00AM - 11:59AM,0,3,2,2,0,3,0,10
12:00PM - 12:59PM,2,4,0,4,2,2,2,16
1:00PM - 1:59PM,2,2,4,0,1,1,1,11
2:00PM - 2:59PM,0,4,1,0,2,1,0,8
3:00PM - 3:59PM,0,2,0,3,1,4,3,13
4:00PM - 4:59PM,1,0,1,4,3,1,1,11
5:00PM - 5:59PM,1,1,1,3,2,1,0,9
6:00PM - 6:59PM,0,4,4,1,1,5,4,19
Membership Totals:,6,23,14,21,13,20,11,108
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,4,4,2,4,0,16
7:00AM - 7:59AM,0,1,1,0,1,0,0,3
8:00AM - 8:59AM,0,1,1,2,2,1,0,7
9:00AM - 9:59AM,0,2,3,4,0,1,0,10
10:00AM - 10:59AM,0,4,4,2,4,3,0,17
11:00AM - 11:59AM,0,2,4,4,1,5,0,16
12:00PM - 12:59PM,6,3,0,1,1,0,8,19
1:00PM - 1:59PM,1,0,1,0,1,3,1,7
2:00PM - 2:59PM,2,0,2,0,3,2,2,11
3:00PM - 3:59PM,3,0,1,1,1,2,1,9
4:00PM - 4:59PM,0,4,1,1,3,4,0,13
5:00PM - 5:59PM,5,8,8,5,2,1,3,32
6:00PM - 6:59PM,1,2,2,4,5,2,1,17
7:00PM - 7:59PM,0,1,1,1,2,0,1,6
Membership Totals:,18,30,33,29,28,28,17,183
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
7:00AM - 7:59AM,0,0,1,0,1,2,0,4
8:00AM - 8:59AM,0,0,0,1,1,2,0,4
9:00AM - 9:59AM,0,2,1,0,1,1,0,5
10:00AM - 10:59AM,0,0,0,2,1,1,0,4
11:00AM - 11:59AM,0,2,0,1,0,3,0,6
12:00PM - 12:59PM,4,1,1,1,2,3,3,15
1:00PM - 1:59PM,1,3,3,1,0,1,0,9
2:00PM - 2:59PM,1,2,1,3,0,2,1,10
3:00PM - 3:59PM,0,0,1,2,0,1,1,5
4:00PM - 4:59PM,2,5,2,0,5,1,2,17
5:00PM - 5:59PM,3,6,5,2,2,3,1,22
6:00PM - 6:59PM,0,4,3,5,6,1,1,20
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
Membership Totals:,11,26,18,18,20,21,9,123
Membership Type: Current Student,,,,,,,,
