Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jul 27, 2015 12:00 AM to Sun, Aug 2, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,1,0,0,0,2
7:00AM - 7:59AM,0,1,1,1,1,1,0,5
8:00AM - 8:59AM,0,0,0,0,0,1,0,1
9:00AM - 9:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,0,0,2,0,1,0,0,3
11:00AM - 11:59AM,1,0,2,1,0,2,0,6
12:00PM - 12:59PM,2,1,0,0,4,2,2,11
1:00PM - 1:59PM,0,1,0,1,0,3,0,5
2:00PM - 2:59PM,1,3,2,0,2,2,1,11
3:00PM - 3:59PM,0,2,1,0,4,1,0,8
4:00PM - 4:59PM,0,1,0,2,0,0,1,4
5:00PM - 5:59PM,0,3,1,3,1,6,0,14
6:00PM - 6:59PM,0,1,3,4,1,1,0,10
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
Membership Totals:,4,13,13,13,16,19,4,82
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,4,1,3,2,1,0,11
7:00AM - 7:59AM,0,1,2,1,1,1,0,6
8:00AM - 8:59AM,0,0,0,2,0,1,0,3
9:00AM - 9:59AM,0,1,4,0,2,0,0,7
10:00AM - 10:59AM,0,4,3,5,2,6,0,20
11:00AM - 11:59AM,1,3,3,3,1,3,0,14
12:00PM - 12:59PM,1,1,2,0,0,2,3,9
1:00PM - 1:59PM,4,1,1,0,1,2,2,11
2:00PM - 2:59PM,0,2,0,0,0,0,2,4
3:00PM - 3:59PM,3,2,1,2,2,1,1,12
4:00PM - 4:59PM,2,1,4,1,1,2,2,13
5:00PM - 5:59PM,2,8,11,5,5,3,2,36
6:00PM - 6:59PM,1,8,5,6,7,1,3,31
7:00PM - 7:59PM,1,1,1,3,2,1,1,10
Membership Totals:,15,37,38,31,26,24,16,187
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
7:00AM - 7:59AM,0,1,0,0,1,1,0,3
8:00AM - 8:59AM,0,1,1,0,0,0,0,2
9:00AM - 9:59AM,0,0,0,0,1,2,0,3
10:00AM - 10:59AM,0,1,1,1,1,2,0,6
11:00AM - 11:59AM,0,2,0,4,3,2,0,11
12:00PM - 12:59PM,3,1,1,3,1,2,2,13
1:00PM - 1:59PM,1,2,0,2,1,2,1,9
2:00PM - 2:59PM,0,2,4,3,2,1,0,12
3:00PM - 3:59PM,1,2,3,4,0,1,0,11
4:00PM - 4:59PM,2,6,7,2,5,2,1,25
5:00PM - 5:59PM,2,4,5,3,2,6,3,25
6:00PM - 6:59PM,3,3,7,6,5,3,3,30
7:00PM - 7:59PM,0,1,1,2,2,0,0,6
Membership Totals:,12,27,30,30,24,24,10,157
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,17,15,17,11,9,0,69
7:00AM - 7:59AM,0,9,23,21,10,13,0,76
8:00AM - 8:59AM,0,43,37,47,35,25,0,187
9:00AM - 9:59AM,0,60,42,62,41,50,0,255
10:00AM - 10:59AM,0,47,41,46,30,49,0,213
11:00AM - 11:59AM,6,76,73,74,54,76,1,360
12:00PM - 12:59PM,43,76,75,59,52,75,71,451
1:00PM - 1:59PM,32,76,57,48,55,47,43,358
2:00PM - 2:59PM,49,70,72,61,61,44,35,392
3:00PM - 3:59PM,54,111,105,103,75,53,31,532
4:00PM - 4:59PM,48,133,130,127,136,69,46,689
5:00PM - 5:59PM,68,138,137,144,110,83,51,731
6:00PM - 6:59PM,52,145,125,132,121,97,51,723
7:00PM - 7:59PM,17,42,30,28,23,25,14,179
Membership Totals:,369,1043,962,969,814,715,343,5215
Membership Type: Current Student 1,,,,,,,,
6:00AM - 6:59AM,0,2,0,3,2,0,0,7
10:00AM - 10:59AM,0,0,0,1,0,0,0,1
11:00AM - 11:59AM,0,1,1,0,0,0,0,2
12:00PM - 12:59PM,1,0,0,0,1,0,2,4
1:00PM - 1:59PM,0,1,0,0,0,0,0,1
2:00PM - 2:59PM,0,0,0,0,0,2,1,3
3:00PM - 3:59PM,0,1,1,1,0,3,0,6
4:00PM - 4:59PM,0,2,0,2,4,1,0,9
5:00PM - 5:59PM,0,1,0,1,7,1,0,10
6:00PM - 6:59PM,0,0,3,5,1,0,0,9
7:00PM - 7:59PM,0,0,0,2,0,0,0,2
Membership Totals:,1,8,5,15,15,7,3,54
Membership Type: PE & Rec Staff,,,,,,,,
8:00AM - 8:59AM,0,0,8,0,0,0,0,8
11:00AM - 11:59AM,0,0,1,0,0,1,0,2
12:00PM - 12:59PM,0,0,1,0,2,0,1,4
1:00PM - 1:59PM,2,0,2,0,0,0,1,5
3:00PM - 3:59PM,0,0,1,0,0,0,0,1
4:00PM - 4:59PM,0,1,0,0,1,0,0,2
5:00PM - 5:59PM,0,1,1,1,1,0,0,4
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
Membership Totals:,2,2,14,1,5,1,2,27
Totals:,403,1130,1062,1059,900,790,378,5722
"Mon, Feb 3 2025 11:04A",,,,,,,,Page: 1/1
