Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Aug 31, 2015 12:00 AM to Sun, Sep 6, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
11:00AM - 11:59AM,0,1,0,2,0,2,0,5
12:00PM - 12:59PM,0,0,2,3,0,1,0,6
1:00PM - 1:59PM,0,0,0,0,1,0,0,1
2:00PM - 2:59PM,0,0,0,0,0,1,0,1
3:00PM - 3:59PM,0,0,0,2,0,0,0,2
4:00PM - 4:59PM,0,1,0,0,1,0,0,2
5:00PM - 5:59PM,0,0,0,0,1,1,0,2
7:00PM - 7:59PM,0,2,0,0,0,1,0,3
Membership Totals:,0,4,2,7,3,6,0,22
Membership Type: Alumni Members,,,,,,,,
10:00AM - 10:59AM,0,2,1,2,1,3,0,9
11:00AM - 11:59AM,0,4,1,1,0,1,0,7
12:00PM - 12:59PM,0,1,1,1,2,0,0,5
1:00PM - 1:59PM,0,0,0,1,1,0,0,2
2:00PM - 2:59PM,0,1,1,0,2,0,0,4
3:00PM - 3:59PM,0,2,1,2,0,0,0,5
4:00PM - 4:59PM,0,2,2,2,2,4,0,12
5:00PM - 5:59PM,0,6,4,2,2,1,0,15
6:00PM - 6:59PM,0,4,3,4,5,4,0,20
7:00PM - 7:59PM,0,1,2,1,1,1,0,6
8:00PM - 8:59PM,0,2,0,3,3,0,0,8
Membership Totals:,0,25,16,19,19,14,0,93
Membership Type: Community Members,,,,,,,,
9:00AM - 9:59AM,0,1,0,0,0,0,0,1
10:00AM - 10:59AM,0,1,1,3,2,1,0,8
11:00AM - 11:59AM,0,0,0,2,1,4,0,7
12:00PM - 12:59PM,0,2,3,1,1,2,0,9
1:00PM - 1:59PM,0,0,1,1,2,0,0,4
2:00PM - 2:59PM,0,2,0,1,0,0,0,3
3:00PM - 3:59PM,0,2,2,4,2,1,0,11
5:00PM - 5:59PM,0,3,5,1,1,1,0,11
6:00PM - 6:59PM,0,10,2,2,2,4,0,20
7:00PM - 7:59PM,0,3,2,2,3,1,0,11
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
9:00PM - 9:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,24,16,19,14,14,0,87
Membership Type: Current Student,,,,,,,,
9:00AM - 9:59AM,0,4,0,0,6,0,0,10
10:00AM - 10:59AM,0,41,38,38,21,31,0,169
11:00AM - 11:59AM,0,41,36,28,34,25,0,164
12:00PM - 12:59PM,0,20,19,24,25,24,0,112
1:00PM - 1:59PM,0,39,32,36,22,25,0,154
2:00PM - 2:59PM,0,39,32,29,44,22,0,166
3:00PM - 3:59PM,0,69,42,41,28,31,0,211
4:00PM - 4:59PM,0,52,46,60,43,19,0,220
5:00PM - 5:59PM,0,90,58,58,55,38,0,299
6:00PM - 6:59PM,0,62,60,61,57,26,0,266
