Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Oct 26, 2015 12:00 AM to Sun, Nov 1, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,1,1,0,2
8:00AM - 8:59AM,0,0,2,1,0,2,0,5
10:00AM - 10:59AM,2,1,0,0,0,0,0,3
11:00AM - 11:59AM,1,4,0,4,0,2,0,11
12:00PM - 12:59PM,0,0,2,0,0,2,2,6
1:00PM - 1:59PM,0,0,0,0,0,0,1,1
3:00PM - 3:59PM,2,0,0,0,1,2,0,5
4:00PM - 4:59PM,0,1,1,1,0,0,0,3
5:00PM - 5:59PM,0,3,2,1,1,0,0,7
6:00PM - 6:59PM,1,1,0,0,0,0,0,2
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
9:00PM - 9:59PM,0,0,0,0,0,2,1,3
10:00PM - 10:59PM,0,0,1,0,1,0,0,2
Membership Totals:,6,11,8,7,4,11,4,51
Membership Type: Alumni Members,,,,,,,,
5:00AM - 5:59AM,0,0,0,0,0,1,0,1
6:00AM - 6:59AM,0,3,3,7,4,2,0,19
7:00AM - 7:59AM,0,1,2,2,0,2,0,7
8:00AM - 8:59AM,0,3,1,1,2,1,0,8
9:00AM - 9:59AM,0,1,3,0,4,2,0,10
10:00AM - 10:59AM,3,3,1,3,3,3,3,19
11:00AM - 11:59AM,0,2,2,1,1,1,2,9
12:00PM - 12:59PM,2,2,2,0,1,3,3,13
1:00PM - 1:59PM,2,0,1,2,1,1,4,11
2:00PM - 2:59PM,1,3,2,0,2,1,4,13
3:00PM - 3:59PM,4,3,0,3,3,1,1,15
4:00PM - 4:59PM,1,6,7,3,3,8,2,30
5:00PM - 5:59PM,0,4,4,4,6,3,0,21
6:00PM - 6:59PM,3,6,10,4,7,3,3,36
7:00PM - 7:59PM,1,6,3,4,1,2,3,20
8:00PM - 8:59PM,2,3,2,2,2,1,1,13
9:00PM - 9:59PM,1,3,0,2,1,1,0,8
10:00PM - 10:59PM,0,0,0,0,1,1,0,2
Membership Totals:,20,49,43,38,42,37,26,255
Membership Type: Class MWF,,,,,,,,
4:00PM - 4:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Class TU/TR,,,,,,,,
11:00AM - 11:59AM,0,0,1,0,1,0,0,2
Membership Totals:,0,0,1,0,1,0,0,2
Membership Type: Club Sports- Limited,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,2,1,2,1,2,0,8
7:00AM - 7:59AM,0,1,1,0,1,3,0,6
8:00AM - 8:59AM,0,1,0,1,0,0,0,2
9:00AM - 9:59AM,0,1,1,1,3,2,0,8
