Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Nov 30, 2015 12:00 AM to Sun, Dec 6, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,0,1,0,2
7:00AM - 7:59AM,0,0,0,2,0,0,0,2
8:00AM - 8:59AM,0,0,2,0,0,2,0,4
9:00AM - 9:59AM,0,0,2,0,1,0,0,3
10:00AM - 10:59AM,1,1,0,1,0,0,0,3
11:00AM - 11:59AM,0,3,2,2,1,2,2,12
12:00PM - 12:59PM,1,0,3,0,3,0,1,8
2:00PM - 2:59PM,1,0,0,1,1,0,0,3
3:00PM - 3:59PM,0,2,1,1,0,2,0,6
4:00PM - 4:59PM,0,2,1,0,1,2,2,8
5:00PM - 5:59PM,1,4,0,1,2,0,0,8
6:00PM - 6:59PM,0,2,0,4,0,0,0,6
7:00PM - 7:59PM,2,0,0,0,2,0,0,4
9:00PM - 9:59PM,0,0,0,1,0,0,0,1
Membership Totals:,6,14,11,14,11,9,5,70
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,4,5,5,0,1,0,15
7:00AM - 7:59AM,0,2,1,2,0,2,0,7
8:00AM - 8:59AM,0,2,3,1,1,3,0,10
9:00AM - 9:59AM,0,0,3,0,1,1,0,5
10:00AM - 10:59AM,4,4,3,4,1,1,4,21
11:00AM - 11:59AM,4,4,3,5,1,1,1,19
12:00PM - 12:59PM,0,1,0,0,0,1,5,7
1:00PM - 1:59PM,1,0,1,2,1,1,3,9
2:00PM - 2:59PM,1,0,0,1,2,1,1,6
3:00PM - 3:59PM,1,6,1,7,1,3,2,21
4:00PM - 4:59PM,2,2,6,4,2,5,2,23
5:00PM - 5:59PM,5,8,5,3,3,4,3,31
6:00PM - 6:59PM,1,5,7,7,5,6,2,33
7:00PM - 7:59PM,0,4,4,6,3,5,6,28
8:00PM - 8:59PM,1,2,8,4,5,2,1,23
9:00PM - 9:59PM,0,0,2,4,1,1,1,9
10:00PM - 10:59PM,0,1,0,4,2,1,1,9
Membership Totals:,20,45,52,59,29,39,32,276
Membership Type: Class MWF,,,,,,,,
5:00PM - 5:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Class TU/TR,,,,,,,,
11:00AM - 11:59AM,0,0,1,0,1,0,0,2
Membership Totals:,0,0,1,0,1,0,0,2
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,3,2,3,1,4,0,13
7:00AM - 7:59AM,0,2,1,1,2,0,0,6
8:00AM - 8:59AM,0,0,0,0,0,1,0,1
9:00AM - 9:59AM,0,2,1,1,3,1,0,8
10:00AM - 10:59AM,5,1,2,2,4,2,5,21
11:00AM - 11:59AM,1,7,0,4,0,2,2,16
12:00PM - 12:59PM,1,1,1,0,4,2,3,12
