Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jan 4, 2016 12:00 AM to Sun, Jan 10, 2016 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,0,2,0,3
8:00AM - 8:59AM,0,0,4,1,0,2,0,7
9:00AM - 9:59AM,0,0,0,1,0,0,0,1
10:00AM - 10:59AM,2,1,0,4,1,0,0,8
11:00AM - 11:59AM,0,1,1,0,1,4,2,9
12:00PM - 12:59PM,0,2,1,1,0,1,0,5
1:00PM - 1:59PM,0,0,0,3,0,0,2,5
2:00PM - 2:59PM,5,1,1,5,2,1,1,16
3:00PM - 3:59PM,3,1,0,1,2,0,0,7
4:00PM - 4:59PM,3,2,3,1,3,0,4,16
5:00PM - 5:59PM,0,4,0,2,2,1,2,11
6:00PM - 6:59PM,0,3,3,0,0,6,0,12
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
8:00PM - 8:59PM,0,0,1,2,1,0,0,4
10:00PM - 10:59PM,0,1,0,0,0,0,0,1
Membership Totals:,13,16,15,22,12,17,11,106
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,0,3,2,1,4,0,10
7:00AM - 7:59AM,0,2,5,0,2,3,0,12
8:00AM - 8:59AM,0,1,0,3,0,1,0,5
9:00AM - 9:59AM,0,2,1,3,3,3,0,12
10:00AM - 10:59AM,1,5,2,4,1,2,3,18
11:00AM - 11:59AM,4,4,1,8,2,3,1,23
12:00PM - 12:59PM,5,2,3,5,2,0,3,20
1:00PM - 1:59PM,1,4,5,3,2,2,2,19
2:00PM - 2:59PM,6,1,4,1,3,3,4,22
3:00PM - 3:59PM,0,3,2,6,3,5,1,20
4:00PM - 4:59PM,3,12,6,3,6,4,2,36
5:00PM - 5:59PM,5,5,4,3,9,5,6,37
6:00PM - 6:59PM,3,8,7,7,4,1,4,34
7:00PM - 7:59PM,0,1,2,5,5,4,2,19
8:00PM - 8:59PM,1,3,1,3,4,0,3,15
9:00PM - 9:59PM,0,1,1,0,2,3,0,7
10:00PM - 10:59PM,0,0,1,0,2,0,1,4
11:00PM - 11:59PM,0,0,1,0,0,0,0,1
Membership Totals:,29,54,49,56,51,43,32,314
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,1,2,0,2,0,5
7:00AM - 7:59AM,0,2,3,4,3,3,0,15
8:00AM - 8:59AM,0,1,2,1,0,1,0,5
9:00AM - 9:59AM,0,0,1,2,3,2,1,9
10:00AM - 10:59AM,0,3,2,5,4,1,1,16
11:00AM - 11:59AM,0,0,3,1,0,1,4,9
12:00PM - 12:59PM,1,1,1,2,0,0,3,8
1:00PM - 1:59PM,4,5,2,4,2,0,1,18
2:00PM - 2:59PM,2,3,2,1,4,3,2,17
3:00PM - 3:59PM,4,6,8,4,5,8,2,37
4:00PM - 4:59PM,3,7,5,4,7,6,4,36
5:00PM - 5:59PM,3,6,9,6,7,7,5,43
6:00PM - 6:59PM,4,9,6,6,0,3,4,32
7:00PM - 7:59PM,0,3,6,2,4,2,3,20
8:00PM - 8:59PM,2,1,0,2,1,1,1,8
9:00PM - 9:59PM,6,0,1,3,2,1,1,14
