Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Apr 18, 2016 12:00 AM to Sun, Apr 24, 2016 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,0,0,0,0,2
7:00AM - 7:59AM,0,2,0,0,0,0,0,2
8:00AM - 8:59AM,0,0,1,0,1,3,0,5
9:00AM - 9:59AM,0,2,0,1,0,0,0,3
10:00AM - 10:59AM,2,1,0,2,1,0,0,6
11:00AM - 11:59AM,2,1,0,2,0,3,2,10
12:00PM - 12:59PM,1,0,2,0,0,1,1,5
1:00PM - 1:59PM,1,0,0,0,0,0,0,1
2:00PM - 2:59PM,0,1,0,0,0,1,0,2
3:00PM - 3:59PM,1,0,2,1,0,0,0,4
4:00PM - 4:59PM,0,0,0,0,1,0,0,1
5:00PM - 5:59PM,0,1,2,0,1,1,0,5
6:00PM - 6:59PM,1,1,0,0,0,0,0,2
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
9:00PM - 9:59PM,0,0,0,3,0,0,0,3
Membership Totals:,8,10,8,9,5,9,3,52
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,2,2,1,1,0,8
7:00AM - 7:59AM,0,2,3,1,3,1,0,10
8:00AM - 8:59AM,0,2,3,1,3,2,0,11
9:00AM - 9:59AM,0,3,1,0,1,5,0,10
10:00AM - 10:59AM,5,3,4,4,2,4,3,25
11:00AM - 11:59AM,3,2,1,1,0,1,3,11
12:00PM - 12:59PM,2,1,1,3,1,0,1,9
1:00PM - 1:59PM,5,0,2,3,1,1,2,14
2:00PM - 2:59PM,2,2,4,4,4,1,6,23
3:00PM - 3:59PM,6,6,6,2,4,3,2,29
4:00PM - 4:59PM,3,7,4,6,2,2,7,31
5:00PM - 5:59PM,3,5,6,3,8,4,1,30
6:00PM - 6:59PM,5,10,5,9,5,2,5,41
7:00PM - 7:59PM,3,5,2,8,3,5,2,28
8:00PM - 8:59PM,0,7,2,2,6,2,1,20
9:00PM - 9:59PM,0,7,5,2,2,4,1,21
10:00PM - 10:59PM,2,2,4,3,0,3,2,16
11:00PM - 11:59PM,1,0,0,0,1,0,0,2
Membership Totals:,40,66,55,54,47,41,36,339
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,5,3,5,0,4,0,17
7:00AM - 7:59AM,0,1,2,0,3,2,0,8
8:00AM - 8:59AM,0,0,0,1,2,0,0,3
9:00AM - 9:59AM,0,2,1,3,1,4,0,11
10:00AM - 10:59AM,4,5,1,1,0,1,2,14
11:00AM - 11:59AM,6,5,1,3,1,2,4,22
12:00PM - 12:59PM,2,1,6,2,1,4,3,19
1:00PM - 1:59PM,0,3,5,2,2,5,4,21
2:00PM - 2:59PM,3,5,5,1,4,4,7,29
3:00PM - 3:59PM,5,1,3,3,3,4,1,20
