Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 27, 2016 12:00 AM to Sun, Jul 3, 2016 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,2,0,0,0,0,2
7:00AM - 7:59AM,0,1,0,0,0,0,0,1
8:00AM - 8:59AM,0,2,0,2,3,3,0,10
9:00AM - 9:59AM,0,0,0,1,1,2,0,4
10:00AM - 10:59AM,0,2,0,1,2,0,0,5
11:00AM - 11:59AM,0,1,6,4,1,5,0,17
12:00PM - 12:59PM,1,3,2,0,0,0,0,6
1:00PM - 1:59PM,1,1,0,2,0,2,1,7
2:00PM - 2:59PM,0,2,3,0,0,2,4,11
3:00PM - 3:59PM,1,1,2,1,2,1,0,8
4:00PM - 4:59PM,0,1,0,2,1,0,0,4
5:00PM - 5:59PM,1,2,2,0,1,1,0,7
6:00PM - 6:59PM,2,1,1,4,0,1,0,9
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
Membership Totals:,6,17,18,17,12,17,5,92
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,0,0,0,0,0,2
7:00AM - 7:59AM,0,1,0,1,0,0,0,2
8:00AM - 8:59AM,0,1,1,1,0,0,0,3
9:00AM - 9:59AM,0,1,2,3,1,5,0,12
10:00AM - 10:59AM,0,5,3,2,0,5,0,15
11:00AM - 11:59AM,0,2,2,1,0,3,0,8
12:00PM - 12:59PM,3,2,0,1,1,3,1,11
1:00PM - 1:59PM,2,1,2,1,0,1,0,7
2:00PM - 2:59PM,1,2,1,1,2,6,1,14
3:00PM - 3:59PM,3,0,10,3,2,0,2,20
4:00PM - 4:59PM,3,6,3,3,2,4,2,23
5:00PM - 5:59PM,0,4,8,7,4,2,0,25
6:00PM - 6:59PM,3,7,6,9,8,5,1,39
7:00PM - 7:59PM,1,2,2,2,2,3,1,13
Membership Totals:,16,36,40,35,22,37,8,194
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,4,4,4,3,2,0,17
7:00AM - 7:59AM,0,0,1,1,0,0,0,2
8:00AM - 8:59AM,0,0,1,1,2,1,0,5
9:00AM - 9:59AM,0,2,0,3,1,4,0,10
10:00AM - 10:59AM,0,2,1,1,1,3,0,8
11:00AM - 11:59AM,0,2,1,0,0,2,0,5
12:00PM - 12:59PM,7,0,6,2,1,0,1,17
1:00PM - 1:59PM,1,5,2,5,1,1,3,18
2:00PM - 2:59PM,4,2,4,4,5,2,1,22
3:00PM - 3:59PM,1,3,3,1,2,4,3,17
4:00PM - 4:59PM,1,6,2,3,3,2,0,17
5:00PM - 5:59PM,2,3,6,7,5,3,2,28
6:00PM - 6:59PM,0,6,3,4,3,6,0,22
7:00PM - 7:59PM,1,3,1,1,0,3,1,10
Membership Totals:,17,38,35,37,27,33,11,198
