Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jan 18, 2016 12:00 AM to Sun, Jan 24, 2016 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
8:00AM - 8:59AM,0,0,2,1,0,3,0,6
9:00AM - 9:59AM,0,0,2,1,0,1,0,4
10:00AM - 10:59AM,2,1,1,0,1,1,1,7
11:00AM - 11:59AM,2,2,2,0,2,4,0,12
12:00PM - 12:59PM,1,1,0,2,0,1,1,6
2:00PM - 2:59PM,1,0,1,0,2,0,0,4
3:00PM - 3:59PM,3,2,0,4,1,2,0,12
4:00PM - 4:59PM,1,1,0,3,2,0,1,8
5:00PM - 5:59PM,1,0,5,5,1,3,0,15
6:00PM - 6:59PM,0,2,0,1,0,2,0,5
7:00PM - 7:59PM,0,2,0,0,0,1,0,3
8:00PM - 8:59PM,0,0,0,0,1,0,0,1
9:00PM - 9:59PM,0,0,0,0,0,1,0,1
10:00PM - 10:59PM,0,0,0,0,0,1,0,1
Membership Totals:,11,11,13,17,10,20,3,85
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,0,1,2,4,1,0,8
7:00AM - 7:59AM,0,0,3,2,4,5,0,14
8:00AM - 8:59AM,0,0,0,0,1,0,0,1
9:00AM - 9:59AM,0,0,1,2,1,2,0,6
10:00AM - 10:59AM,4,7,1,5,1,4,4,26
11:00AM - 11:59AM,4,3,1,4,3,7,2,24
12:00PM - 12:59PM,7,3,1,6,0,0,5,22
1:00PM - 1:59PM,0,6,2,1,3,4,0,16
2:00PM - 2:59PM,7,3,4,6,2,1,3,26
3:00PM - 3:59PM,2,2,4,5,10,5,6,34
4:00PM - 4:59PM,1,9,5,3,5,2,2,27
5:00PM - 5:59PM,4,6,11,7,6,5,1,40
6:00PM - 6:59PM,3,3,2,9,1,4,4,26
7:00PM - 7:59PM,2,7,5,9,3,2,3,31
8:00PM - 8:59PM,2,0,2,3,2,2,0,11
9:00PM - 9:59PM,1,0,5,2,3,1,0,12
10:00PM - 10:59PM,2,0,1,2,1,1,1,8
Membership Totals:,39,49,49,68,50,46,31,332
Membership Type: Class TU/TR,,,,,,,,
9:00AM - 9:59AM,0,0,2,0,1,0,0,3
Membership Totals:,0,0,2,0,1,0,0,3
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,2,1,1,3,0,7
7:00AM - 7:59AM,0,0,2,2,0,2,0,6
8:00AM - 8:59AM,0,0,0,2,3,1,0,6
9:00AM - 9:59AM,0,0,0,2,1,1,0,4
10:00AM - 10:59AM,4,4,3,5,2,3,5,26
11:00AM - 11:59AM,1,0,2,3,3,1,3,13
12:00PM - 12:59PM,2,4,2,2,4,2,2,18
1:00PM - 1:59PM,1,4,2,1,4,2,0,14
2:00PM - 2:59PM,5,4,4,4,4,9,1,31
3:00PM - 3:59PM,1,6,5,7,3,7,2,31
4:00PM - 4:59PM,4,5,6,4,7,7,2,35
5:00PM - 5:59PM,1,4,4,4,9,7,4,33
6:00PM - 6:59PM,0,10,7,7,7,3,4,38
7:00PM - 7:59PM,5,2,8,5,2,3,3,28
8:00PM - 8:59PM,2,0,2,2,2,1,1,10
9:00PM - 9:59PM,2,0,4,5,6,2,2,21
10:00PM - 10:59PM,7,0,1,3,2,1,5,19
11:00PM - 11:59PM,1,0,0,0,0,1,0,2
Membership Totals:,36,43,54,59,60,56,34,342
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,8,0,6,0,0,14
6:00AM - 6:59AM,0,0,68,110,109,49,0,336
7:00AM - 7:59AM,0,0,86,97,65,40,0,288
8:00AM - 8:59AM,0,0,169,214,151,70,0,604
9:00AM - 9:59AM,0,0,294,342,251,166,0,1053
10:00AM - 10:59AM,165,207,246,306,258,193,146,1521
11:00AM - 11:59AM,164,152,343,317,354,198,125,1653
12:00PM - 12:59PM,131,162,298,220,284,196,164,1455
