Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Sep 19, 2016 12:00 AM to Sun, Sep 25, 2016 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: Guest Pass,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: No Membership,,,,,,,,
8:00AM - 8:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,1,0,0,0,0,0,0,1
11:00AM - 11:59AM,0,2,0,0,0,0,1,3
3:00PM - 3:59PM,0,0,2,1,0,0,0,3
4:00PM - 4:59PM,0,0,1,2,0,4,0,7
5:00PM - 5:59PM,0,0,2,1,0,4,0,7
6:00PM - 6:59PM,0,0,1,0,1,1,0,3
7:00PM - 7:59PM,0,0,1,0,0,0,1,2
Membership Totals:,1,2,7,4,2,9,2,27
Membership Type: Alumni Members,,,,,,,,
8:00AM - 8:59AM,0,0,0,0,0,1,0,1
9:00AM - 9:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,2,3,0,4,1,1,2,13
11:00AM - 11:59AM,1,3,0,2,2,3,1,12
12:00PM - 12:59PM,3,3,5,1,0,1,0,13
1:00PM - 1:59PM,0,1,1,0,0,0,0,2
2:00PM - 2:59PM,3,0,2,1,1,2,0,9
3:00PM - 3:59PM,0,2,3,1,6,2,0,14
4:00PM - 4:59PM,0,3,4,3,3,1,0,14
5:00PM - 5:59PM,3,7,7,4,6,4,0,31
6:00PM - 6:59PM,0,3,3,5,4,1,1,17
7:00PM - 7:59PM,3,0,1,1,0,2,0,7
9:00PM - 9:59PM,1,0,0,0,1,0,0,2
10:00PM - 10:59PM,0,0,0,0,0,1,0,1
Membership Totals:,16,25,26,22,25,19,4,137
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,3,1,0,4
8:00AM - 8:59AM,0,0,0,0,1,1,0,2
9:00AM - 9:59AM,0,0,0,0,2,0,0,2
10:00AM - 10:59AM,3,9,0,4,3,1,2,22
11:00AM - 11:59AM,1,4,0,6,3,3,3,20
12:00PM - 12:59PM,2,2,5,10,3,8,0,30
1:00PM - 1:59PM,1,4,3,1,2,2,0,13
2:00PM - 2:59PM,1,3,7,3,3,5,0,22
3:00PM - 3:59PM,3,1,3,1,4,2,0,14
4:00PM - 4:59PM,0,1,5,1,4,2,0,13
5:00PM - 5:59PM,3,5,9,6,8,4,1,36
6:00PM - 6:59PM,5,8,4,9,3,0,1,30
7:00PM - 7:59PM,4,3,2,0,0,2,0,11
8:00PM - 8:59PM,0,0,0,0,0,0,1,1
9:00PM - 9:59PM,0,0,0,0,2,1,1,4
Membership Totals:,23,40,38,41,41,32,9,224
Membership Type: Community Membership,,,,,,,,
5:00PM - 5:59PM,0,1,1,1,0,1,0,4
6:00PM - 6:59PM,1,0,0,0,0,1,0,2
Membership Totals:,1,1,1,1,0,2,0,6
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,12,22,0,34
7:00AM - 7:59AM,0,0,0,0,22,40,0,62
8:00AM - 8:59AM,0,0,0,0,32,78,0,110
9:00AM - 9:59AM,0,0,0,0,46,130,0,176
10:00AM - 10:59AM,207,108,0,72,133,191,250,961
11:00AM - 11:59AM,150,87,1,129,139,199,81,786
12:00PM - 12:59PM,186,74,201,115,134,203,60,973
1:00PM - 1:59PM,216,73,73,128,163,171,57,881
2:00PM - 2:59PM,183,89,111,131,172,273,64,1023
3:00PM - 3:59PM,194,92,164,126,193,189,67,1025
4:00PM - 4:59PM,347,131,169,141,178,198,125,1289
5:00PM - 5:59PM,198,163,199,198,172,158,82,1170
6:00PM - 6:59PM,142,134,188,168,49,153,70,904
7:00PM - 7:59PM,174,47,44,45,0,91,106,507
8:00PM - 8:59PM,217,0,0,0,0,74,80,371
9:00PM - 9:59PM,139,0,0,0,730,88,72,1029
10:00PM - 10:59PM,20,0,0,0,158,94,32,304
11:00PM - 11:59PM,3,0,0,0,23,1,13,40
Membership Totals:,2376,998,1150,1253,2356,2353,1159,11645
Membership Type: Current Student 1,,,,,,,,
8:00AM - 8:59AM,0,0,0,0,1,0,0,1
9:00AM - 9:59AM,0,0,0,0,0,1,0,1
10:00AM - 10:59AM,0,1,0,0,0,0,3,4
11:00AM - 11:59AM,0,0,0,1,0,1,0,2
1:00PM - 1:59PM,0,1,1,0,2,1,0,5
2:00PM - 2:59PM,2,1,2,3,1,0,0,9
3:00PM - 3:59PM,0,0,1,3,2,0,0,6
4:00PM - 4:59PM,1,0,2,6,3,1,1,14
5:00PM - 5:59PM,1,6,2,4,3,3,2,21
6:00PM - 6:59PM,1,7,7,6,0,3,0,24
8:00PM - 8:59PM,0,0,0,0,0,0,1,1
Membership Totals:,5,16,15,23,12,10,7,88
Membership Type: PE & Rec Staff,,,,,,,,
8:00AM - 8:59AM,0,0,0,0,0,2,0,2
9:00AM - 9:59AM,0,1,0,0,2,1,0,4
10:00AM - 10:59AM,1,0,0,0,0,2,0,3
11:00AM - 11:59AM,0,2,1,1,1,3,0,8
12:00PM - 12:59PM,0,10,3,1,0,0,0,14
1:00PM - 1:59PM,0,8,1,1,1,6,2,19
2:00PM - 2:59PM,0,2,1,3,1,1,0,8
3:00PM - 3:59PM,0,0,2,1,1,3,1,8
4:00PM - 4:59PM,0,2,0,0,0,1,0,3
5:00PM - 5:59PM,0,1,1,1,3,1,0,7
6:00PM - 6:59PM,0,1,0,2,0,0,0,3
Membership Totals:,1,27,9,10,9,20,3,79
Totals:,2423,1109,1246,1354,2446,2445,1184,12207
"Mon, Feb 3 2025 10:05A",,,,,,,,Page: 1/1
