Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Dec 5, 2016 12:00 AM to Sun, Dec 11, 2016 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
7:00AM - 7:59AM,0,0,1,0,0,0,0,1
8:00AM - 8:59AM,0,0,1,1,0,0,0,2
9:00AM - 9:59AM,0,3,0,2,0,0,0,5
10:00AM - 10:59AM,0,1,1,0,3,3,0,8
11:00AM - 11:59AM,0,1,6,0,2,4,0,13
12:00PM - 12:59PM,0,1,0,2,1,0,0,4
1:00PM - 1:59PM,0,1,1,0,0,0,0,2
2:00PM - 2:59PM,0,0,4,1,0,1,0,6
3:00PM - 3:59PM,0,2,0,1,0,0,0,3
4:00PM - 4:59PM,0,1,1,0,0,1,0,3
5:00PM - 5:59PM,0,2,2,2,2,3,0,11
6:00PM - 6:59PM,0,1,2,2,1,1,0,7
Membership Totals:,0,14,19,11,9,13,0,66
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,1,1,0,0,0,5
7:00AM - 7:59AM,0,1,0,1,0,0,0,2
8:00AM - 8:59AM,0,0,1,0,0,0,0,1
9:00AM - 9:59AM,0,2,2,4,0,0,0,8
10:00AM - 10:59AM,0,8,3,5,4,6,0,26
11:00AM - 11:59AM,0,5,2,5,5,5,0,22
12:00PM - 12:59PM,0,1,3,5,2,4,0,15
1:00PM - 1:59PM,0,3,0,1,3,2,0,9
2:00PM - 2:59PM,0,0,1,2,1,4,0,8
3:00PM - 3:59PM,0,3,2,0,1,6,0,12
4:00PM - 4:59PM,0,4,6,4,3,5,0,22
5:00PM - 5:59PM,0,12,6,9,4,7,0,38
6:00PM - 6:59PM,0,11,1,9,13,5,0,39
7:00PM - 7:59PM,0,2,8,2,1,3,0,16
8:00PM - 8:59PM,0,2,4,3,0,0,0,9
9:00PM - 9:59PM,0,3,3,5,0,0,0,11
10:00PM - 10:59PM,0,2,2,1,0,0,0,5
11:00PM - 11:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,62,45,58,37,47,0,249
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,3,3,4,0,0,0,10
7:00AM - 7:59AM,0,3,1,1,0,0,0,5
8:00AM - 8:59AM,0,2,1,2,0,0,0,5
9:00AM - 9:59AM,0,1,2,2,0,0,0,5
10:00AM - 10:59AM,0,3,1,7,6,9,0,26
11:00AM - 11:59AM,0,4,4,2,4,6,0,20
12:00PM - 12:59PM,0,2,2,3,5,2,0,14
1:00PM - 1:59PM,0,2,3,0,6,2,0,13
2:00PM - 2:59PM,0,7,3,3,10,4,0,27
3:00PM - 3:59PM,0,2,1,2,6,10,0,21
4:00PM - 4:59PM,0,1,6,5,1,3,0,16
5:00PM - 5:59PM,0,10,10,6,6,9,0,41
