Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Feb 22, 2016 12:00 AM to Sun, Feb 28, 2016 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,2,0,1,0,4
8:00AM - 8:59AM,0,1,1,0,0,2,0,4
9:00AM - 9:59AM,0,4,2,1,0,0,0,7
10:00AM - 10:59AM,1,0,1,0,0,0,0,2
11:00AM - 11:59AM,3,3,0,0,0,2,0,8
12:00PM - 12:59PM,1,0,0,0,0,2,0,3
1:00PM - 1:59PM,0,0,1,0,0,0,0,1
3:00PM - 3:59PM,1,3,1,2,1,0,1,9
4:00PM - 4:59PM,3,1,1,0,3,0,0,8
5:00PM - 5:59PM,2,2,0,0,0,0,1,5
6:00PM - 6:59PM,0,2,1,1,0,0,1,5
7:00PM - 7:59PM,0,0,0,0,1,1,0,2
9:00PM - 9:59PM,0,1,0,0,0,0,0,1
11:00PM - 11:59PM,1,0,0,0,0,0,0,1
Membership Totals:,12,18,8,6,5,8,3,60
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,5,2,2,2,0,13
7:00AM - 7:59AM,0,1,3,3,2,1,0,10
8:00AM - 8:59AM,0,1,1,0,0,2,0,4
9:00AM - 9:59AM,0,1,4,1,0,3,0,9
10:00AM - 10:59AM,4,4,4,4,3,3,9,31
11:00AM - 11:59AM,2,3,3,7,3,3,4,25
12:00PM - 12:59PM,0,5,1,4,2,3,2,17
1:00PM - 1:59PM,1,2,0,2,3,4,2,14
2:00PM - 2:59PM,7,5,1,3,3,2,4,25
3:00PM - 3:59PM,1,3,1,2,2,2,2,13
4:00PM - 4:59PM,0,6,5,3,2,2,3,21
5:00PM - 5:59PM,5,4,5,8,2,4,5,33
6:00PM - 6:59PM,0,4,7,5,5,7,2,30
7:00PM - 7:59PM,1,3,3,3,0,3,3,16
8:00PM - 8:59PM,1,2,1,3,4,1,1,13
9:00PM - 9:59PM,0,3,1,2,1,1,0,8
10:00PM - 10:59PM,1,1,3,2,3,2,1,13
11:00PM - 11:59PM,0,0,1,0,1,1,0,3
Membership Totals:,23,50,49,54,38,46,38,298
Membership Type: Class TU/TR,,,,,,,,
10:00AM - 10:59AM,0,0,1,0,1,0,0,2
Membership Totals:,0,0,1,0,1,0,0,2
Membership Type: Community Members,,,,,,,,
5:00AM - 5:59AM,0,0,0,0,0,1,0,1
6:00AM - 6:59AM,0,6,2,4,5,4,0,21
7:00AM - 7:59AM,0,0,1,2,1,1,0,5
8:00AM - 8:59AM,0,2,1,2,2,2,0,9
9:00AM - 9:59AM,0,2,1,4,1,3,0,11
10:00AM - 10:59AM,3,2,3,3,0,3,2,16
11:00AM - 11:59AM,4,3,0,2,1,9,3,22
12:00PM - 12:59PM,1,1,0,3,3,4,3,15
1:00PM - 1:59PM,4,6,4,4,4,2,2,26
2:00PM - 2:59PM,5,6,6,2,1,12,6,38
3:00PM - 3:59PM,3,4,7,4,2,5,6,31
4:00PM - 4:59PM,0,8,6,4,10,2,3,33
5:00PM - 5:59PM,4,10,13,7,7,4,1,46
6:00PM - 6:59PM,8,10,6,9,4,5,5,47
7:00PM - 7:59PM,5,5,7,7,9,3,1,37
8:00PM - 8:59PM,9,9,6,1,3,7,3,38
9:00PM - 9:59PM,3,2,3,7,3,1,4,23
10:00PM - 10:59PM,1,4,2,4,4,0,1,16
11:00PM - 11:59PM,0,0,0,0,1,0,0,1
Membership Totals:,50,80,68,69,61,68,40,436
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,7,0,4,5,0,16
6:00AM - 6:59AM,0,105,99,63,115,48,0,430
7:00AM - 7:59AM,0,109,52,75,57,37,0,330
8:00AM - 8:59AM,0,182,162,188,134,73,0,739
9:00AM - 9:59AM,0,324,257,337,226,145,0,1289
10:00AM - 10:59AM,79,270,238,281,219,172,158,1417
11:00AM - 11:59AM,103,292,309,272,305,168,176,1625
12:00PM - 12:59PM,140,239,275,244,285,213,194,1590
1:00PM - 1:59PM,104,326,308,324,308,182,174,1726
2:00PM - 2:59PM,193,205,262,247,254,205,234,1600
3:00PM - 3:59PM,183,378,418,286,301,267,219,2052
4:00PM - 4:59PM,182,314,362,284,282,319,161,1904
5:00PM - 5:59PM,216,368,345,297,287,226,132,1871
6:00PM - 6:59PM,156,370,360,322,357,207,149,1921
7:00PM - 7:59PM,183,367,375,307,341,160,122,1855
8:00PM - 8:59PM,181,444,420,295,283,119,111,1853
9:00PM - 9:59PM,133,293,300,235,175,104,74,1314
10:00PM - 10:59PM,82,150,137,136,116,71,68,760
11:00PM - 11:59PM,7,21,23,20,16,9,18,114
Membership Totals:,1942,4757,4709,4213,4065,2730,1990,24406
Membership Type: Faculty & Staff,,,,,,,,
6:00PM - 6:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,1,0,0,0,0,1
Membership Type: PE & Rec Staff,,,,,,,,
9:00AM - 9:59AM,0,2,1,1,1,1,0,6
10:00AM - 10:59AM,0,0,1,1,2,1,0,5
11:00AM - 11:59AM,0,1,0,1,0,0,1,3
12:00PM - 12:59PM,0,1,0,0,0,0,1,2
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
3:00PM - 3:59PM,0,0,1,0,1,0,0,2
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
8:00PM - 8:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,4,4,5,4,2,2,21
Totals:,2027,4909,4840,4347,4174,2854,2073,25224
"Mon, Feb 3 2025 9:51A",,,,,,,,Page: 1/1
