Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Dec 18, 2017 12:00 AM to Sun, Dec 24, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,1,3,4,2,4,0,14
11:00AM - 11:59AM,0,1,1,2,0,3,0,7
12:00PM - 12:59PM,0,5,0,1,1,0,0,7
1:00PM - 1:59PM,0,0,1,0,1,0,0,2
2:00PM - 2:59PM,0,2,0,0,0,2,0,4
3:00PM - 3:59PM,0,0,1,0,1,0,0,2
4:00PM - 4:59PM,0,0,1,3,0,6,0,10
5:00PM - 5:59PM,0,1,2,0,2,1,0,6
Membership Totals:,0,10,9,10,7,16,0,52
Membership Type: Alumni Members,,,,,,,,
10:00AM - 10:59AM,0,10,7,10,3,5,0,35
11:00AM - 11:59AM,0,6,6,4,2,8,0,26
12:00PM - 12:59PM,0,3,3,0,0,2,0,8
1:00PM - 1:59PM,0,2,1,3,1,2,0,9
2:00PM - 2:59PM,0,5,1,7,1,4,0,18
3:00PM - 3:59PM,0,2,4,2,2,4,0,14
4:00PM - 4:59PM,0,11,4,4,6,3,0,28
5:00PM - 5:59PM,0,14,8,3,6,1,0,32
6:00PM - 6:59PM,0,4,10,1,4,2,0,21
7:00PM - 7:59PM,0,0,3,2,2,2,0,9
Membership Totals:,0,57,47,36,27,33,0,200
Membership Type: Community Members,,,,,,,,
10:00AM - 10:59AM,0,9,6,7,2,4,0,28
11:00AM - 11:59AM,0,7,4,4,4,2,0,21
12:00PM - 12:59PM,0,7,3,2,1,4,0,17
1:00PM - 1:59PM,0,3,1,2,7,6,0,19
2:00PM - 2:59PM,0,5,2,4,2,4,0,17
3:00PM - 3:59PM,0,4,3,5,7,0,0,19
4:00PM - 4:59PM,0,0,7,5,6,3,0,21
5:00PM - 5:59PM,0,9,7,1,1,1,0,19
6:00PM - 6:59PM,0,7,6,8,8,2,0,31
7:00PM - 7:59PM,0,0,1,2,0,0,0,3
Membership Totals:,0,51,40,40,38,26,0,195
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,1,1,1,1,1,0,5
2:00PM - 2:59PM,0,1,0,0,1,0,0,2
3:00PM - 3:59PM,0,0,1,1,0,1,0,3
4:00PM - 4:59PM,0,0,1,0,0,0,0,1
5:00PM - 5:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,2,4,2,2,2,0,12
Membership Type: Current Student,,,,,,,,
10:00AM - 10:59AM,0,49,41,44,30,16,0,180
11:00AM - 11:59AM,0,53,29,28,28,27,0,165
12:00PM - 12:59PM,0,38,32,26,19,21,0,136
1:00PM - 1:59PM,0,39,24,21,24,20,0,128
2:00PM - 2:59PM,0,53,29,42,19,20,0,163
3:00PM - 3:59PM,0,41,38,20,25,22,0,146
4:00PM - 4:59PM,0,51,45,44,34,33,0,207
