Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jul 17, 2017 12:00 AM to Sun, Jul 23, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,0,0,0,1,0,0,1
8:00AM - 8:59AM,0,1,0,0,1,0,0,2
9:00AM - 9:59AM,0,2,0,0,0,0,0,2
10:00AM - 10:59AM,0,1,0,2,2,0,0,5
11:00AM - 11:59AM,0,0,1,2,1,1,0,5
12:00PM - 12:59PM,2,2,1,2,0,0,1,8
1:00PM - 1:59PM,0,2,0,1,0,0,0,3
2:00PM - 2:59PM,1,0,0,0,1,0,0,2
3:00PM - 3:59PM,0,0,2,1,3,1,0,7
4:00PM - 4:59PM,0,0,3,1,2,1,0,7
5:00PM - 5:59PM,0,1,2,2,1,1,1,8
6:00PM - 6:59PM,0,0,0,3,0,0,1,4
Membership Totals:,3,9,10,14,12,4,3,55
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,4,2,1,1,0,0,8
7:00AM - 7:59AM,0,1,2,0,2,1,0,6
8:00AM - 8:59AM,0,0,0,0,0,1,0,1
9:00AM - 9:59AM,0,1,1,1,1,1,0,5
10:00AM - 10:59AM,0,3,3,4,2,4,0,16
11:00AM - 11:59AM,0,2,2,0,0,0,0,4
12:00PM - 12:59PM,6,2,3,1,2,3,3,20
1:00PM - 1:59PM,2,2,2,2,0,1,1,10
2:00PM - 2:59PM,1,5,3,0,1,2,0,12
3:00PM - 3:59PM,1,4,0,0,0,2,0,7
4:00PM - 4:59PM,2,2,5,4,2,2,2,19
5:00PM - 5:59PM,0,7,4,5,2,0,0,18
6:00PM - 6:59PM,0,3,3,3,1,5,1,16
7:00PM - 7:59PM,1,0,0,2,3,2,0,8
Membership Totals:,13,36,30,23,17,24,7,150
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,1,1,2,2,2,0,8
7:00AM - 7:59AM,0,2,2,0,1,4,0,9
8:00AM - 8:59AM,0,2,1,0,0,0,0,3
9:00AM - 9:59AM,0,1,3,2,2,0,0,8
10:00AM - 10:59AM,0,1,0,1,0,0,0,2
11:00AM - 11:59AM,0,2,0,4,1,2,0,9
12:00PM - 12:59PM,4,1,1,1,0,3,5,15
1:00PM - 1:59PM,6,0,1,1,0,0,1,9
2:00PM - 2:59PM,5,2,3,4,2,2,0,18
3:00PM - 3:59PM,3,1,2,4,3,3,1,17
4:00PM - 4:59PM,3,4,3,2,0,1,3,16
5:00PM - 5:59PM,1,7,0,3,3,0,2,16
6:00PM - 6:59PM,0,6,3,6,5,3,3,26
7:00PM - 7:59PM,1,2,0,0,1,2,1,7
Membership Totals:,23,32,20,30,20,22,16,163
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,1,2,1,1,1,0,6
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
3:00PM - 3:59PM,0,1,1,0,1,0,0,3
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,2,3,2,2,2,0,11
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,14,15,10,10,10,0,59
7:00AM - 7:59AM,0,11,14,9,15,13,0,62
8:00AM - 8:59AM,0,49,43,49,44,26,0,211
9:00AM - 9:59AM,0,32,27,28,20,22,0,129
10:00AM - 10:59AM,0,20,27,30,24,22,0,123
11:00AM - 11:59AM,0,55,40,49,37,40,0,221
12:00PM - 12:59PM,40,57,43,59,30,36,45,310
1:00PM - 1:59PM,32,47,49,32,42,40,28,270
2:00PM - 2:59PM,41,57,46,45,41,28,20,278
3:00PM - 3:59PM,31,79,74,47,71,43,19,364
4:00PM - 4:59PM,24,102,109,94,63,75,28,495
5:00PM - 5:59PM,58,90,79,100,70,61,23,481
6:00PM - 6:59PM,22,99,87,96,65,38,31,438
7:00PM - 7:59PM,10,29,16,16,11,18,11,111
Membership Totals:,258,741,669,664,543,472,205,3552
Membership Type: Current Student 1,,,,,,,,
6:00AM - 6:59AM,0,0,3,1,1,1,0,6
11:00AM - 11:59AM,0,0,0,2,0,0,0,2
2:00PM - 2:59PM,0,0,0,0,1,0,0,1
3:00PM - 3:59PM,0,2,0,0,0,0,0,2
4:00PM - 4:59PM,0,1,0,0,0,0,1,2
5:00PM - 5:59PM,0,0,0,4,0,2,0,6
6:00PM - 6:59PM,0,2,0,1,0,0,0,3
Membership Totals:,0,5,3,8,2,3,1,22
Membership Type: PE & Rec Staff,,,,,,,,
6:00AM - 6:59AM,0,0,2,1,0,1,0,4
7:00AM - 7:59AM,0,0,7,0,0,0,0,7
8:00AM - 8:59AM,0,0,2,1,0,3,0,6
9:00AM - 9:59AM,0,0,0,0,2,1,0,3
10:00AM - 10:59AM,0,0,1,2,0,3,0,6
11:00AM - 11:59AM,0,3,4,3,2,0,0,12
12:00PM - 12:59PM,0,1,1,1,2,1,1,7
1:00PM - 1:59PM,0,7,2,1,4,4,0,18
2:00PM - 2:59PM,0,4,7,2,1,1,2,17
3:00PM - 3:59PM,1,1,0,3,4,0,0,9
4:00PM - 4:59PM,2,10,5,4,2,2,0,25
5:00PM - 5:59PM,0,2,2,4,0,2,0,10
6:00PM - 6:59PM,1,1,0,0,1,1,0,4
7:00PM - 7:59PM,0,1,1,0,1,0,0,3
Membership Totals:,4,30,34,22,19,19,3,131
Totals:,301,855,769,763,615,546,235,4084
"Mon, Feb 3 2025 10:35A",,,,,,,,Page: 1/1
