Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, May 29, 2017 12:00 AM to Sun, Jun 4, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,1,0,0,2
7:00AM - 7:59AM,0,0,1,0,0,0,0,1
8:00AM - 8:59AM,0,0,1,1,0,3,0,5
9:00AM - 9:59AM,0,0,2,0,0,0,0,2
10:00AM - 10:59AM,0,0,0,2,1,0,0,3
11:00AM - 11:59AM,2,1,1,2,0,2,1,9
12:00PM - 12:59PM,0,0,0,1,0,2,0,3
1:00PM - 1:59PM,0,0,0,1,0,1,1,3
2:00PM - 2:59PM,0,0,1,1,0,1,0,3
3:00PM - 3:59PM,1,0,1,2,1,3,0,8
4:00PM - 4:59PM,1,0,0,0,0,2,1,4
5:00PM - 5:59PM,0,0,2,1,2,3,1,9
6:00PM - 6:59PM,0,1,1,0,1,0,0,3
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
8:00PM - 8:59PM,1,0,1,0,0,0,0,2
9:00PM - 9:59PM,0,0,0,0,0,1,0,1
Membership Totals:,5,2,12,12,6,18,4,59
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,0,1,3,1,3,0,8
7:00AM - 7:59AM,0,0,2,1,0,1,0,4
8:00AM - 8:59AM,0,0,2,2,0,1,0,5
9:00AM - 9:59AM,0,1,1,4,1,1,0,8
10:00AM - 10:59AM,6,5,2,3,4,4,0,24
11:00AM - 11:59AM,4,0,2,1,2,1,0,10
12:00PM - 12:59PM,3,0,2,2,0,2,2,11
1:00PM - 1:59PM,0,3,3,2,1,4,1,14
2:00PM - 2:59PM,2,3,1,2,1,3,2,14
3:00PM - 3:59PM,2,2,3,4,2,2,1,16
4:00PM - 4:59PM,1,2,6,3,2,2,0,16
5:00PM - 5:59PM,2,2,2,5,3,3,1,18
6:00PM - 6:59PM,1,3,5,4,4,7,2,26
7:00PM - 7:59PM,1,0,5,1,8,1,1,17
8:00PM - 8:59PM,3,0,2,0,3,1,0,9
9:00PM - 9:59PM,3,0,0,1,0,1,0,5
11:00PM - 11:59PM,0,0,1,0,0,0,0,1
Membership Totals:,28,21,40,38,32,37,10,206
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,0,0,0,1,0,1
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,4,7,4,3,0,18
7:00AM - 7:59AM,0,0,3,0,3,3,0,9
8:00AM - 8:59AM,0,0,2,0,2,1,0,5
9:00AM - 9:59AM,0,1,0,1,6,3,0,11
10:00AM - 10:59AM,2,2,3,1,3,1,1,13
11:00AM - 11:59AM,2,0,2,2,2,2,3,13
12:00PM - 12:59PM,1,5,2,1,1,2,2,14
