Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, May 15, 2017 12:00 AM to Sun, May 21, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,0,0,0,0,2
7:00AM - 7:59AM,0,1,1,0,1,0,0,3
8:00AM - 8:59AM,0,1,5,1,0,4,0,11
9:00AM - 9:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,1,1,0,0,0,0,1,3
11:00AM - 11:59AM,0,1,0,2,2,1,0,6
12:00PM - 12:59PM,2,0,1,0,0,0,0,3
1:00PM - 1:59PM,0,1,0,0,0,1,0,2
2:00PM - 2:59PM,0,0,0,0,2,0,1,3
3:00PM - 3:59PM,1,0,1,2,2,2,1,9
4:00PM - 4:59PM,0,7,2,1,3,1,0,14
5:00PM - 5:59PM,0,4,0,3,2,1,0,10
6:00PM - 6:59PM,1,1,0,0,1,0,0,3
7:00PM - 7:59PM,0,0,2,0,0,0,0,2
Membership Totals:,5,18,13,9,14,10,3,72
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,1,2,2,3,0,11
7:00AM - 7:59AM,0,1,1,2,1,3,0,8
8:00AM - 8:59AM,0,3,6,5,0,0,0,14
9:00AM - 9:59AM,0,6,1,5,4,2,0,18
10:00AM - 10:59AM,5,3,5,5,4,4,2,28
11:00AM - 11:59AM,1,11,4,6,1,2,0,25
12:00PM - 12:59PM,1,2,0,1,3,1,2,10
1:00PM - 1:59PM,2,0,0,1,1,0,3,7
2:00PM - 2:59PM,3,2,1,4,1,3,2,16
3:00PM - 3:59PM,2,1,5,4,1,1,0,14
4:00PM - 4:59PM,1,2,4,4,2,2,0,15
5:00PM - 5:59PM,5,4,3,6,5,5,0,28
6:00PM - 6:59PM,0,9,5,5,8,4,1,32
7:00PM - 7:59PM,2,1,2,5,1,2,6,19
8:00PM - 8:59PM,1,0,1,1,3,2,0,8
9:00PM - 9:59PM,1,0,3,2,1,1,1,9
10:00PM - 10:59PM,1,1,1,1,1,2,0,7
11:00PM - 11:59PM,0,0,0,0,1,0,0,1
Membership Totals:,25,49,43,59,40,37,17,270
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,4,6,7,6,4,0,27
7:00AM - 7:59AM,0,2,3,2,1,3,0,11
8:00AM - 8:59AM,0,2,3,0,2,2,0,9
9:00AM - 9:59AM,0,2,2,1,2,2,0,9
10:00AM - 10:59AM,2,1,2,2,0,2,4,13
11:00AM - 11:59AM,2,5,1,6,4,1,4,23
12:00PM - 12:59PM,1,0,0,0,2,5,3,11
1:00PM - 1:59PM,2,3,2,3,1,3,1,15
