Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Oct 16, 2017 12:00 AM to Sun, Oct 22, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,2,0,1,1,0,4
7:00AM - 7:59AM,0,0,1,0,1,1,0,3
8:00AM - 8:59AM,0,1,1,3,0,2,0,7
9:00AM - 9:59AM,0,1,2,0,0,1,0,4
10:00AM - 10:59AM,0,0,1,0,1,0,1,3
11:00AM - 11:59AM,0,1,0,1,0,2,0,4
12:00PM - 12:59PM,2,2,0,1,1,1,2,9
1:00PM - 1:59PM,1,1,0,0,1,0,0,3
2:00PM - 2:59PM,0,0,1,0,0,0,0,1
3:00PM - 3:59PM,6,3,2,0,0,0,0,11
4:00PM - 4:59PM,0,2,0,1,1,4,0,8
5:00PM - 5:59PM,0,1,3,1,1,3,0,9
6:00PM - 6:59PM,0,0,3,0,0,0,0,3
7:00PM - 7:59PM,1,0,1,0,0,0,0,2
8:00PM - 8:59PM,0,1,0,0,0,0,1,2
10:00PM - 10:59PM,0,0,0,0,0,1,0,1
11:00PM - 11:59PM,0,0,0,1,0,0,0,1
Membership Totals:,10,13,17,8,7,16,4,75
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,2,1,1,4,0,10
7:00AM - 7:59AM,0,2,2,2,2,1,0,9
8:00AM - 8:59AM,0,2,2,1,1,3,0,9
9:00AM - 9:59AM,0,2,1,2,2,2,0,9
10:00AM - 10:59AM,4,4,5,3,2,4,4,26
11:00AM - 11:59AM,0,5,0,4,2,2,2,15
12:00PM - 12:59PM,1,1,3,3,3,1,2,14
1:00PM - 1:59PM,6,2,2,2,2,2,2,18
2:00PM - 2:59PM,3,1,2,4,1,1,2,14
3:00PM - 3:59PM,0,4,2,0,1,4,1,12
4:00PM - 4:59PM,0,3,2,1,2,5,3,16
5:00PM - 5:59PM,3,5,3,2,3,3,2,21
6:00PM - 6:59PM,3,10,3,3,6,5,4,34
7:00PM - 7:59PM,0,3,1,6,6,4,0,20
8:00PM - 8:59PM,1,4,2,2,1,5,4,19
9:00PM - 9:59PM,1,2,1,2,1,0,0,7
10:00PM - 10:59PM,2,1,2,1,3,0,3,12
Membership Totals:,24,53,35,39,39,46,29,265
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,3,1,2,2,3,0,11
7:00AM - 7:59AM,0,2,2,2,0,1,0,7
8:00AM - 8:59AM,0,0,2,1,1,0,0,4
9:00AM - 9:59AM,0,1,1,1,1,1,0,5
10:00AM - 10:59AM,1,0,4,1,1,4,3,14
11:00AM - 11:59AM,5,2,1,3,1,3,2,17
12:00PM - 12:59PM,1,1,4,1,3,2,1,13
1:00PM - 1:59PM,0,3,2,6,1,2,3,17
2:00PM - 2:59PM,3,8,5,5,4,5,0,30
