Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Sep 4, 2017 12:00 AM to Sun, Sep 10, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,0,0,2,0,3,0,5
11:00AM - 11:59AM,0,0,0,3,1,2,0,6
12:00PM - 12:59PM,0,0,0,1,1,1,0,3
1:00PM - 1:59PM,0,0,0,3,2,0,0,5
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
3:00PM - 3:59PM,0,0,0,0,1,1,0,2
4:00PM - 4:59PM,0,0,0,1,2,0,0,3
5:00PM - 5:59PM,0,0,0,3,3,7,0,13
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,14,12,14,0,40
Membership Type: Alumni Members,,,,,,,,
10:00AM - 10:59AM,0,0,0,2,4,5,0,11
11:00AM - 11:59AM,0,0,0,5,1,5,0,11
12:00PM - 12:59PM,0,0,0,3,1,6,0,10
1:00PM - 1:59PM,0,0,0,1,0,1,0,2
2:00PM - 2:59PM,0,0,0,2,2,1,0,5
3:00PM - 3:59PM,0,0,0,2,2,3,0,7
4:00PM - 4:59PM,0,0,0,1,3,2,0,6
5:00PM - 5:59PM,0,0,0,3,1,2,0,6
6:00PM - 6:59PM,0,0,0,6,7,3,0,16
7:00PM - 7:59PM,0,0,0,2,0,2,0,4
Membership Totals:,0,0,0,27,21,30,0,78
Membership Type: Community Members,,,,,,,,
10:00AM - 10:59AM,0,0,0,6,4,5,0,15
11:00AM - 11:59AM,0,0,0,2,3,2,0,7
12:00PM - 12:59PM,0,0,0,3,3,2,0,8
1:00PM - 1:59PM,0,0,0,2,3,0,0,5
2:00PM - 2:59PM,0,0,0,7,3,1,0,11
3:00PM - 3:59PM,0,0,0,5,3,2,0,10
4:00PM - 4:59PM,0,0,0,1,3,1,0,5
5:00PM - 5:59PM,0,0,0,8,4,4,0,16
6:00PM - 6:59PM,0,0,0,6,8,9,0,23
7:00PM - 7:59PM,0,0,0,0,2,5,0,7
Membership Totals:,0,0,0,40,36,31,0,107
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,0,0,1,0,1,0,2
11:00AM - 11:59AM,0,0,0,0,1,0,0,1
3:00PM - 3:59PM,0,0,0,1,1,1,0,3
Membership Totals:,0,0,0,2,2,2,0,6
Membership Type: Current Student,,,,,,,,
10:00AM - 10:59AM,0,0,0,54,47,39,0,140
11:00AM - 11:59AM,0,0,0,68,54,31,0,153
12:00PM - 12:59PM,0,0,0,45,37,35,0,117
1:00PM - 1:59PM,0,0,0,46,43,43,0,132
2:00PM - 2:59PM,0,0,0,43,36,44,0,123
3:00PM - 3:59PM,0,0,0,51,60,38,0,149
4:00PM - 4:59PM,0,0,0,90,57,58,0,205
5:00PM - 5:59PM,0,0,0,123,84,49,0,256
6:00PM - 6:59PM,0,0,0,93,77,55,0,225
7:00PM - 7:59PM,0,0,0,15,5,7,0,27
Membership Totals:,0,0,0,628,500,399,0,1527
Membership Type: Current Student 1,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
6:00PM - 6:59PM,0,0,0,1,1,0,0,2
