Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 25, 2018 12:00 AM to Sun, Jul 1, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,1,0,2
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,1,2,1,2,0,0,6
10:00AM - 10:59AM,0,2,1,2,2,2,0,9
11:00AM - 11:59AM,0,1,2,0,0,1,0,4
12:00PM - 12:59PM,0,3,2,2,4,2,2,15
1:00PM - 1:59PM,0,0,0,0,0,3,0,3
2:00PM - 2:59PM,0,2,0,0,0,0,1,3
3:00PM - 3:59PM,0,2,3,2,1,3,0,11
4:00PM - 4:59PM,1,1,1,1,3,5,1,13
5:00PM - 5:59PM,2,7,4,2,1,3,4,23
6:00PM - 6:59PM,1,1,2,3,3,1,0,11
7:00PM - 7:59PM,0,0,1,0,0,0,1,2
Membership Totals:,4,21,19,13,16,21,9,103
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,1,2,1,1,3,0,8
7:00AM - 7:59AM,0,0,2,0,2,1,0,5
8:00AM - 8:59AM,0,0,2,2,2,2,0,8
9:00AM - 9:59AM,0,3,2,2,1,2,0,10
10:00AM - 10:59AM,0,2,4,2,1,2,0,11
11:00AM - 11:59AM,0,2,0,2,2,0,0,6
12:00PM - 12:59PM,6,1,0,1,1,2,2,13
1:00PM - 1:59PM,1,1,3,0,1,1,0,7
2:00PM - 2:59PM,0,1,1,1,0,1,2,6
3:00PM - 3:59PM,2,3,2,1,5,0,0,13
4:00PM - 4:59PM,1,2,2,3,2,4,0,14
5:00PM - 5:59PM,0,3,7,2,7,4,1,24
6:00PM - 6:59PM,0,2,5,4,3,4,1,19
7:00PM - 7:59PM,1,0,2,2,1,0,1,7
Membership Totals:,11,21,34,23,29,26,7,151
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,3,2,1,0,0,6
7:00AM - 7:59AM,0,1,0,1,2,1,0,5
8:00AM - 8:59AM,0,0,1,2,1,1,0,5
9:00AM - 9:59AM,0,2,1,0,1,1,0,5
10:00AM - 10:59AM,0,3,4,2,1,5,0,15
11:00AM - 11:59AM,0,3,2,2,0,4,1,12
12:00PM - 12:59PM,2,0,4,5,0,0,5,16
1:00PM - 1:59PM,1,1,0,1,2,2,2,9
2:00PM - 2:59PM,3,2,4,3,3,1,6,22
3:00PM - 3:59PM,0,2,1,0,3,0,1,7
4:00PM - 4:59PM,0,2,0,0,2,2,0,6
5:00PM - 5:59PM,0,1,7,5,2,6,0,21
6:00PM - 6:59PM,1,1,1,5,6,1,3,18
7:00PM - 7:59PM,0,2,1,0,0,6,0,9
Membership Totals:,7,20,29,28,24,30,18,156
Membership Type: Community Membership,,,,,,,,
