Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Feb 26, 2018 12:00 AM to Sun, Mar 4, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,1,0,1,0,3
7:00AM - 7:59AM,0,0,1,1,0,1,0,3
8:00AM - 8:59AM,0,1,1,1,1,0,0,4
9:00AM - 9:59AM,0,1,0,1,0,0,0,2
10:00AM - 10:59AM,2,1,0,0,0,0,2,5
11:00AM - 11:59AM,0,3,0,3,2,1,0,9
12:00PM - 12:59PM,2,0,2,1,0,2,0,7
1:00PM - 1:59PM,1,0,0,0,0,0,1,2
2:00PM - 2:59PM,0,1,0,1,0,0,0,2
3:00PM - 3:59PM,1,0,1,1,2,0,1,6
4:00PM - 4:59PM,0,0,2,0,1,0,1,4
5:00PM - 5:59PM,1,8,1,2,2,3,2,19
6:00PM - 6:59PM,1,1,0,0,3,0,0,5
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
8:00PM - 8:59PM,0,0,0,0,0,1,0,1
Membership Totals:,8,16,9,12,12,9,7,73
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,4,9,3,7,4,0,27
7:00AM - 7:59AM,0,5,3,6,2,3,0,19
8:00AM - 8:59AM,0,0,3,2,2,2,0,9
9:00AM - 9:59AM,0,2,2,2,2,3,0,11
10:00AM - 10:59AM,11,2,6,3,3,4,6,35
11:00AM - 11:59AM,3,6,3,4,1,3,4,24
12:00PM - 12:59PM,1,2,1,1,3,3,2,13
1:00PM - 1:59PM,3,4,2,0,2,1,3,15
2:00PM - 2:59PM,2,3,2,5,2,3,2,19
3:00PM - 3:59PM,3,4,2,0,2,5,5,21
4:00PM - 4:59PM,2,1,4,3,3,3,0,16
5:00PM - 5:59PM,3,11,4,10,4,7,1,40
6:00PM - 6:59PM,1,11,7,10,5,4,0,38
7:00PM - 7:59PM,0,5,4,4,8,2,3,26
8:00PM - 8:59PM,0,5,4,2,4,0,1,16
9:00PM - 9:59PM,5,2,3,1,3,0,0,14
10:00PM - 10:59PM,0,1,0,1,3,0,1,6
Membership Totals:,34,68,59,57,56,47,28,349
Membership Type: Class MWF,,,,,,,,
11:00AM - 11:59AM,0,1,0,0,0,0,0,1
12:00PM - 12:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,1,0,1,0,0,0,2
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,1,0,1,0,2
Membership Totals:,0,0,0,1,0,1,0,2
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,1,1,1,0,0,4
Membership Totals:,0,1,1,1,1,0,0,4
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,4,2,5,2,2,0,15
7:00AM - 7:59AM,0,2,2,1,1,3,0,9
8:00AM - 8:59AM,0,3,0,3,2,2,0,10
9:00AM - 9:59AM,0,4,1,2,0,2,0,9
10:00AM - 10:59AM,2,1,1,1,1,1,9,16
11:00AM - 11:59AM,4,2,1,1,3,4,5,20
12:00PM - 12:59PM,0,1,4,5,3,4,2,19
1:00PM - 1:59PM,4,1,3,0,2,3,1,14
2:00PM - 2:59PM,1,9,6,6,10,5,4,41
3:00PM - 3:59PM,2,5,3,5,4,6,0,25
4:00PM - 4:59PM,3,5,9,12,7,2,4,42
5:00PM - 5:59PM,0,10,7,8,9,2,1,37
6:00PM - 6:59PM,2,12,12,8,5,4,4,47
7:00PM - 7:59PM,3,9,7,6,12,6,2,45
8:00PM - 8:59PM,4,4,2,2,7,1,2,22
9:00PM - 9:59PM,3,3,2,2,2,3,2,17
10:00PM - 10:59PM,0,1,1,3,2,0,1,8
11:00PM - 11:59PM,0,0,0,0,0,0,2,2
Membership Totals:,28,76,63,70,72,50,39,398
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,1,1,1,1,1,1,1,7
2:00PM - 2:59PM,1,1,1,1,1,1,1,7
3:00PM - 3:59PM,1,0,0,0,0,0,0,1
6:00PM - 6:59PM,0,1,0,0,0,0,0,1
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
Membership Totals:,3,3,3,2,2,2,2,17
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,73,89,71,101,62,0,396
7:00AM - 7:59AM,0,78,73,58,55,55,0,319
8:00AM - 8:59AM,0,180,167,153,157,57,0,714
9:00AM - 9:59AM,0,282,285,248,238,103,0,1156
10:00AM - 10:59AM,108,254,224,260,239,199,126,1410
11:00AM - 11:59AM,141,334,283,289,307,164,111,1629
12:00PM - 12:59PM,94,248,247,233,262,168,143,1395
1:00PM - 1:59PM,114,322,352,305,310,200,156,1759
2:00PM - 2:59PM,186,290,227,267,215,231,121,1537
3:00PM - 3:59PM,164,332,363,254,287,264,115,1779
4:00PM - 4:59PM,194,241,272,294,256,274,179,1710
5:00PM - 5:59PM,152,354,345,370,277,208,174,1880
6:00PM - 6:59PM,131,354,366,358,327,172,132,1840
7:00PM - 7:59PM,165,380,490,383,290,158,91,1957
8:00PM - 8:59PM,153,273,269,349,186,105,62,1397
9:00PM - 9:59PM,143,218,184,237,183,60,56,1081
10:00PM - 10:59PM,68,87,112,106,92,35,61,561
11:00PM - 11:59PM,10,31,13,24,15,13,11,117
Membership Totals:,1823,4331,4361,4259,3797,2528,1538,22637
Membership Type: PE & Rec Staff,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,2,0,0,3
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,2,5,1,2,0,0,10
10:00AM - 10:59AM,0,1,2,2,2,0,0,7
11:00AM - 11:59AM,2,3,3,2,1,0,1,12
12:00PM - 12:59PM,0,1,3,1,1,1,1,8
1:00PM - 1:59PM,0,4,1,2,1,0,0,8
2:00PM - 2:59PM,1,2,1,0,0,0,0,4
3:00PM - 3:59PM,0,0,0,1,4,2,0,7
4:00PM - 4:59PM,1,0,2,0,1,0,0,4
5:00PM - 5:59PM,0,0,1,1,0,0,0,2
6:00PM - 6:59PM,0,0,1,2,2,0,0,5
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
9:00PM - 9:59PM,0,0,0,0,1,0,0,1
Membership Totals:,4,15,19,13,17,3,2,73
Totals:,1900,4512,4515,4416,3957,2640,1616,23556
"Mon, Feb 3 2025 11:36A",,,,,,,,Page: 1/1
