Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 5, 2018 12:00 AM to Sun, Mar 11, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,0,1,0,0,3
7:00AM - 7:59AM,0,1,1,1,1,3,0,7
8:00AM - 8:59AM,0,3,0,1,0,0,0,4
9:00AM - 9:59AM,0,2,0,0,0,0,0,2
10:00AM - 10:59AM,2,1,3,0,0,1,3,10
11:00AM - 11:59AM,0,1,0,0,1,2,0,4
12:00PM - 12:59PM,0,1,0,0,0,0,0,1
1:00PM - 1:59PM,1,0,0,1,0,0,1,3
2:00PM - 2:59PM,0,0,1,2,0,1,1,5
3:00PM - 3:59PM,0,0,0,0,1,1,0,2
4:00PM - 4:59PM,0,4,0,0,3,1,0,8
5:00PM - 5:59PM,0,0,1,2,2,3,0,8
6:00PM - 6:59PM,0,0,1,0,0,0,0,1
7:00PM - 7:59PM,1,0,0,1,0,1,0,3
9:00PM - 9:59PM,0,0,0,0,0,0,1,1
Membership Totals:,4,14,8,8,9,13,6,62
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,1,3,3,4,0,13
7:00AM - 7:59AM,0,3,0,3,1,2,0,9
8:00AM - 8:59AM,0,0,4,1,1,0,0,6
9:00AM - 9:59AM,0,3,3,1,0,4,0,11
10:00AM - 10:59AM,5,4,1,4,4,2,5,25
11:00AM - 11:59AM,1,2,2,3,0,3,4,15
12:00PM - 12:59PM,2,4,1,1,2,0,1,11
1:00PM - 1:59PM,4,0,2,1,0,1,2,10
2:00PM - 2:59PM,6,1,1,1,1,2,2,14
3:00PM - 3:59PM,1,2,3,1,1,8,2,18
4:00PM - 4:59PM,0,0,3,2,2,2,3,12
5:00PM - 5:59PM,1,7,6,8,4,8,0,34
6:00PM - 6:59PM,0,10,6,10,8,4,5,43
7:00PM - 7:59PM,1,4,4,4,5,2,2,22
8:00PM - 8:59PM,1,4,4,1,3,0,1,14
9:00PM - 9:59PM,2,3,2,0,1,2,1,11
10:00PM - 10:59PM,0,0,1,1,2,0,1,5
Membership Totals:,24,49,44,45,38,44,29,273
Membership Type: Class MWF,,,,,,,,
11:00AM - 11:59AM,0,1,0,1,0,0,0,2
Membership Totals:,0,1,0,1,0,0,0,2
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,1,0,1,0,2
Membership Totals:,0,0,0,1,0,1,0,2
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,1,0,1,0,0,3
Membership Totals:,0,1,1,0,1,0,0,3
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
8:00PM - 8:59PM,0,0,0,1,1,0,0,2
Membership Totals:,0,0,0,1,1,0,0,2
