Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 19, 2018 12:00 AM to Sun, Mar 25, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
7:00AM - 7:59AM,0,1,1,0,0,0,0,2
8:00AM - 8:59AM,0,1,1,0,0,0,0,2
9:00AM - 9:59AM,0,1,0,0,0,0,0,1
10:00AM - 10:59AM,0,0,0,0,0,1,0,1
11:00AM - 11:59AM,0,2,2,0,1,2,0,7
12:00PM - 12:59PM,0,1,3,0,3,1,0,8
1:00PM - 1:59PM,0,1,1,0,0,1,0,3
2:00PM - 2:59PM,0,0,0,4,1,3,0,8
3:00PM - 3:59PM,0,1,1,0,1,0,0,3
4:00PM - 4:59PM,0,1,2,1,2,1,0,7
5:00PM - 5:59PM,0,1,5,1,4,2,0,13
6:00PM - 6:59PM,0,3,0,2,1,0,0,6
Membership Totals:,0,14,16,8,13,11,0,62
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,1,5,0,0,0,9
7:00AM - 7:59AM,0,3,1,3,0,0,0,7
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,1,1,2,0,0,0,4
10:00AM - 10:59AM,0,3,4,6,3,5,0,21
11:00AM - 11:59AM,0,2,1,4,2,4,0,13
12:00PM - 12:59PM,0,2,1,0,2,4,0,9
1:00PM - 1:59PM,0,0,2,4,2,0,0,8
2:00PM - 2:59PM,0,3,2,2,1,4,0,12
3:00PM - 3:59PM,0,0,1,2,2,5,0,10
4:00PM - 4:59PM,0,3,1,5,3,1,0,13
5:00PM - 5:59PM,0,8,7,8,8,5,0,36
6:00PM - 6:59PM,0,9,10,8,9,4,0,40
7:00PM - 7:59PM,0,6,3,1,1,4,0,15
8:00PM - 8:59PM,0,4,4,1,0,0,0,9
9:00PM - 9:59PM,0,2,0,0,0,0,0,2
10:00PM - 10:59PM,0,1,1,2,0,0,0,4
11:00PM - 11:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,52,40,53,33,36,0,214
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,5,4,3,0,0,0,12
7:00AM - 7:59AM,0,2,3,1,0,0,0,6
8:00AM - 8:59AM,0,2,1,0,0,0,0,3
9:00AM - 9:59AM,0,3,0,3,0,0,0,6
10:00AM - 10:59AM,0,4,3,3,2,4,0,16
11:00AM - 11:59AM,0,1,1,3,7,4,0,16
12:00PM - 12:59PM,0,2,4,2,1,1,0,10
1:00PM - 1:59PM,0,3,6,5,0,3,0,17
2:00PM - 2:59PM,0,6,5,2,4,3,0,20
3:00PM - 3:59PM,0,5,2,3,5,2,0,17
4:00PM - 4:59PM,0,1,2,1,3,2,0,9
5:00PM - 5:59PM,0,5,5,2,5,6,0,23
