Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, May 14, 2018 12:00 AM to Sun, May 20, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,5,0,0,0,7
7:00AM - 7:59AM,0,0,1,1,0,2,0,4
8:00AM - 8:59AM,0,0,1,0,1,1,0,3
9:00AM - 9:59AM,0,0,2,0,1,0,0,3
10:00AM - 10:59AM,1,0,0,0,0,0,0,1
11:00AM - 11:59AM,0,2,0,1,0,1,0,4
12:00PM - 12:59PM,0,2,1,0,1,1,1,6
1:00PM - 1:59PM,0,1,1,0,0,0,1,3
2:00PM - 2:59PM,0,1,2,0,0,0,0,3
4:00PM - 4:59PM,0,1,1,2,3,2,1,10
5:00PM - 5:59PM,0,1,1,0,0,2,0,4
6:00PM - 6:59PM,0,0,1,0,2,0,0,3
7:00PM - 7:59PM,2,1,0,0,0,0,0,3
Membership Totals:,3,10,12,9,8,9,3,54
Membership Type: Alumni Members,,,,,,,,
5:00AM - 5:59AM,0,1,0,0,0,0,0,1
6:00AM - 6:59AM,0,6,4,2,3,2,0,17
7:00AM - 7:59AM,0,1,3,3,2,1,0,10
8:00AM - 8:59AM,0,1,1,0,0,1,0,3
9:00AM - 9:59AM,0,2,4,2,3,3,0,14
10:00AM - 10:59AM,3,3,7,4,2,3,2,24
11:00AM - 11:59AM,3,4,3,1,2,0,4,17
12:00PM - 12:59PM,2,3,3,3,1,2,0,14
1:00PM - 1:59PM,0,0,5,0,3,1,3,12
2:00PM - 2:59PM,2,2,1,1,1,1,0,8
3:00PM - 3:59PM,1,1,0,1,3,0,2,8
4:00PM - 4:59PM,2,2,6,0,5,0,2,17
5:00PM - 5:59PM,6,11,3,8,6,2,0,36
6:00PM - 6:59PM,2,7,5,7,10,7,3,41
7:00PM - 7:59PM,1,2,4,5,4,3,2,21
8:00PM - 8:59PM,1,1,7,5,5,2,2,23
9:00PM - 9:59PM,1,3,2,1,7,0,0,14
10:00PM - 10:59PM,1,1,3,2,3,0,2,12
Membership Totals:,25,51,61,45,60,28,22,292
Membership Type: Class MWF,,,,,,,,
2:00PM - 2:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,1,0,0,0,1
5:00PM - 5:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,0,1,0,1,0,2
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,3,1,2,3,0,9
7:00AM - 7:59AM,0,2,1,1,1,2,0,7
8:00AM - 8:59AM,0,2,2,3,1,3,0,11
9:00AM - 9:59AM,0,2,1,0,1,3,0,7
10:00AM - 10:59AM,2,5,4,1,3,2,5,22
11:00AM - 11:59AM,2,2,0,1,0,0,3,8
12:00PM - 12:59PM,1,0,1,1,0,1,1,5
1:00PM - 1:59PM,4,4,7,5,2,3,1,26
2:00PM - 2:59PM,0,6,5,3,4,5,2,25
3:00PM - 3:59PM,1,2,3,2,2,1,3,14
4:00PM - 4:59PM,3,4,4,6,3,3,3,26
5:00PM - 5:59PM,0,5,4,7,3,0,1,20
6:00PM - 6:59PM,2,6,5,1,3,4,3,24
7:00PM - 7:59PM,0,0,4,4,7,3,3,21
8:00PM - 8:59PM,0,4,3,3,3,1,1,15
9:00PM - 9:59PM,3,5,2,0,2,3,1,16
10:00PM - 10:59PM,1,1,1,2,2,2,0,9
11:00PM - 11:59PM,1,0,0,0,0,0,0,1
Membership Totals:,20,50,50,41,39,39,27,266
Membership Type: Community Membership,,,,,,,,
3:00PM - 3:59PM,1,0,0,0,0,0,0,1
4:00PM - 4:59PM,0,0,0,2,0,1,0,3
Membership Totals:,1,0,0,2,0,1,0,4
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,2,0,0,0,0,0,2
6:00AM - 6:59AM,0,113,87,80,74,31,0,385
7:00AM - 7:59AM,0,77,59,85,55,31,0,307
8:00AM - 8:59AM,0,158,169,162,135,67,0,691
9:00AM - 9:59AM,0,260,261,289,229,109,0,1148
10:00AM - 10:59AM,87,228,266,198,266,133,104,1282
11:00AM - 11:59AM,79,293,296,255,210,129,92,1354
12:00PM - 12:59PM,94,214,268,212,226,145,66,1225
1:00PM - 1:59PM,91,321,294,306,246,151,109,1518
2:00PM - 2:59PM,91,281,239,252,162,162,79,1266
3:00PM - 3:59PM,108,329,252,318,225,156,100,1488
4:00PM - 4:59PM,114,272,239,274,206,186,92,1383
5:00PM - 5:59PM,127,275,247,289,220,188,89,1435
6:00PM - 6:59PM,126,264,227,240,182,92,85,1216
7:00PM - 7:59PM,104,240,234,190,184,110,53,1115
8:00PM - 8:59PM,112,220,247,212,188,80,67,1126
9:00PM - 9:59PM,103,215,229,191,153,80,87,1058
10:00PM - 10:59PM,62,137,91,116,128,53,49,636
11:00PM - 11:59PM,5,37,30,16,15,10,14,127
Membership Totals:,1303,3936,3735,3685,3104,1913,1086,18762
Membership Type: PE & Rec Staff,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,0,1,0,2
8:00AM - 8:59AM,0,1,0,1,0,1,0,3
9:00AM - 9:59AM,0,2,2,5,1,0,0,10
10:00AM - 10:59AM,0,1,3,0,1,0,1,6
11:00AM - 11:59AM,2,0,1,1,2,1,0,7
12:00PM - 12:59PM,0,2,2,4,0,1,0,9
1:00PM - 1:59PM,0,4,3,2,1,0,0,10
2:00PM - 2:59PM,0,3,0,1,1,0,0,5
3:00PM - 3:59PM,0,0,0,1,1,0,0,2
4:00PM - 4:59PM,0,0,1,0,1,0,0,2
5:00PM - 5:59PM,0,0,1,0,0,0,0,1
6:00PM - 6:59PM,0,1,0,1,0,1,0,3
9:00PM - 9:59PM,0,1,0,0,0,0,0,1
Membership Totals:,2,15,13,17,8,5,1,61
Totals:,1354,4063,3871,3800,3219,1996,1139,19442
"Mon, Feb 3 2025 11:44A",,,,,,,,Page: 1/1
