Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Nov 19, 2018 12:00 AM to Sun, Nov 25, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,1,1,0,0,0,0,2
8:00AM - 8:59AM,0,0,2,4,0,0,0,6
9:00AM - 9:59AM,0,0,2,0,0,0,0,2
10:00AM - 10:59AM,0,2,0,0,0,0,0,2
11:00AM - 11:59AM,3,2,2,2,0,0,0,9
1:00PM - 1:59PM,0,0,0,2,0,0,0,2
2:00PM - 2:59PM,0,2,1,1,0,0,0,4
3:00PM - 3:59PM,0,0,0,3,0,0,0,3
4:00PM - 4:59PM,0,2,2,1,0,0,0,5
5:00PM - 5:59PM,1,4,0,6,0,0,0,11
6:00PM - 6:59PM,3,0,3,0,0,0,0,6
10:00PM - 10:59PM,1,0,0,0,0,0,0,1
Membership Totals:,8,13,14,19,0,0,0,54
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,6,3,5,0,0,0,14
7:00AM - 7:59AM,0,2,2,0,0,0,0,4
8:00AM - 8:59AM,0,0,4,3,0,0,0,7
9:00AM - 9:59AM,0,3,1,4,0,0,0,8
10:00AM - 10:59AM,6,0,5,1,0,0,0,12
11:00AM - 11:59AM,4,1,2,1,0,0,0,8
12:00PM - 12:59PM,1,3,0,3,0,0,0,7
1:00PM - 1:59PM,2,1,0,1,0,0,0,4
2:00PM - 2:59PM,2,3,3,4,0,0,0,12
3:00PM - 3:59PM,1,4,3,3,0,0,0,11
4:00PM - 4:59PM,3,6,4,7,0,0,0,20
5:00PM - 5:59PM,6,2,4,3,0,0,0,15
6:00PM - 6:59PM,3,7,6,7,0,0,0,23
7:00PM - 7:59PM,0,4,3,1,0,0,0,8
8:00PM - 8:59PM,1,2,0,0,0,0,0,3
9:00PM - 9:59PM,0,3,1,0,0,0,0,4
10:00PM - 10:59PM,0,1,0,0,0,0,0,1
Membership Totals:,29,48,41,43,0,0,0,161
Membership Type: Class MW,,,,,,,,
1:00PM - 1:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,0,0,0,0,0,1
7:00PM - 7:59PM,0,0,2,0,0,0,0,2
Membership Totals:,0,1,2,0,0,0,0,3
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,1,3,3,0,0,0,7
7:00AM - 7:59AM,0,1,4,0,0,0,0,5
8:00AM - 8:59AM,0,3,2,1,0,0,0,6
9:00AM - 9:59AM,0,1,3,1,0,0,0,5
10:00AM - 10:59AM,5,1,3,2,0,0,0,11
11:00AM - 11:59AM,0,1,0,5,0,0,0,6
12:00PM - 12:59PM,2,1,1,0,0,0,0,4
1:00PM - 1:59PM,3,4,2,2,0,0,0,11
2:00PM - 2:59PM,6,6,4,4,0,0,0,20
3:00PM - 3:59PM,2,2,5,2,0,0,0,11
4:00PM - 4:59PM,1,6,8,2,0,0,0,17
5:00PM - 5:59PM,5,6,4,4,0,0,0,19
6:00PM - 6:59PM,1,3,10,7,0,0,0,21
7:00PM - 7:59PM,0,1,4,2,0,0,0,7
8:00PM - 8:59PM,0,2,4,0,0,0,0,6
9:00PM - 9:59PM,1,1,1,0,0,0,0,3
10:00PM - 10:59PM,0,1,1,0,0,0,0,2
11:00PM - 11:59PM,1,1,0,0,0,0,0,2
Membership Totals:,27,42,59,35,0,0,0,163
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,76,46,51,0,0,0,173
7:00AM - 7:59AM,0,68,44,36,0,0,0,148
8:00AM - 8:59AM,0,108,98,72,0,0,0,278
9:00AM - 9:59AM,0,217,206,153,0,0,0,576
10:00AM - 10:59AM,67,207,213,153,0,0,0,640
11:00AM - 11:59AM,67,281,240,144,0,0,0,732
12:00PM - 12:59PM,61,235,184,142,0,0,0,622
1:00PM - 1:59PM,48,271,200,124,0,0,0,643
2:00PM - 2:59PM,58,199,129,92,0,0,0,478
3:00PM - 3:59PM,86,249,218,131,0,0,0,684
4:00PM - 4:59PM,114,242,163,113,0,0,0,632
5:00PM - 5:59PM,119,305,204,110,0,0,0,738
6:00PM - 6:59PM,84,223,144,93,0,0,0,544
7:00PM - 7:59PM,90,240,130,28,0,0,0,488
8:00PM - 8:59PM,72,175,87,0,0,0,0,334
9:00PM - 9:59PM,45,135,92,0,0,0,0,272
10:00PM - 10:59PM,51,63,69,0,0,0,0,183
11:00PM - 11:59PM,5,10,15,0,0,0,0,30
Membership Totals:,967,3304,2482,1442,0,0,0,8195
Membership Type: Current Student 1,,,,,,,,
12:00PM - 12:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Faculty/Staff,,,,,,,,
6:00AM - 6:59AM,0,3,2,3,0,0,0,8
7:00AM - 7:59AM,0,4,6,4,0,0,0,14
8:00AM - 8:59AM,0,3,7,2,0,0,0,12
9:00AM - 9:59AM,0,2,4,0,0,0,0,6
10:00AM - 10:59AM,4,6,3,3,0,0,0,16
11:00AM - 11:59AM,6,24,18,23,0,0,0,71
12:00PM - 12:59PM,1,12,8,9,0,0,0,30
1:00PM - 1:59PM,5,7,3,5,0,0,0,20
2:00PM - 2:59PM,5,7,5,3,0,0,0,20
3:00PM - 3:59PM,2,6,3,10,0,0,0,21
4:00PM - 4:59PM,5,13,13,10,0,0,0,41
5:00PM - 5:59PM,4,23,11,7,0,0,0,45
6:00PM - 6:59PM,3,5,3,4,0,0,0,15
7:00PM - 7:59PM,1,0,1,0,0,0,0,2
9:00PM - 9:59PM,0,1,3,0,0,0,0,4
Membership Totals:,36,116,90,83,0,0,0,325
Membership Type: NCU Semester Membership,,,,,,,,
7:00AM - 7:59AM,0,0,3,0,0,0,0,3
2:00PM - 2:59PM,0,1,0,0,0,0,0,1
3:00PM - 3:59PM,0,1,0,1,0,0,0,2
4:00PM - 4:59PM,0,0,0,1,0,0,0,1
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,4,4,2,0,0,0,10
Membership Type: PE & Rec Staff,,,,,,,,
