Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Oct 22, 2018 12:00 AM to Sun, Oct 28, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,0,2,0,2
7:00AM - 7:59AM,0,1,2,0,2,2,0,7
8:00AM - 8:59AM,0,0,0,0,0,1,0,1
9:00AM - 9:59AM,0,1,0,0,1,0,0,2
10:00AM - 10:59AM,1,1,1,1,1,1,0,6
11:00AM - 11:59AM,0,4,3,1,1,1,0,10
12:00PM - 12:59PM,0,0,1,0,2,1,1,5
1:00PM - 1:59PM,2,0,4,0,0,0,0,6
2:00PM - 2:59PM,1,0,0,1,1,2,0,5
3:00PM - 3:59PM,0,2,2,0,0,0,1,5
4:00PM - 4:59PM,0,1,1,0,0,1,0,3
5:00PM - 5:59PM,1,1,1,3,0,3,1,10
6:00PM - 6:59PM,0,1,1,0,0,2,0,4
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
10:00PM - 10:59PM,0,0,0,1,0,0,0,1
Membership Totals:,5,12,16,7,9,16,3,68
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,5,6,4,5,2,0,22
7:00AM - 7:59AM,0,2,2,1,2,1,0,8
8:00AM - 8:59AM,0,0,1,0,1,3,0,5
9:00AM - 9:59AM,0,1,1,3,2,1,0,8
10:00AM - 10:59AM,3,2,2,3,1,1,0,12
11:00AM - 11:59AM,4,3,0,4,1,3,0,15
12:00PM - 12:59PM,2,2,1,2,0,1,2,10
1:00PM - 1:59PM,0,3,2,4,4,0,1,14
2:00PM - 2:59PM,3,4,3,3,1,6,1,21
3:00PM - 3:59PM,1,0,3,3,1,5,5,18
4:00PM - 4:59PM,0,2,5,4,4,9,2,26
5:00PM - 5:59PM,2,4,6,5,2,2,2,23
6:00PM - 6:59PM,5,6,6,7,10,3,3,40
7:00PM - 7:59PM,1,2,2,4,3,2,2,16
8:00PM - 8:59PM,0,4,2,0,1,1,1,9
9:00PM - 9:59PM,0,0,0,1,1,0,1,3
10:00PM - 10:59PM,0,0,0,0,0,1,0,1
11:00PM - 11:59PM,0,0,0,0,0,0,2,2
Membership Totals:,21,40,42,48,39,41,22,253
Membership Type: Class MW,,,,,,,,
12:00PM - 12:59PM,0,1,0,1,0,0,0,2
Membership Totals:,0,1,0,1,0,0,0,2
Membership Type: Club Sport Fencing - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
6:00PM - 6:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,1,0,1,0,0,0,2
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,1,0,1,0,0,0,2
Membership Totals:,0,1,0,1,0,0,0,2
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
