Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Aug 13, 2018 12:00 AM to Sun, Aug 19, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,1,0,1,0,0,0,2
8:00AM - 8:59AM,0,2,0,0,0,0,0,2
9:00AM - 9:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,0,1,0,1,2,1,0,5
11:00AM - 11:59AM,0,1,3,2,1,4,0,11
12:00PM - 12:59PM,4,1,0,2,2,1,0,10
1:00PM - 1:59PM,2,1,2,1,0,1,0,7
2:00PM - 2:59PM,0,2,2,1,0,0,1,6
3:00PM - 3:59PM,0,2,1,3,0,0,0,6
4:00PM - 4:59PM,1,2,1,3,0,0,0,7
5:00PM - 5:59PM,0,4,1,1,4,2,0,12
6:00PM - 6:59PM,1,0,0,1,0,1,0,3
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
Membership Totals:,8,17,11,16,11,10,1,74
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,0,2,1,2,3,0,8
7:00AM - 7:59AM,0,2,3,3,1,1,0,10
8:00AM - 8:59AM,0,3,1,1,3,1,0,9
9:00AM - 9:59AM,0,4,1,1,1,2,0,9
10:00AM - 10:59AM,0,6,4,4,1,4,0,19
11:00AM - 11:59AM,0,5,2,5,2,4,0,18
12:00PM - 12:59PM,3,2,0,4,2,3,7,21
1:00PM - 1:59PM,1,1,1,1,2,2,3,11
2:00PM - 2:59PM,3,1,2,2,3,1,1,13
3:00PM - 3:59PM,1,5,1,0,2,1,1,11
4:00PM - 4:59PM,4,4,7,4,3,5,1,28
5:00PM - 5:59PM,2,9,7,8,11,4,2,43
6:00PM - 6:59PM,2,13,10,9,8,4,1,47
7:00PM - 7:59PM,1,1,0,2,2,1,1,8
Membership Totals:,17,56,41,45,43,36,17,255
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,2,2,3,3,0,10
7:00AM - 7:59AM,0,2,3,1,1,1,0,8
8:00AM - 8:59AM,0,0,1,1,0,0,0,2
9:00AM - 9:59AM,0,3,3,2,1,3,0,12
10:00AM - 10:59AM,0,2,6,5,4,2,0,19
11:00AM - 11:59AM,0,4,1,6,3,5,0,19
12:00PM - 12:59PM,4,1,2,1,0,0,3,11
1:00PM - 1:59PM,7,0,1,4,1,0,3,16
2:00PM - 2:59PM,1,4,6,4,3,2,2,22
3:00PM - 3:59PM,7,6,3,4,8,5,3,36
4:00PM - 4:59PM,1,7,5,1,3,4,2,23
5:00PM - 5:59PM,2,7,3,8,10,3,4,37
6:00PM - 6:59PM,0,3,1,6,2,4,1,17
7:00PM - 7:59PM,0,2,2,1,3,1,1,10
Membership Totals:,22,41,39,46,42,33,19,242
Membership Type: Community Membership,,,,,,,,
1:00PM - 1:59PM,0,0,1,0,0,0,0,1
5:00PM - 5:59PM,0,1,0,0,0,0,1,2
Membership Totals:,0,1,1,0,0,0,1,3
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,11,11,14,18,9,0,63
7:00AM - 7:59AM,0,14,12,12,13,10,0,61
8:00AM - 8:59AM,0,25,35,20,23,22,0,125
9:00AM - 9:59AM,0,30,27,28,28,21,0,134
10:00AM - 10:59AM,0,33,36,45,30,36,0,180
11:00AM - 11:59AM,0,55,40,59,20,55,0,229
12:00PM - 12:59PM,33,56,50,34,23,35,67,298
1:00PM - 1:59PM,24,33,39,43,24,47,27,237
2:00PM - 2:59PM,29,42,35,17,29,28,25,205
3:00PM - 3:59PM,35,68,55,45,33,37,22,295
4:00PM - 4:59PM,26,60,78,65,72,48,14,363
5:00PM - 5:59PM,36,100,108,72,77,45,34,472
6:00PM - 6:59PM,32,70,64,71,57,40,30,364
7:00PM - 7:59PM,12,17,15,16,10,8,10,88
Membership Totals:,227,614,605,541,457,441,229,3114
Membership Type: Current Student 1,,,,,,,,
9:00AM - 9:59AM,0,0,0,1,1,1,0,3
1:00PM - 1:59PM,2,0,0,0,0,0,0,2
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
3:00PM - 3:59PM,0,2,0,0,1,0,0,3
4:00PM - 4:59PM,0,0,1,0,0,0,0,1
5:00PM - 5:59PM,0,0,1,0,0,0,0,1
Membership Totals:,2,2,2,2,2,1,0,11
Membership Type: NCU ,,,,,,,,
12:00PM - 12:59PM,0,0,0,0,0,0,1,1
4:00PM - 4:59PM,0,0,0,1,1,0,0,2
Membership Totals:,0,0,0,1,1,0,1,3
Membership Type: PE & Rec Staff,,,,,,,,
6:00AM - 6:59AM,0,2,1,3,1,0,0,7
7:00AM - 7:59AM,0,2,0,2,1,2,0,7
8:00AM - 8:59AM,0,2,6,2,2,3,0,15
9:00AM - 9:59AM,0,1,2,1,0,2,0,6
10:00AM - 10:59AM,0,2,2,6,3,2,0,15
11:00AM - 11:59AM,0,1,2,1,2,2,0,8
12:00PM - 12:59PM,1,0,1,1,2,2,2,9
1:00PM - 1:59PM,0,2,1,2,3,1,2,11
2:00PM - 2:59PM,2,2,2,1,1,1,0,9
3:00PM - 3:59PM,1,3,2,5,1,0,0,12
4:00PM - 4:59PM,1,3,0,5,4,0,2,15
5:00PM - 5:59PM,0,3,1,3,3,1,1,12
6:00PM - 6:59PM,2,3,2,2,0,1,0,10
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
Membership Totals:,7,27,22,34,23,17,7,137
Totals:,283,758,721,685,579,538,275,3839
"Mon, Feb 3 2025 11:33A",,,,,,,,Page: 1/1
