Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 10, 2019 12:00 AM to Sun, Jun 16, 2019 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
7:00AM - 7:59AM,0,1,3,3,0,0,0,7
8:00AM - 8:59AM,0,1,2,2,2,0,0,7
9:00AM - 9:59AM,0,1,0,0,0,1,0,2
10:00AM - 10:59AM,0,2,2,1,1,2,0,8
11:00AM - 11:59AM,0,2,3,2,1,3,0,11
12:00PM - 12:59PM,0,3,0,0,0,2,0,5
1:00PM - 1:59PM,0,0,0,0,0,1,1,2
2:00PM - 2:59PM,1,0,1,0,1,0,0,3
3:00PM - 3:59PM,0,1,1,2,1,1,1,7
4:00PM - 4:59PM,0,0,1,6,0,1,1,9
5:00PM - 5:59PM,1,2,3,2,8,0,0,16
6:00PM - 6:59PM,0,4,2,2,2,0,0,10
8:00PM - 8:59PM,0,2,0,0,0,0,0,2
9:00PM - 9:59PM,0,0,0,1,0,0,0,1
Membership Totals:,2,19,18,21,16,11,3,90
Membership Type: Alumni Members,,,,,,,,
5:00AM - 5:59AM,0,1,0,0,0,0,0,1
6:00AM - 6:59AM,0,4,6,3,6,4,0,23
7:00AM - 7:59AM,0,2,2,1,2,3,0,10
8:00AM - 8:59AM,0,2,1,3,0,2,0,8
9:00AM - 9:59AM,0,2,2,3,0,4,0,11
10:00AM - 10:59AM,0,4,0,6,1,4,0,15
11:00AM - 11:59AM,0,0,2,0,1,2,0,5
12:00PM - 12:59PM,5,1,2,2,0,2,2,14
1:00PM - 1:59PM,4,1,0,1,2,1,0,9
2:00PM - 2:59PM,0,1,3,3,4,0,0,11
3:00PM - 3:59PM,0,6,5,1,4,3,1,20
4:00PM - 4:59PM,1,5,2,2,3,2,0,15
5:00PM - 5:59PM,2,4,4,7,4,3,4,28
6:00PM - 6:59PM,3,5,5,4,4,1,0,22
7:00PM - 7:59PM,1,1,1,1,1,2,0,7
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
9:00PM - 9:59PM,0,4,2,2,0,0,0,8
Membership Totals:,16,43,37,40,32,33,7,208
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,3,3,3,2,2,0,13
7:00AM - 7:59AM,0,0,1,3,1,1,0,6
8:00AM - 8:59AM,0,3,3,4,5,3,0,18
9:00AM - 9:59AM,0,0,3,0,0,1,0,4
10:00AM - 10:59AM,0,2,1,1,3,3,0,10
11:00AM - 11:59AM,0,2,6,3,1,3,0,15
12:00PM - 12:59PM,3,5,3,5,3,1,5,25
1:00PM - 1:59PM,2,2,2,1,3,0,3,13
2:00PM - 2:59PM,0,1,2,7,3,3,3,19
3:00PM - 3:59PM,1,2,1,2,3,6,1,16
4:00PM - 4:59PM,0,5,5,2,3,3,3,21
5:00PM - 5:59PM,1,4,4,6,4,5,2,26
