Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 17, 2019 12:00 AM to Sun, Jun 23, 2019 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,1,1,1,6,3,0,12
11:00AM - 11:59AM,0,1,1,2,0,1,0,5
12:00PM - 12:59PM,0,1,0,1,2,2,0,6
1:00PM - 1:59PM,0,1,1,0,1,1,0,4
2:00PM - 2:59PM,0,0,1,1,1,1,0,4
3:00PM - 3:59PM,0,0,0,2,0,1,0,3
4:00PM - 4:59PM,0,0,0,2,1,1,0,4
5:00PM - 5:59PM,0,3,3,0,2,4,0,12
6:00PM - 6:59PM,0,2,2,1,5,0,0,10
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,10,9,10,18,14,0,61
Membership Type: Alumni Members,,,,,,,,
10:00AM - 10:59AM,0,3,5,2,3,7,0,20
11:00AM - 11:59AM,0,4,1,2,4,3,0,14
12:00PM - 12:59PM,0,0,3,0,0,1,0,4
1:00PM - 1:59PM,0,1,1,1,2,0,0,5
2:00PM - 2:59PM,0,1,0,0,1,1,0,3
3:00PM - 3:59PM,0,2,2,3,2,1,0,10
4:00PM - 4:59PM,0,2,1,2,6,6,0,17
5:00PM - 5:59PM,0,3,4,6,5,4,0,22
6:00PM - 6:59PM,0,2,5,2,2,6,0,17
7:00PM - 7:59PM,0,2,2,4,2,1,0,11
Membership Totals:,0,20,24,22,27,30,0,123
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,10,7,1,4,6,0,28
11:00AM - 11:59AM,0,4,3,5,4,6,0,22
12:00PM - 12:59PM,0,3,6,3,3,2,0,17
1:00PM - 1:59PM,0,3,1,8,2,1,0,15
2:00PM - 2:59PM,0,4,9,2,6,4,0,25
3:00PM - 3:59PM,0,0,5,0,3,3,0,11
4:00PM - 4:59PM,0,2,5,5,5,3,0,20
5:00PM - 5:59PM,0,6,6,4,6,4,0,26
6:00PM - 6:59PM,0,7,8,8,6,4,0,33
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,39,51,36,39,33,0,198
Membership Type: Current Student,,,,,,,,
9:00AM - 9:59AM,0,0,0,2,2,2,0,6
10:00AM - 10:59AM,0,34,47,60,47,34,0,222
11:00AM - 11:59AM,0,30,46,50,39,41,0,206
12:00PM - 12:59PM,0,37,43,32,36,33,0,181
1:00PM - 1:59PM,0,22,35,28,28,27,0,140
2:00PM - 2:59PM,0,21,47,30,34,46,0,178
3:00PM - 3:59PM,0,30,40,38,54,52,0,214
4:00PM - 4:59PM,0,28,47,63,59,51,0,248
5:00PM - 5:59PM,0,61,80,68,103,74,0,386
6:00PM - 6:59PM,0,61,68,67,60,49,0,305
7:00PM - 7:59PM,0,13,20,11,16,8,0,68
