Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 4, 2019 12:00 AM to Sun, Mar 10, 2019 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,2,1,3,1,0,7
7:00AM - 7:59AM,0,0,0,0,1,2,0,3
8:00AM - 8:59AM,0,1,3,0,0,3,0,7
9:00AM - 9:59AM,0,2,0,0,1,1,0,4
10:00AM - 10:59AM,0,1,0,2,0,0,3,6
11:00AM - 11:59AM,2,2,0,2,0,2,0,8
12:00PM - 12:59PM,0,0,1,1,4,1,0,7
1:00PM - 1:59PM,0,0,0,0,0,1,0,1
2:00PM - 2:59PM,1,1,1,0,0,1,0,4
3:00PM - 3:59PM,0,0,1,2,3,1,1,8
4:00PM - 4:59PM,0,0,2,0,2,0,1,5
5:00PM - 5:59PM,1,4,2,1,3,2,0,13
6:00PM - 6:59PM,0,0,1,3,6,0,0,10
7:00PM - 7:59PM,1,0,0,2,2,1,0,6
9:00PM - 9:59PM,0,0,0,0,0,1,0,1
10:00PM - 10:59PM,0,0,0,0,1,0,0,1
Membership Totals:,5,11,13,14,26,17,5,91
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,6,6,4,5,3,0,24
7:00AM - 7:59AM,0,1,1,0,4,3,0,9
8:00AM - 8:59AM,0,0,1,1,1,2,0,5
9:00AM - 9:59AM,0,2,2,1,1,2,0,8
10:00AM - 10:59AM,5,0,0,1,0,2,7,15
11:00AM - 11:59AM,3,2,2,4,2,0,1,14
12:00PM - 12:59PM,3,1,1,2,1,4,1,13
1:00PM - 1:59PM,3,2,0,2,2,1,2,12
2:00PM - 2:59PM,1,1,1,1,3,4,0,11
3:00PM - 3:59PM,4,2,7,3,2,2,2,22
4:00PM - 4:59PM,2,4,6,8,10,4,3,37
5:00PM - 5:59PM,1,5,6,9,4,4,3,32
6:00PM - 6:59PM,6,3,2,5,8,4,4,32
7:00PM - 7:59PM,4,8,6,5,4,1,2,30
8:00PM - 8:59PM,2,4,2,1,3,1,1,14
9:00PM - 9:59PM,0,1,1,2,1,0,1,6
10:00PM - 10:59PM,1,0,1,0,1,1,2,6
11:00PM - 11:59PM,0,0,1,1,0,1,0,3
Membership Totals:,35,42,46,50,52,39,29,293
Membership Type: Class MTWTh,,,,,,,,
9:00AM - 9:59AM,0,1,0,1,1,0,0,3
10:00AM - 10:59AM,0,0,1,0,0,0,0,1
1:00PM - 1:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,1,1,1,2,0,0,5
Membership Type: Class MW,,,,,,,,
10:00AM - 10:59AM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Club Sport Fencing - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
6:00PM - 6:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,2,0,0,0,0,0,2
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,0,0,0,1,0,1
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
2:00PM - 2:59PM,1,0,0,0,0,0,0,1
5:00PM - 5:59PM,0,0,0,0,1,0,0,1
6:00PM - 6:59PM,0,0,1,0,0,0,0,1
Membership Totals:,1,0,1,0,1,0,0,3
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,1,2,1,5,3,0,12
7:00AM - 7:59AM,0,0,0,0,1,2,0,3
8:00AM - 8:59AM,0,4,1,0,2,0,0,7
9:00AM - 9:59AM,0,2,2,1,2,8,0,15
10:00AM - 10:59AM,1,0,1,3,4,0,2,11
11:00AM - 11:59AM,1,1,1,2,6,2,4,17
12:00PM - 12:59PM,3,0,1,2,3,2,0,11
1:00PM - 1:59PM,3,3,5,2,2,2,2,19
2:00PM - 2:59PM,3,4,4,5,8,6,4,34
3:00PM - 3:59PM,6,1,1,1,3,6,4,22
4:00PM - 4:59PM,5,2,2,1,9,1,1,21
5:00PM - 5:59PM,6,5,12,6,5,2,5,41
6:00PM - 6:59PM,2,6,2,2,9,3,2,26
7:00PM - 7:59PM,2,3,4,1,4,2,1,17
8:00PM - 8:59PM,0,2,6,2,1,1,0,12
9:00PM - 9:59PM,1,2,4,1,2,2,1,13
10:00PM - 10:59PM,1,4,3,1,0,1,1,11
11:00PM - 11:59PM,0,0,1,0,0,1,0,2
Membership Totals:,34,40,52,31,66,44,27,294
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,0,1,1,1,0,3
6:00AM - 6:59AM,0,90,73,96,156,45,0,460
7:00AM - 7:59AM,0,74,49,79,60,64,0,326
8:00AM - 8:59AM,0,185,168,157,163,55,0,728
9:00AM - 9:59AM,0,315,241,262,211,105,0,1134
10:00AM - 10:59AM,121,211,202,175,235,156,156,1256
11:00AM - 11:59AM,113,299,322,303,356,203,126,1722
12:00PM - 12:59PM,157,238,246,208,231,232,145,1457
1:00PM - 1:59PM,121,313,273,293,288,213,130,1631
2:00PM - 2:59PM,137,285,198,296,203,253,155,1527
3:00PM - 3:59PM,141,322,303,283,313,239,145,1746
4:00PM - 4:59PM,150,279,224,239,232,231,160,1515
5:00PM - 5:59PM,149,313,311,313,321,259,138,1804
6:00PM - 6:59PM,192,269,283,324,321,189,121,1699
7:00PM - 7:59PM,117,240,269,302,232,105,100,1365
8:00PM - 8:59PM,131,173,176,233,180,88,60,1041
9:00PM - 9:59PM,88,167,154,156,115,84,52,816
10:00PM - 10:59PM,64,74,62,82,85,49,59,475
11:00PM - 11:59PM,12,18,15,13,13,10,2,83
Membership Totals:,1693,3865,3569,3815,3716,2581,1549,20788
Membership Type: Faculty/Staff,,,,,,,,
5:00AM - 5:59AM,0,0,0,1,1,1,0,3
6:00AM - 6:59AM,0,7,4,8,6,2,0,27
7:00AM - 7:59AM,0,10,10,2,8,7,0,37
8:00AM - 8:59AM,0,9,8,7,8,4,0,36
9:00AM - 9:59AM,0,8,6,6,7,5,0,32
10:00AM - 10:59AM,9,5,7,6,6,3,7,43
11:00AM - 11:59AM,5,37,30,22,34,12,1,141
12:00PM - 12:59PM,4,18,11,19,18,17,4,91
1:00PM - 1:59PM,4,9,6,5,6,5,0,35
2:00PM - 2:59PM,1,8,7,6,4,3,5,34
3:00PM - 3:59PM,2,5,13,7,9,9,5,50
4:00PM - 4:59PM,3,9,12,11,9,5,3,52
5:00PM - 5:59PM,7,20,24,21,25,10,4,111
6:00PM - 6:59PM,1,6,9,4,7,5,5,37
7:00PM - 7:59PM,0,3,6,1,4,0,1,15
8:00PM - 8:59PM,1,0,1,1,0,2,1,6
