Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Aug 5, 2019 12:00 AM to Sun, Aug 11, 2019 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,2,0,0,0,0,2
9:00AM - 9:59AM,0,0,0,0,0,2,0,2
10:00AM - 10:59AM,0,0,1,1,2,1,0,5
11:00AM - 11:59AM,0,1,1,2,2,0,0,6
12:00PM - 12:59PM,1,1,0,1,2,1,0,6
1:00PM - 1:59PM,1,0,2,0,1,0,0,4
2:00PM - 2:59PM,0,0,1,0,0,0,0,1
3:00PM - 3:59PM,0,0,0,1,0,0,1,2
4:00PM - 4:59PM,1,1,1,0,0,3,0,6
5:00PM - 5:59PM,1,4,3,4,2,4,0,18
6:00PM - 6:59PM,1,2,1,2,1,0,0,7
Membership Totals:,5,9,12,11,10,11,1,59
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,8,8,4,5,3,0,28
7:00AM - 7:59AM,0,1,2,2,2,1,0,8
8:00AM - 8:59AM,0,0,2,1,0,2,0,5
9:00AM - 9:59AM,0,2,1,3,0,3,0,9
10:00AM - 10:59AM,0,2,4,1,1,3,0,11
11:00AM - 11:59AM,0,3,1,3,0,2,0,9
12:00PM - 12:59PM,5,3,2,3,1,2,2,18
1:00PM - 1:59PM,3,1,0,2,1,1,2,10
2:00PM - 2:59PM,1,4,1,2,1,1,1,11
3:00PM - 3:59PM,4,1,2,3,6,5,2,23
4:00PM - 4:59PM,3,2,2,2,0,4,2,15
5:00PM - 5:59PM,0,9,7,10,11,7,3,47
6:00PM - 6:59PM,4,7,3,5,5,6,2,32
7:00PM - 7:59PM,0,0,6,1,0,2,1,10
Membership Totals:,20,43,41,42,33,42,15,236
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,6,4,3,0,2,0,15
7:00AM - 7:59AM,0,0,0,0,1,1,0,2
8:00AM - 8:59AM,0,3,1,0,1,2,0,7
9:00AM - 9:59AM,0,0,1,2,2,1,0,6
10:00AM - 10:59AM,0,2,2,2,2,1,0,9
11:00AM - 11:59AM,0,2,4,5,2,4,0,17
12:00PM - 12:59PM,5,2,1,2,4,1,5,20
1:00PM - 1:59PM,2,1,0,0,3,3,2,11
2:00PM - 2:59PM,2,3,4,1,2,1,3,16
3:00PM - 3:59PM,3,3,5,3,2,2,2,20
4:00PM - 4:59PM,1,8,9,4,5,5,3,35
5:00PM - 5:59PM,5,8,9,9,3,4,3,41
6:00PM - 6:59PM,0,3,3,1,8,1,3,19
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,18,41,43,33,35,28,21,219
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,8,8,10,6,7,0,39
7:00AM - 7:59AM,0,11,10,3,12,11,0,47
