Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jan 27, 2020 12:00 AM to Sun, Feb 2, 2020 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,2,1,2,0,0,6
7:00AM - 7:59AM,0,0,2,0,0,3,0,5
8:00AM - 8:59AM,0,1,1,1,0,0,0,3
9:00AM - 9:59AM,0,0,0,1,2,0,0,3
10:00AM - 10:59AM,1,0,1,1,1,2,5,11
11:00AM - 11:59AM,1,1,0,2,2,2,2,10
12:00PM - 12:59PM,0,4,1,3,1,3,0,12
1:00PM - 1:59PM,2,4,0,0,0,1,2,9
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
3:00PM - 3:59PM,3,1,2,1,2,1,0,10
4:00PM - 4:59PM,1,2,3,2,3,1,0,12
5:00PM - 5:59PM,1,4,4,1,3,1,0,14
6:00PM - 6:59PM,0,4,1,0,0,1,0,6
7:00PM - 7:59PM,0,1,2,0,0,0,0,3
8:00PM - 8:59PM,0,0,1,1,0,0,0,2
Membership Totals:,9,23,20,15,16,15,9,107
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,9,7,5,6,5,0,32
7:00AM - 7:59AM,0,2,0,1,1,2,0,6
8:00AM - 8:59AM,0,1,3,1,1,5,0,11
9:00AM - 9:59AM,0,2,1,1,3,2,0,9
10:00AM - 10:59AM,4,1,0,11,2,4,6,28
11:00AM - 11:59AM,5,2,1,3,4,4,3,22
12:00PM - 12:59PM,3,3,2,2,2,1,1,14
1:00PM - 1:59PM,2,4,1,4,0,1,4,16
2:00PM - 2:59PM,2,1,6,1,3,4,2,19
3:00PM - 3:59PM,0,3,3,0,1,2,2,11
4:00PM - 4:59PM,1,2,5,2,2,0,1,13
5:00PM - 5:59PM,0,9,4,4,4,2,0,23
6:00PM - 6:59PM,0,6,5,4,6,2,1,24
7:00PM - 7:59PM,0,1,1,4,1,0,3,10
8:00PM - 8:59PM,2,1,0,1,2,0,0,6
9:00PM - 9:59PM,1,2,1,0,0,0,0,4
10:00PM - 10:59PM,1,1,1,2,1,2,1,9
11:00PM - 11:59PM,1,0,1,0,0,0,0,2
Membership Totals:,22,50,42,46,39,36,24,259
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,1,0,0,0,1,0,2
Membership Totals:,0,1,0,0,0,1,0,2
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,0,1,1,0,0,2
7:00PM - 7:59PM,0,1,2,1,1,0,0,5
Membership Totals:,0,1,2,2,2,0,0,7
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
6:00PM - 6:59PM,0,1,0,1,0,0,0,2
Membership Totals:,0,1,0,1,0,1,0,3
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,0,0,0,0,0,1
7:00PM - 7:59PM,0,0,0,0,2,0,0,2
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,1,0,1,2,0,0,4
Membership Type: Community Membership,,,,,,,,
5:00AM - 5:59AM,0,0,0,0,1,0,0,1
6:00AM - 6:59AM,0,11,5,7,5,4,0,32
7:00AM - 7:59AM,0,0,1,3,0,2,0,6
8:00AM - 8:59AM,0,3,3,0,1,3,0,10
9:00AM - 9:59AM,0,2,4,2,2,2,0,12
10:00AM - 10:59AM,6,2,3,6,4,5,7,33
11:00AM - 11:59AM,2,5,5,3,4,3,5,27
12:00PM - 12:59PM,2,1,5,0,2,0,2,12
1:00PM - 1:59PM,5,4,1,2,2,3,4,21
2:00PM - 2:59PM,2,6,2,3,4,3,5,25
3:00PM - 3:59PM,7,2,5,2,6,5,5,32
