Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Oct 26, 2020 12:00 AM to Sun, Nov 1, 2020 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,5,4,1,3,6,0,19
7:00AM - 7:59AM,0,3,3,0,3,3,0,12
8:00AM - 8:59AM,0,1,0,2,1,2,0,6
9:00AM - 9:59AM,0,0,1,2,2,1,0,6
10:00AM - 10:59AM,2,0,4,2,1,0,1,10
11:00AM - 11:59AM,3,2,5,3,5,2,3,23
12:00PM - 12:59PM,0,4,0,4,0,3,3,14
1:00PM - 1:59PM,1,1,4,2,1,0,1,10
2:00PM - 2:59PM,3,2,1,6,0,1,5,18
3:00PM - 3:59PM,1,4,2,2,4,2,0,15
4:00PM - 4:59PM,1,1,4,4,3,6,1,20
5:00PM - 5:59PM,0,3,5,2,3,1,2,16
6:00PM - 6:59PM,0,0,2,2,1,1,0,6
7:00PM - 7:59PM,0,0,0,2,0,0,0,2
Membership Totals:,11,26,35,34,27,28,16,177
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,71,65,49,57,37,0,279
7:00AM - 7:59AM,0,59,64,49,51,36,0,259
8:00AM - 8:59AM,0,66,86,91,56,55,0,354
9:00AM - 9:59AM,0,110,142,109,113,58,0,532
10:00AM - 10:59AM,54,94,146,104,128,107,106,739
11:00AM - 11:59AM,46,86,99,69,73,80,69,522
12:00PM - 12:59PM,47,114,129,116,114,99,68,687
1:00PM - 1:59PM,43,104,99,106,86,84,84,606
2:00PM - 2:59PM,69,163,142,123,117,129,94,837
3:00PM - 3:59PM,81,164,152,127,113,119,72,828
4:00PM - 4:59PM,104,192,157,190,179,125,105,1052
5:00PM - 5:59PM,48,155,141,147,121,87,48,747
6:00PM - 6:59PM,0,164,191,203,148,82,0,788
7:00PM - 7:59PM,0,36,37,32,24,9,0,138
Membership Totals:,492,1578,1650,1515,1380,1107,646,8368
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,1,1,1,1,1,0,5
Membership Totals:,0,1,1,1,1,1,0,5
Membership Type: Faculty/Staff,,,,,,,,
10:00AM - 10:59AM,0,1,0,1,0,0,0,2
11:00AM - 11:59AM,0,1,0,1,0,1,0,3
12:00PM - 12:59PM,0,0,1,0,0,1,0,2
4:00PM - 4:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,2,1,2,1,2,0,8
Membership Type: PE & Rec Staff,,,,,,,,
9:00AM - 9:59AM,0,0,0,1,0,0,0,1
11:00AM - 11:59AM,0,1,1,0,0,0,1,3
1:00PM - 1:59PM,1,0,0,0,0,0,0,1
2:00PM - 2:59PM,0,0,0,1,1,0,0,2
3:00PM - 3:59PM,0,0,0,0,1,0,0,1
4:00PM - 4:59PM,0,1,0,0,0,0,0,1
Membership Totals:,1,2,1,2,2,0,1,9
Totals:,504,1609,1688,1554,1411,1138,663,8567
"Mon, Feb 10 2025 10:05A",,,,,,,,Page: 1/1
