Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Dec 30, 2019 12:00 AM to Sun, Jan 5, 2020 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,0,0,0,4,5,0,9
11:00AM - 11:59AM,0,0,0,0,3,4,0,7
12:00PM - 12:59PM,0,0,0,0,1,2,0,3
1:00PM - 1:59PM,0,0,0,0,1,0,0,1
2:00PM - 2:59PM,0,0,0,0,0,1,0,1
3:00PM - 3:59PM,0,0,0,0,0,1,0,1
5:00PM - 5:59PM,0,0,0,0,3,4,0,7
6:00PM - 6:59PM,0,0,0,0,1,3,0,4
7:00PM - 7:59PM,1,0,0,0,0,0,0,1
11:00PM - 11:59PM,1,0,0,0,0,0,0,1
Membership Totals:,2,0,0,0,13,20,0,35
Membership Type: Alumni Members,,,,,,,,
9:00AM - 9:59AM,0,0,0,0,0,1,0,1
10:00AM - 10:59AM,0,0,0,0,3,6,0,9
11:00AM - 11:59AM,0,0,0,0,4,3,0,7
12:00PM - 12:59PM,0,0,0,0,2,3,0,5
1:00PM - 1:59PM,0,0,0,0,3,2,0,5
2:00PM - 2:59PM,0,0,0,0,2,3,0,5
3:00PM - 3:59PM,0,0,0,0,0,1,0,1
4:00PM - 4:59PM,0,0,0,0,5,3,0,8
5:00PM - 5:59PM,0,0,0,0,5,4,0,9
6:00PM - 6:59PM,9,0,0,0,2,2,0,13
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
8:00PM - 8:59PM,1,0,0,0,0,0,0,1
Membership Totals:,10,0,0,0,27,28,0,65
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,0,0,0,2,4,0,6
11:00AM - 11:59AM,0,0,0,0,3,1,0,4
12:00PM - 12:59PM,0,0,0,0,4,1,0,5
1:00PM - 1:59PM,0,0,0,0,4,1,0,5
2:00PM - 2:59PM,0,0,0,0,3,2,0,5
3:00PM - 3:59PM,0,0,0,0,2,6,0,8
4:00PM - 4:59PM,0,0,0,0,1,1,0,2
5:00PM - 5:59PM,0,0,0,0,1,3,0,4
6:00PM - 6:59PM,6,0,0,0,1,2,0,9
7:00PM - 7:59PM,1,0,0,0,0,1,0,2
9:00PM - 9:59PM,3,0,0,0,0,0,0,3
10:00PM - 10:59PM,2,0,0,0,0,0,0,2
Membership Totals:,12,0,0,0,21,22,0,55
Membership Type: Current Student,,,,,,,,
9:00AM - 9:59AM,0,0,0,0,1,1,0,2
10:00AM - 10:59AM,0,0,0,0,43,54,0,97
11:00AM - 11:59AM,0,0,0,0,32,50,0,82
12:00PM - 12:59PM,0,0,0,0,41,42,0,83
1:00PM - 1:59PM,0,0,0,0,25,29,0,54
2:00PM - 2:59PM,8,0,0,0,27,35,0,70
3:00PM - 3:59PM,0,0,0,0,37,43,0,80
