Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 28, 2021 12:00 AM to Sun, Jul 4, 2021 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,2,1,0,4
7:00AM - 7:59AM,0,0,0,0,1,0,0,1
8:00AM - 8:59AM,0,1,1,0,0,0,0,2
9:00AM - 9:59AM,0,0,0,1,0,0,0,1
10:00AM - 10:59AM,0,0,1,1,1,2,0,5
11:00AM - 11:59AM,0,0,3,1,2,1,0,7
12:00PM - 12:59PM,0,0,0,1,0,1,4,6
2:00PM - 2:59PM,0,0,0,0,1,0,0,1
3:00PM - 3:59PM,0,2,1,0,0,0,1,4
4:00PM - 4:59PM,0,1,0,0,0,0,2,3
5:00PM - 5:59PM,0,0,1,0,1,3,0,5
6:00PM - 6:59PM,0,1,0,0,0,1,0,2
Membership Totals:,0,5,8,4,8,9,7,41
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,0,2,0,2,0,0,4
7:00AM - 7:59AM,0,1,0,0,0,0,0,1
8:00AM - 8:59AM,0,0,0,0,0,1,0,1
9:00AM - 9:59AM,0,2,2,3,0,2,0,9
10:00AM - 10:59AM,0,2,1,2,2,2,0,9
11:00AM - 11:59AM,0,1,0,3,0,1,0,5
12:00PM - 12:59PM,0,1,1,0,1,2,5,10
1:00PM - 1:59PM,0,3,0,1,0,1,1,6
2:00PM - 2:59PM,0,0,0,0,0,2,0,2
3:00PM - 3:59PM,0,2,3,2,2,1,1,11
4:00PM - 4:59PM,0,3,0,1,1,1,0,6
5:00PM - 5:59PM,0,2,1,1,0,0,0,4
6:00PM - 6:59PM,0,0,5,1,2,1,0,9
Membership Totals:,0,17,15,14,10,14,7,77
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,6,8,9,6,2,0,31
7:00AM - 7:59AM,0,14,13,18,9,4,0,58
8:00AM - 8:59AM,0,0,5,4,1,4,0,14
9:00AM - 9:59AM,0,9,6,7,8,4,0,34
10:00AM - 10:59AM,0,18,13,11,10,7,0,59
11:00AM - 11:59AM,0,5,5,5,7,12,0,34
12:00PM - 12:59PM,0,16,12,23,12,7,15,85
1:00PM - 1:59PM,0,8,7,5,5,18,6,49
2:00PM - 2:59PM,0,5,6,2,4,4,13,34
3:00PM - 3:59PM,0,13,21,12,16,9,7,78
4:00PM - 4:59PM,0,24,25,18,12,10,2,91
5:00PM - 5:59PM,0,7,9,10,10,6,0,42
6:00PM - 6:59PM,0,21,11,10,14,9,0,65
7:00PM - 7:59PM,0,0,0,0,1,2,0,3
Membership Totals:,0,146,141,134,115,98,43,677
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,0,1,1,0,0,0,2
