Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, May 3, 2021 12:00 AM to Sun, May 9, 2021 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,0,0,0,1,0,1
Membership Type: Current Student,,,,,,,,
7:00AM - 7:59AM,0,39,24,40,23,0,0,126
8:00AM - 8:59AM,0,24,32,35,22,0,0,113
9:00AM - 9:59AM,11,62,81,64,76,0,0,294
10:00AM - 10:59AM,70,73,88,92,63,4,106,496
11:00AM - 11:59AM,44,40,40,38,42,43,65,312
12:00PM - 12:59PM,38,75,81,74,64,75,59,466
1:00PM - 1:59PM,66,46,41,51,28,90,68,390
2:00PM - 2:59PM,54,37,40,38,41,75,53,338
3:00PM - 3:59PM,50,50,64,51,57,75,49,396
4:00PM - 4:59PM,75,43,40,31,36,101,72,398
5:00PM - 5:59PM,2,24,34,37,31,63,1,192
6:00PM - 6:59PM,0,50,57,39,33,48,0,227
7:00PM - 7:59PM,0,4,9,8,8,21,0,50
8:00PM - 8:59PM,0,0,0,0,0,17,0,17
Membership Totals:,410,567,631,598,524,612,473,3815
Membership Type: PE & Rec Staff,,,,,,,,
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
10:00AM - 10:59AM,0,0,1,0,2,0,0,3
11:00AM - 11:59AM,0,1,0,0,0,0,0,1
12:00PM - 12:59PM,0,0,0,0,1,0,0,1
1:00PM - 1:59PM,0,0,0,0,0,1,0,1
3:00PM - 3:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,2,1,1,3,1,0,8
Membership Type: Spring 2021 - Faculty/Staff GX Turnstile Access,,,,,,,,
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
11:00AM - 11:59AM,0,1,2,1,2,1,0,7
2:00PM - 2:59PM,0,0,0,0,0,1,0,1
3:00PM - 3:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,2,3,1,2,2,0,10
Membership Type: Student Off Term,,,,,,,,
10:00AM - 10:59AM,0,1,1,1,1,0,0,4
11:00AM - 11:59AM,1,0,0,0,1,2,1,5
6:00PM - 6:59PM,0,0,0,0,0,1,0,1
Membership Totals:,1,1,1,1,2,3,1,10
Totals:,411,572,636,601,531,619,474,3844
"Mon, Feb 10 2025 10:26A",,,,,,,,Page: 1/1
