Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, May 17, 2021 12:00 AM to Sun, May 23, 2021 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,2,0,1,0,0,0,3
Membership Totals:,0,2,0,1,0,0,0,3
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,0,0,0,7,0,7
6:00AM - 6:59AM,0,51,52,58,50,36,0,247
7:00AM - 7:59AM,0,78,74,86,63,44,0,345
8:00AM - 8:59AM,0,88,77,79,73,53,0,370
9:00AM - 9:59AM,0,100,108,97,98,44,0,447
10:00AM - 10:59AM,86,88,118,94,92,47,86,611
11:00AM - 11:59AM,46,90,73,79,72,68,70,498
12:00PM - 12:59PM,49,124,123,128,102,87,54,667
1:00PM - 1:59PM,51,94,105,105,86,84,69,594
2:00PM - 2:59PM,54,77,88,80,68,97,57,521
3:00PM - 3:59PM,54,113,104,86,97,45,64,563
4:00PM - 4:59PM,79,107,121,105,115,67,61,655
5:00PM - 5:59PM,1,137,133,123,123,53,12,582
6:00PM - 6:59PM,0,104,129,108,83,34,0,458
7:00PM - 7:59PM,0,17,21,10,6,18,0,72
8:00PM - 8:59PM,0,0,0,0,0,16,0,16
Membership Totals:,420,1268,1326,1238,1128,800,473,6653
Membership Type: PE & Rec Staff,,,,,,,,
9:00AM - 9:59AM,0,0,0,0,0,1,0,1
10:00AM - 10:59AM,0,0,1,0,2,0,0,3
11:00AM - 11:59AM,0,0,0,0,0,1,0,1
1:00PM - 1:59PM,0,0,1,0,0,0,0,1
2:00PM - 2:59PM,0,0,0,0,0,0,1,1
3:00PM - 3:59PM,0,1,0,1,0,0,0,2
Membership Totals:,0,1,2,1,2,2,1,9
Membership Type: Spring 2021 - Faculty/Staff GX Turnstile Access,,,,,,,,
8:00AM - 8:59AM,0,1,0,0,0,1,0,2
11:00AM - 11:59AM,0,1,1,1,2,1,0,6
3:00PM - 3:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,2,2,1,2,2,0,9
Membership Type: Student Off Term,,,,,,,,
10:00AM - 10:59AM,0,1,1,1,1,1,0,5
11:00AM - 11:59AM,1,2,0,0,0,0,1,4
12:00PM - 12:59PM,0,1,0,1,1,0,0,3
1:00PM - 1:59PM,0,2,1,1,1,0,0,5
4:00PM - 4:59PM,0,0,1,0,0,1,0,2
5:00PM - 5:59PM,0,0,0,1,0,0,0,1
6:00PM - 6:59PM,0,1,1,0,1,0,0,3
Membership Totals:,1,7,4,4,4,2,1,23
Totals:,421,1280,1334,1245,1136,806,475,6697
"Mon, Feb 10 2025 10:27A",,,,,,,,Page: 1/1
