Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Sep 13, 2021 12:00 AM to Sun, Sep 19, 2021 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
8:00AM - 8:59AM,0,1,0,0,1,0,0,2
2:00PM - 2:59PM,0,1,0,1,1,0,0,3
3:00PM - 3:59PM,0,0,0,0,2,1,0,3
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,3,0,1,4,2,0,10
Membership Type: Alumni Members,,,,,,,,
8:00AM - 8:59AM,0,2,1,0,1,1,0,5
9:00AM - 9:59AM,0,2,2,2,3,3,0,12
10:00AM - 10:59AM,0,2,2,2,1,1,0,8
11:00AM - 11:59AM,0,1,0,1,0,0,0,2
12:00PM - 12:59PM,0,0,1,1,0,1,0,3
1:00PM - 1:59PM,0,0,1,1,0,0,0,2
2:00PM - 2:59PM,0,1,2,0,2,3,0,8
3:00PM - 3:59PM,0,4,0,1,0,1,0,6
4:00PM - 4:59PM,0,0,3,3,2,1,0,9
5:00PM - 5:59PM,0,2,1,0,0,0,0,3
Membership Totals:,0,14,13,11,9,11,0,58
Membership Type: Community Membership,,,,,,,,
8:00AM - 8:59AM,0,1,1,0,1,0,0,3
9:00AM - 9:59AM,0,1,0,4,1,2,0,8
10:00AM - 10:59AM,0,3,3,1,2,1,0,10
11:00AM - 11:59AM,0,2,3,0,1,1,0,7
12:00PM - 12:59PM,0,0,0,0,3,0,0,3
1:00PM - 1:59PM,0,0,0,2,0,0,0,2
2:00PM - 2:59PM,0,0,3,1,0,2,0,6
3:00PM - 3:59PM,0,1,2,0,2,2,0,7
4:00PM - 4:59PM,0,3,3,3,0,2,0,11
5:00PM - 5:59PM,0,3,3,2,1,0,0,9
Membership Totals:,0,14,18,13,11,10,0,66
Membership Type: Current Student,,,,,,,,
7:00AM - 7:59AM,0,1,0,0,0,0,0,1
8:00AM - 8:59AM,0,14,11,38,39,27,0,129
9:00AM - 9:59AM,0,20,19,51,35,39,0,164
10:00AM - 10:59AM,0,24,50,51,56,48,0,229
11:00AM - 11:59AM,0,27,64,41,82,41,0,255
12:00PM - 12:59PM,0,23,40,64,73,48,0,248
1:00PM - 1:59PM,0,17,25,62,51,49,0,204
2:00PM - 2:59PM,0,18,42,38,32,69,0,199
3:00PM - 3:59PM,0,17,51,52,49,75,0,244
4:00PM - 4:59PM,0,28,61,62,40,58,0,249
5:00PM - 5:59PM,0,20,32,19,21,38,0,130
Membership Totals:,0,209,395,478,478,492,0,2052
Membership Type: Dependent/Spouse,,,,,,,,
8:00AM - 8:59AM,0,1,0,1,0,0,0,2
9:00AM - 9:59AM,0,1,0,0,1,1,0,3
11:00AM - 11:59AM,0,0,0,0,1,1,0,2
