Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, May 30, 2022 12:00 AM to Sun, Jun 5, 2022 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,2,2,2,0,6
7:00AM - 7:59AM,0,0,0,1,3,2,0,6
8:00AM - 8:59AM,0,0,1,0,0,2,0,3
9:00AM - 9:59AM,0,0,2,0,0,3,0,5
10:00AM - 10:59AM,0,0,1,1,4,5,0,11
11:00AM - 11:59AM,0,0,2,2,1,1,0,6
12:00PM - 12:59PM,8,0,2,2,0,3,6,21
1:00PM - 1:59PM,2,0,1,0,1,0,2,6
2:00PM - 2:59PM,1,0,0,1,0,2,3,7
3:00PM - 3:59PM,1,0,4,0,1,0,0,6
4:00PM - 4:59PM,0,0,1,0,0,0,1,2
5:00PM - 5:59PM,1,0,0,1,0,0,2,4
6:00PM - 6:59PM,0,0,0,0,2,0,1,3
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
8:00PM - 8:59PM,0,0,0,0,1,0,0,1
9:00PM - 9:59PM,0,0,0,2,0,0,0,2
Membership Totals:,13,0,14,12,16,20,15,90
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,0,3,4,2,3,0,12
7:00AM - 7:59AM,0,0,1,1,2,1,0,5
8:00AM - 8:59AM,0,0,0,1,1,0,0,2
9:00AM - 9:59AM,0,0,1,7,0,0,0,8
10:00AM - 10:59AM,0,0,0,2,2,2,0,6
11:00AM - 11:59AM,0,0,0,2,0,5,0,7
12:00PM - 12:59PM,2,0,1,0,0,2,6,11
1:00PM - 1:59PM,2,0,2,0,0,0,3,7
2:00PM - 2:59PM,3,0,1,1,0,1,0,6
3:00PM - 3:59PM,2,0,4,1,0,4,1,12
4:00PM - 4:59PM,3,0,2,4,2,2,1,14
5:00PM - 5:59PM,1,0,1,8,3,1,1,15
6:00PM - 6:59PM,1,0,0,4,7,3,2,17
7:00PM - 7:59PM,1,0,0,0,1,1,1,4
8:00PM - 8:59PM,0,0,0,0,1,1,0,2
9:00PM - 9:59PM,0,0,0,1,1,0,0,2
Membership Totals:,15,0,16,36,22,26,15,130
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,0,3,5,2,3,0,13
7:00AM - 7:59AM,0,0,2,0,4,1,0,7
8:00AM - 8:59AM,0,0,1,2,1,2,0,6
9:00AM - 9:59AM,0,0,1,1,4,2,0,8
10:00AM - 10:59AM,0,0,5,5,2,3,0,15
11:00AM - 11:59AM,0,0,5,4,4,3,0,16
12:00PM - 12:59PM,8,0,2,2,2,1,9,24
1:00PM - 1:59PM,5,0,1,3,1,2,5,17
2:00PM - 2:59PM,0,0,2,1,1,1,2,7
3:00PM - 3:59PM,2,0,4,3,4,2,4,19
4:00PM - 4:59PM,2,0,5,3,1,5,4,20
5:00PM - 5:59PM,3,0,0,1,1,5,0,10
6:00PM - 6:59PM,2,0,0,0,4,2,3,11
7:00PM - 7:59PM,1,0,0,5,0,2,0,8
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
9:00PM - 9:59PM,0,0,0,0,1,0,0,1
10:00PM - 10:59PM,0,0,0,0,1,0,0,1
Membership Totals:,23,0,31,36,33,34,27,184
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,2,0,0,0,0,2
6:00AM - 6:59AM,0,0,67,77,56,34,0,234
7:00AM - 7:59AM,0,0,85,104,48,38,0,275
8:00AM - 8:59AM,0,0,156,209,138,79,0,582
9:00AM - 9:59AM,0,0,218,248,205,82,0,753
10:00AM - 10:59AM,0,0,284,251,275,107,0,917
11:00AM - 11:59AM,0,0,261,285,272,176,0,994
12:00PM - 12:59PM,240,0,205,216,185,153,280,1279
1:00PM - 1:59PM,156,0,235,214,208,171,119,1103
2:00PM - 2:59PM,129,0,241,200,181,155,177,1083
3:00PM - 3:59PM,130,0,333,212,159,203,165,1202
4:00PM - 4:59PM,130,0,241,207,183,211,164,1136
5:00PM - 5:59PM,115,0,34,243,199,150,136,877
6:00PM - 6:59PM,120,0,0,249,178,129,89,765
