Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Apr 25, 2022 12:00 AM to Sun, May 1, 2022 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,1,0,0,0,2
7:00AM - 7:59AM,0,1,1,3,1,2,0,8
8:00AM - 8:59AM,0,1,0,0,0,2,0,3
9:00AM - 9:59AM,2,1,1,3,1,0,1,9
10:00AM - 10:59AM,3,1,0,0,1,2,2,9
11:00AM - 11:59AM,0,1,1,0,0,1,0,3
12:00PM - 12:59PM,0,0,0,2,1,1,3,7
1:00PM - 1:59PM,4,0,0,0,0,1,0,5
2:00PM - 2:59PM,0,0,0,0,0,1,3,4
3:00PM - 3:59PM,0,0,1,3,1,1,1,7
4:00PM - 4:59PM,0,2,0,1,2,0,2,7
5:00PM - 5:59PM,0,1,1,0,1,0,0,3
6:00PM - 6:59PM,1,0,2,0,4,2,0,9
7:00PM - 7:59PM,0,2,3,2,2,3,0,12
8:00PM - 8:59PM,0,0,0,1,1,0,0,2
9:00PM - 9:59PM,0,2,2,0,0,0,0,4
10:00PM - 10:59PM,0,0,1,0,0,0,0,1
Membership Totals:,10,12,14,16,15,16,12,95
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,4,1,4,2,0,13
7:00AM - 7:59AM,0,2,0,2,1,1,0,6
8:00AM - 8:59AM,0,1,0,1,0,2,0,4
9:00AM - 9:59AM,1,2,2,1,2,1,5,14
10:00AM - 10:59AM,1,0,1,1,1,2,2,8
11:00AM - 11:59AM,3,1,0,2,3,4,1,14
12:00PM - 12:59PM,1,1,1,1,1,3,4,12
1:00PM - 1:59PM,1,0,1,1,0,0,3,6
2:00PM - 2:59PM,1,1,2,0,0,0,0,4
3:00PM - 3:59PM,1,0,1,0,2,1,3,8
4:00PM - 4:59PM,1,6,4,3,3,2,1,20
5:00PM - 5:59PM,2,6,5,6,7,1,1,28
6:00PM - 6:59PM,0,4,3,6,1,2,0,16
7:00PM - 7:59PM,1,2,1,1,3,3,1,12
8:00PM - 8:59PM,0,0,1,2,0,1,0,4
9:00PM - 9:59PM,0,3,0,1,0,0,0,4
Membership Totals:,13,31,26,29,28,25,21,173
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,0,0,0,1,0,1
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,1,0,2
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,1,5,3,4,4,0,17
7:00AM - 7:59AM,0,0,0,0,2,1,0,3
8:00AM - 8:59AM,0,0,1,1,0,2,0,4
9:00AM - 9:59AM,7,2,1,1,2,0,2,15
10:00AM - 10:59AM,3,4,6,2,1,2,2,20
11:00AM - 11:59AM,2,3,2,4,2,2,3,18
12:00PM - 12:59PM,2,3,1,3,2,4,5,20
1:00PM - 1:59PM,1,4,3,1,0,1,3,13
2:00PM - 2:59PM,2,1,2,1,0,0,0,6
3:00PM - 3:59PM,2,3,1,2,1,2,2,13
4:00PM - 4:59PM,0,3,6,1,2,6,3,21
5:00PM - 5:59PM,1,6,4,2,5,2,1,21
6:00PM - 6:59PM,0,2,6,5,1,0,1,15
7:00PM - 7:59PM,0,6,1,3,4,2,2,18
8:00PM - 8:59PM,0,1,3,2,2,0,0,8
9:00PM - 9:59PM,0,2,0,1,0,0,0,3
10:00PM - 10:59PM,0,0,0,1,0,0,0,1
Membership Totals:,20,41,42,33,28,28,24,216
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,73,86,99,56,58,0,372
7:00AM - 7:59AM,0,131,116,133,112,46,0,538
8:00AM - 8:59AM,0,214,209,215,155,106,0,899
9:00AM - 9:59AM,62,264,233,260,229,109,123,1280
10:00AM - 10:59AM,83,227,303,269,285,170,97,1434
11:00AM - 11:59AM,86,290,339,285,307,193,115,1615
12:00PM - 12:59PM,102,283,262,257,225,212,149,1490
1:00PM - 1:59PM,96,254,247,252,257,178,161,1445
2:00PM - 2:59PM,93,262,227,244,208,169,193,1396
3:00PM - 3:59PM,117,263,328,235,287,176,178,1584
4:00PM - 4:59PM,129,276,220,248,229,202,103,1407
5:00PM - 5:59PM,146,314,276,316,270,212,123,1657
6:00PM - 6:59PM,147,277,300,367,261,125,88,1565
7:00PM - 7:59PM,134,242,247,271,214,112,96,1316
8:00PM - 8:59PM,39,203,203,199,135,31,32,842
9:00PM - 9:59PM,0,165,132,135,108,0,0,540
10:00PM - 10:59PM,0,27,29,23,32,0,0,111
Membership Totals:,1234,3765,3757,3808,3370,2099,1458,19491
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,0,2,0,1,0,0,3
8:00AM - 8:59AM,0,2,0,1,1,1,0,5
9:00AM - 9:59AM,2,1,2,2,2,3,1,13
10:00AM - 10:59AM,1,2,2,1,1,0,0,7
11:00AM - 11:59AM,0,2,2,2,2,0,2,10
12:00PM - 12:59PM,0,2,1,2,1,1,0,7
1:00PM - 1:59PM,2,1,1,2,0,0,2,8
2:00PM - 2:59PM,1,2,2,1,1,1,2,10
3:00PM - 3:59PM,0,1,0,1,0,1,2,5
4:00PM - 4:59PM,2,1,1,1,2,3,1,11
5:00PM - 5:59PM,0,1,1,2,2,1,0,7
6:00PM - 6:59PM,0,2,3,1,0,0,0,6
7:00PM - 7:59PM,0,1,0,0,1,1,0,3
8:00PM - 8:59PM,0,0,1,0,1,0,1,3
9:00PM - 9:59PM,0,0,0,2,0,0,0,2
10:00PM - 10:59PM,0,1,1,0,0,0,0,2
Membership Totals:,8,19,19,18,15,12,11,102
Membership Type: Faculty/Staff,,,,,,,,
