Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Nov 28, 2022 12:00 AM to Sun, Dec 4, 2022 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,2,1,0,0,2,0,5
7:00AM - 7:59AM,0,0,0,1,0,2,0,3
8:00AM - 8:59AM,0,1,1,1,0,0,0,3
9:00AM - 9:59AM,2,2,1,1,1,0,2,9
10:00AM - 10:59AM,2,3,2,3,4,2,0,16
11:00AM - 11:59AM,2,2,3,3,0,5,2,17
12:00PM - 12:59PM,2,5,1,2,1,0,1,12
1:00PM - 1:59PM,0,0,0,1,0,0,0,1
2:00PM - 2:59PM,1,1,0,0,1,0,2,5
3:00PM - 3:59PM,1,0,2,1,0,3,0,7
4:00PM - 4:59PM,1,3,0,3,0,2,0,9
5:00PM - 5:59PM,2,1,1,2,0,5,2,13
6:00PM - 6:59PM,1,0,0,3,2,1,2,9
7:00PM - 7:59PM,1,0,0,1,1,2,0,5
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
Membership Totals:,15,21,12,22,10,24,11,115
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,4,4,1,3,2,0,14
7:00AM - 7:59AM,0,1,0,2,0,2,0,5
8:00AM - 8:59AM,0,0,1,2,0,2,0,5
9:00AM - 9:59AM,3,2,1,1,0,2,1,10
10:00AM - 10:59AM,2,5,3,3,2,2,2,19
11:00AM - 11:59AM,0,1,0,2,2,4,0,9
12:00PM - 12:59PM,0,2,1,4,1,1,1,10
1:00PM - 1:59PM,1,2,1,0,0,3,1,8
2:00PM - 2:59PM,4,0,4,3,1,1,3,16
3:00PM - 3:59PM,0,1,3,1,1,0,2,8
4:00PM - 4:59PM,0,4,6,5,2,3,1,21
5:00PM - 5:59PM,1,6,1,2,2,1,3,16
6:00PM - 6:59PM,0,3,3,3,2,4,3,18
7:00PM - 7:59PM,0,1,3,1,1,0,2,8
8:00PM - 8:59PM,0,0,0,0,1,0,1,2
9:00PM - 9:59PM,0,1,1,0,0,0,0,2
Membership Totals:,11,33,32,30,18,27,20,171
Membership Type: Bushnell ,,,,,,,,
10:00AM - 10:59AM,0,1,0,0,0,0,0,1
11:00AM - 11:59AM,0,1,0,0,0,0,0,1
7:00PM - 7:59PM,0,0,0,0,0,1,0,1
8:00PM - 8:59PM,0,0,0,0,0,1,0,1
9:00PM - 9:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,2,1,0,0,2,0,5
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,2,0,0,0,0,2
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,2,0,1,0,0,3
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,1,1,1,0,0,4
