Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jul 10, 2023 12:00 AM to Sun, Jul 16, 2023 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,3,1,0,5
7:00AM - 7:59AM,0,0,0,4,0,0,0,4
8:00AM - 8:59AM,0,0,3,1,1,4,0,9
9:00AM - 9:59AM,0,0,0,1,1,2,0,4
10:00AM - 10:59AM,0,4,0,0,1,1,0,6
11:00AM - 11:59AM,0,3,3,3,1,5,0,15
12:00PM - 12:59PM,0,1,2,2,2,1,1,9
1:00PM - 1:59PM,0,2,0,0,1,3,1,7
2:00PM - 2:59PM,0,0,0,0,0,3,1,4
3:00PM - 3:59PM,0,0,0,0,1,1,3,5
4:00PM - 4:59PM,0,5,0,3,0,0,0,8
5:00PM - 5:59PM,0,0,0,3,2,0,0,5
6:00PM - 6:59PM,0,1,2,1,0,0,0,4
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,17,10,19,13,21,6,86
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,0,5,2,3,0,12
7:00AM - 7:59AM,0,0,0,1,0,0,0,1
8:00AM - 8:59AM,0,0,0,0,0,2,0,2
9:00AM - 9:59AM,0,1,1,1,0,3,0,6
10:00AM - 10:59AM,0,2,0,3,1,0,0,6
11:00AM - 11:59AM,0,4,1,3,1,4,0,13
12:00PM - 12:59PM,0,2,4,3,3,3,5,20
1:00PM - 1:59PM,0,3,2,0,1,2,4,12
2:00PM - 2:59PM,0,3,3,3,0,1,3,13
3:00PM - 3:59PM,0,2,2,3,1,1,0,9
4:00PM - 4:59PM,0,5,2,0,1,3,2,13
5:00PM - 5:59PM,0,2,6,2,4,0,0,14
6:00PM - 6:59PM,0,1,4,4,5,0,0,14
7:00PM - 7:59PM,0,2,0,2,0,0,0,4
Membership Totals:,0,29,25,30,19,22,14,139
Membership Type: Bushnell ,,,,,,,,
12:00PM - 12:59PM,0,1,0,0,0,0,0,1
2:00PM - 2:59PM,0,0,0,0,0,0,1,1
4:00PM - 4:59PM,0,0,1,0,0,0,0,1
5:00PM - 5:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,1,1,0,1,0,1,4
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,3,2,1,0,8
7:00AM - 7:59AM,0,0,3,0,1,0,0,4
8:00AM - 8:59AM,0,0,0,1,0,1,0,2
9:00AM - 9:59AM,0,3,2,0,3,0,0,8
10:00AM - 10:59AM,0,2,1,1,1,0,0,5
11:00AM - 11:59AM,0,5,6,5,2,2,0,20
12:00PM - 12:59PM,0,2,4,0,2,2,3,13
1:00PM - 1:59PM,0,2,2,2,1,1,2,10
2:00PM - 2:59PM,0,0,0,1,2,1,1,5
