Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Feb 27, 2023 12:00 AM to Sun, Mar 5, 2023 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,1,0,0,1,0,0,2
8:00AM - 8:59AM,0,1,0,0,1,0,0,2
9:00AM - 9:59AM,3,0,2,0,0,0,2,7
10:00AM - 10:59AM,3,3,1,3,4,0,0,14
11:00AM - 11:59AM,1,5,0,2,0,4,3,15
12:00PM - 12:59PM,3,0,4,2,2,4,2,17
1:00PM - 1:59PM,1,0,0,0,0,1,1,3
2:00PM - 2:59PM,3,0,2,1,0,0,2,8
3:00PM - 3:59PM,0,2,1,1,1,0,3,8
4:00PM - 4:59PM,0,0,5,3,2,0,0,10
5:00PM - 5:59PM,0,0,6,0,1,1,0,8
6:00PM - 6:59PM,1,3,0,1,2,0,0,7
7:00PM - 7:59PM,1,0,4,2,0,0,1,8
8:00PM - 8:59PM,0,0,0,0,1,0,0,1
9:00PM - 9:59PM,0,1,0,0,0,0,0,1
Membership Totals:,16,16,26,15,15,10,14,112
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,6,1,6,4,2,0,19
7:00AM - 7:59AM,0,0,3,1,1,2,0,7
8:00AM - 8:59AM,0,0,1,2,0,0,0,3
9:00AM - 9:59AM,4,2,0,3,0,2,5,16
10:00AM - 10:59AM,3,4,3,4,3,2,4,23
11:00AM - 11:59AM,2,6,4,5,3,4,1,25
12:00PM - 12:59PM,4,2,3,3,1,3,4,20
1:00PM - 1:59PM,1,3,0,0,0,1,5,10
2:00PM - 2:59PM,1,3,3,2,2,1,0,12
3:00PM - 3:59PM,4,2,3,1,0,0,2,12
4:00PM - 4:59PM,3,6,4,4,3,6,1,27
5:00PM - 5:59PM,4,4,2,7,4,7,2,30
6:00PM - 6:59PM,2,9,6,1,4,6,2,30
7:00PM - 7:59PM,1,2,3,6,1,3,2,18
8:00PM - 8:59PM,0,0,0,1,0,1,2,4
9:00PM - 9:59PM,0,0,2,1,1,0,0,4
Membership Totals:,29,49,38,47,27,40,30,260
Membership Type: Bushnell ,,,,,,,,
10:00AM - 10:59AM,0,1,0,0,0,0,0,1
11:00AM - 11:59AM,0,0,0,0,0,0,1,1
1:00PM - 1:59PM,0,0,1,0,0,0,0,1
2:00PM - 2:59PM,1,0,0,0,0,0,0,1
3:00PM - 3:59PM,1,0,0,1,0,0,0,2
4:00PM - 4:59PM,0,0,0,1,0,0,1,2
5:00PM - 5:59PM,0,0,0,0,0,0,1,1
6:00PM - 6:59PM,1,1,0,0,0,0,0,2
Membership Totals:,3,2,1,2,0,0,3,11
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,1,0,3,0,0,4
Membership Totals:,0,0,1,0,3,0,0,4
Membership Type: Club Sports - Kendo - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,0,1,1,2
Membership Totals:,0,0,0,0,0,1,1,2
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,0,1,1,0,0,3
Membership Totals:,0,1,0,1,1,0,0,3
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
7:00PM - 7:59PM,0,1,1,1,1,0,0,4
Membership Totals:,0,1,1,1,1,0,0,4
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,2,0,1,0,0,0,3
Membership Totals:,0,2,0,1,0,0,0,3
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,3,2,3,2,0,0,10
7:00AM - 7:59AM,0,2,3,5,1,1,0,12
8:00AM - 8:59AM,0,2,0,3,0,0,0,5
9:00AM - 9:59AM,3,2,4,3,2,6,9,29
10:00AM - 10:59AM,1,3,1,2,5,3,3,18
11:00AM - 11:59AM,2,6,6,2,3,5,0,24
12:00PM - 12:59PM,2,0,3,2,0,1,3,11
1:00PM - 1:59PM,0,1,0,0,1,2,2,6
2:00PM - 2:59PM,1,1,1,2,3,0,2,10
3:00PM - 3:59PM,2,9,2,4,8,3,1,29
4:00PM - 4:59PM,0,3,4,1,4,5,2,19
5:00PM - 5:59PM,3,0,3,5,4,2,1,18
6:00PM - 6:59PM,4,3,0,2,0,2,0,11
7:00PM - 7:59PM,1,2,4,5,0,1,0,13
8:00PM - 8:59PM,1,1,0,1,2,1,0,6
9:00PM - 9:59PM,0,0,1,3,1,0,0,5
Membership Totals:,20,38,34,43,36,32,23,226
Membership Type: Courtesy,,,,,,,,
10:00AM - 10:59AM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,1,0,0,0,0,1
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,1,0,1,1,0,0,3
6:00AM - 6:59AM,0,110,107,133,98,89,0,537
7:00AM - 7:59AM,0,151,151,154,126,78,0,660
8:00AM - 8:59AM,0,211,200,234,182,112,0,939
9:00AM - 9:59AM,98,269,296,253,272,150,160,1498
10:00AM - 10:59AM,79,228,289,261,271,224,111,1463
11:00AM - 11:59AM,152,292,293,337,293,200,162,1729
12:00PM - 12:59PM,180,297,224,313,247,283,175,1719
1:00PM - 1:59PM,197,296,347,308,317,234,222,1921
2:00PM - 2:59PM,206,248,328,221,287,232,184,1706
3:00PM - 3:59PM,242,404,395,339,334,298,198,2210
4:00PM - 4:59PM,251,332,446,343,337,315,164,2188
5:00PM - 5:59PM,230,436,418,475,420,259,137,2375
6:00PM - 6:59PM,197,481,492,456,375,196,112,2309
7:00PM - 7:59PM,152,394,410,317,302,156,85,1816
8:00PM - 8:59PM,34,268,213,274,243,37,22,1091
9:00PM - 9:59PM,0,163,185,177,164,0,0,689
10:00PM - 10:59PM,0,18,18,32,21,0,0,89
Membership Totals:,2018,4599,4812,4628,4290,2863,1732,24942
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,0,1,1,2,1,0,5
7:00AM - 7:59AM,0,0,0,0,1,0,0,1
8:00AM - 8:59AM,0,0,3,0,1,1,0,5
9:00AM - 9:59AM,1,1,0,2,0,0,2,6
10:00AM - 10:59AM,0,1,1,3,1,1,1,8
11:00AM - 11:59AM,0,4,3,3,0,2,1,13
12:00PM - 12:59PM,0,2,0,0,0,1,2,5
1:00PM - 1:59PM,3,0,0,1,0,1,3,8
2:00PM - 2:59PM,1,0,0,1,1,0,1,4
3:00PM - 3:59PM,0,2,1,1,2,1,0,7
