Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 13, 2023 12:00 AM to Sun, Mar 19, 2023 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
7:00AM - 7:59AM,0,0,0,1,0,2,0,3
8:00AM - 8:59AM,0,0,1,0,0,0,0,1
9:00AM - 9:59AM,2,2,0,1,0,2,2,9
10:00AM - 10:59AM,5,2,2,0,1,1,1,12
11:00AM - 11:59AM,4,4,2,4,0,3,2,19
12:00PM - 12:59PM,2,1,1,0,2,5,0,11
1:00PM - 1:59PM,2,1,0,1,0,1,1,6
2:00PM - 2:59PM,1,0,0,0,1,1,0,3
3:00PM - 3:59PM,2,3,1,3,1,1,2,13
4:00PM - 4:59PM,0,2,2,1,2,0,1,8
5:00PM - 5:59PM,3,2,4,3,2,1,0,15
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
9:00PM - 9:59PM,0,1,0,1,2,0,0,4
Membership Totals:,21,20,13,15,13,17,9,108
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,6,1,10,2,3,0,22
7:00AM - 7:59AM,0,1,4,0,0,1,0,6
8:00AM - 8:59AM,0,1,0,0,1,1,0,3
9:00AM - 9:59AM,1,2,1,3,0,1,3,11
10:00AM - 10:59AM,0,1,2,3,2,1,2,11
11:00AM - 11:59AM,3,5,3,6,7,6,2,32
12:00PM - 12:59PM,3,2,2,2,0,3,0,12
1:00PM - 1:59PM,3,2,0,1,1,2,6,15
2:00PM - 2:59PM,4,1,3,0,2,0,2,12
3:00PM - 3:59PM,2,0,2,1,5,4,0,14
4:00PM - 4:59PM,0,6,4,3,1,2,2,18
5:00PM - 5:59PM,1,3,2,3,4,1,0,14
6:00PM - 6:59PM,2,5,4,3,6,3,0,23
7:00PM - 7:59PM,1,3,3,4,1,2,2,16
8:00PM - 8:59PM,0,1,2,0,3,0,0,6
9:00PM - 9:59PM,0,1,1,1,2,0,0,5
Membership Totals:,20,40,34,40,37,30,19,220
Membership Type: Bushnell ,,,,,,,,
11:00AM - 11:59AM,0,1,0,0,0,1,0,2
6:00PM - 6:59PM,0,0,0,1,0,0,0,1
8:00PM - 8:59PM,0,0,1,0,1,0,0,2
Membership Totals:,0,1,1,1,1,1,0,5
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,2,0,0,0,0,2
6:00PM - 6:59PM,0,0,0,0,2,0,0,2
Membership Totals:,0,0,2,0,2,0,0,4
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,1,1,1,0,0,4
Membership Totals:,0,1,1,1,1,0,0,4
