Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 27, 2023 12:00 AM to Sun, Apr 2, 2023 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
11:00AM - 11:59AM,0,2,1,4,0,6,0,13
12:00PM - 12:59PM,0,2,2,3,1,3,0,11
1:00PM - 1:59PM,0,0,1,2,1,1,0,5
2:00PM - 2:59PM,0,1,0,0,0,1,0,2
3:00PM - 3:59PM,0,0,1,0,1,1,0,3
4:00PM - 4:59PM,0,2,1,0,3,1,0,7
5:00PM - 5:59PM,0,0,1,2,3,0,0,6
6:00PM - 6:59PM,0,3,1,0,1,3,0,8
7:00PM - 7:59PM,0,0,1,0,0,1,0,2
Membership Totals:,0,10,9,11,10,17,0,57
Membership Type: Alumni Members,,,,,,,,
11:00AM - 11:59AM,0,6,1,2,2,6,0,17
12:00PM - 12:59PM,0,4,4,2,2,0,0,12
1:00PM - 1:59PM,0,1,0,1,0,5,0,7
2:00PM - 2:59PM,0,0,2,1,1,2,0,6
3:00PM - 3:59PM,0,0,2,2,3,1,0,8
4:00PM - 4:59PM,0,0,0,2,0,3,0,5
5:00PM - 5:59PM,0,1,5,0,3,0,0,9
6:00PM - 6:59PM,0,3,3,5,5,4,0,20
7:00PM - 7:59PM,0,0,1,0,1,0,0,2
Membership Totals:,0,15,18,15,17,21,0,86
Membership Type: Bushnell ,,,,,,,,
11:00AM - 11:59AM,0,1,0,0,0,0,0,1
12:00PM - 12:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,1,0,0,0,1,0,2
Membership Type: Community Membership,,,,,,,,
11:00AM - 11:59AM,0,4,1,1,0,6,0,12
12:00PM - 12:59PM,0,2,0,2,0,2,0,6
1:00PM - 1:59PM,0,1,1,1,3,2,0,8
2:00PM - 2:59PM,0,1,0,5,0,2,0,8
3:00PM - 3:59PM,0,1,4,1,1,1,0,8
4:00PM - 4:59PM,0,4,1,0,1,2,0,8
5:00PM - 5:59PM,0,2,2,3,2,0,0,9
6:00PM - 6:59PM,0,0,1,0,1,1,0,3
Membership Totals:,0,15,10,13,8,16,0,62
Membership Type: Current Student,,,,,,,,
11:00AM - 11:59AM,0,43,46,27,47,37,0,200
12:00PM - 12:59PM,0,94,65,72,56,83,0,370
1:00PM - 1:59PM,0,44,49,53,40,62,0,248
2:00PM - 2:59PM,0,57,48,40,48,45,0,238
3:00PM - 3:59PM,0,50,57,35,35,56,0,233
4:00PM - 4:59PM,0,66,47,51,38,63,0,265
5:00PM - 5:59PM,0,68,55,43,56,60,0,282
6:00PM - 6:59PM,0,43,59,54,56,55,0,267
7:00PM - 7:59PM,0,6,8,15,11,12,0,52
Membership Totals:,0,471,434,390,387,473,0,2155
Membership Type: Dependent/Spouse,,,,,,,,
12:00PM - 12:59PM,0,2,0,0,0,0,0,2
1:00PM - 1:59PM,0,0,1,2,0,0,0,3
2:00PM - 2:59PM,0,1,0,0,0,0,0,1
3:00PM - 3:59PM,0,0,1,2,0,0,0,3
4:00PM - 4:59PM,0,1,0,0,0,1,0,2
5:00PM - 5:59PM,0,1,2,0,2,2,0,7
6:00PM - 6:59PM,0,3,0,3,0,0,0,6
7:00PM - 7:59PM,0,1,1,0,0,0,0,2
Membership Totals:,0,9,5,7,2,3,0,26
Membership Type: Faculty/Staff,,,,,,,,
11:00AM - 11:59AM,0,13,11,3,4,8,0,39
12:00PM - 12:59PM,0,8,7,11,8,14,0,48
1:00PM - 1:59PM,0,13,6,9,5,9,0,42
2:00PM - 2:59PM,0,6,3,5,1,7,0,22
3:00PM - 3:59PM,0,1,1,8,4,3,0,17
4:00PM - 4:59PM,0,5,5,4,3,1,0,18
5:00PM - 5:59PM,0,6,8,6,3,4,0,27
6:00PM - 6:59PM,0,4,2,3,5,5,0,19
7:00PM - 7:59PM,0,0,2,0,0,1,0,3
Membership Totals:,0,56,45,49,33,52,0,235
Membership Type: PE & Rec Staff,,,,,,,,
12:00PM - 12:59PM,0,0,0,1,0,2,0,3
1:00PM - 1:59PM,0,0,0,1,0,0,0,1
4:00PM - 4:59PM,0,1,0,0,0,0,0,1
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,2,0,2,0,2,0,6
Membership Type: Student Off Term,,,,,,,,
11:00AM - 11:59AM,0,0,1,1,0,1,0,3
12:00PM - 12:59PM,0,4,3,2,3,2,0,14
1:00PM - 1:59PM,0,1,1,2,0,2,0,6
2:00PM - 2:59PM,0,1,1,1,4,1,0,8
3:00PM - 3:59PM,0,0,0,2,0,1,0,3
4:00PM - 4:59PM,0,0,0,0,2,1,0,3
5:00PM - 5:59PM,0,1,1,0,1,1,0,4
6:00PM - 6:59PM,0,1,1,0,1,0,0,3
Membership Totals:,0,8,8,8,11,9,0,44
Totals:,0,587,529,495,468,594,0,2673
"Mon, Feb 10 2025 10:58A",,,,,,,,Page: 1/1
