Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Apr 22, 2024 12:00 AM to Sun, Apr 28, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,1,1,1,0,4
7:00AM - 7:59AM,0,0,0,1,0,0,0,1
8:00AM - 8:59AM,0,0,2,0,0,0,3,5
9:00AM - 9:59AM,0,0,0,0,0,2,0,2
10:00AM - 10:59AM,4,2,0,2,0,4,4,16
11:00AM - 11:59AM,0,1,0,4,2,1,0,8
12:00PM - 12:59PM,3,2,3,0,1,0,0,9
1:00PM - 1:59PM,1,0,1,0,0,1,0,3
2:00PM - 2:59PM,0,0,0,1,0,1,0,2
3:00PM - 3:59PM,0,2,0,0,1,3,0,6
4:00PM - 4:59PM,1,1,2,0,1,2,0,7
5:00PM - 5:59PM,1,2,1,1,1,0,0,6
6:00PM - 6:59PM,0,0,0,0,0,1,0,1
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
Membership Totals:,10,11,11,10,7,16,7,72
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,7,4,4,1,0,18
7:00AM - 7:59AM,0,0,0,0,3,1,0,4
8:00AM - 8:59AM,0,5,1,2,2,3,0,13
9:00AM - 9:59AM,2,4,4,2,0,2,5,19
10:00AM - 10:59AM,3,2,2,4,1,3,5,20
11:00AM - 11:59AM,6,2,4,1,1,3,0,17
12:00PM - 12:59PM,0,1,2,1,2,1,0,7
1:00PM - 1:59PM,3,1,1,1,2,0,0,8
2:00PM - 2:59PM,1,1,1,1,2,1,0,7
3:00PM - 3:59PM,0,1,4,2,4,2,0,13
4:00PM - 4:59PM,4,6,4,6,2,6,0,28
5:00PM - 5:59PM,0,3,3,2,4,4,0,16
6:00PM - 6:59PM,1,7,5,2,0,1,0,16
7:00PM - 7:59PM,0,1,0,0,0,1,0,2
8:00PM - 8:59PM,0,2,3,0,1,0,0,6
9:00PM - 9:59PM,0,2,1,1,2,0,0,6
Membership Totals:,20,40,42,29,30,29,10,200
Membership Type: Bushnell ,,,,,,,,
8:00AM - 8:59AM,0,0,0,0,1,0,0,1
9:00AM - 9:59AM,0,2,1,1,0,0,0,4
3:00PM - 3:59PM,1,0,0,0,1,0,0,2
5:00PM - 5:59PM,0,0,1,1,0,0,0,2
Membership Totals:,1,2,2,2,2,0,0,9
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: Club Sports - Kendo - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,0,0,0,1,0,1
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
