Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Sep 30, 2024 12:00 AM to Sun, Oct 6, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,2,0,2,4,2,0,10
7:00AM - 7:59AM,0,2,2,2,0,2,0,8
8:00AM - 8:59AM,0,0,1,0,0,1,0,2
9:00AM - 9:59AM,0,0,2,0,2,0,1,5
10:00AM - 10:59AM,1,1,1,4,0,3,6,16
11:00AM - 11:59AM,2,2,1,3,1,1,0,10
12:00PM - 12:59PM,1,2,1,1,2,1,1,9
1:00PM - 1:59PM,2,0,2,0,1,0,1,6
2:00PM - 2:59PM,0,0,0,1,0,0,1,2
3:00PM - 3:59PM,0,3,1,1,2,0,0,7
4:00PM - 4:59PM,1,3,2,1,1,0,0,8
5:00PM - 5:59PM,1,1,1,1,2,0,0,6
6:00PM - 6:59PM,0,1,0,2,3,0,1,7
7:00PM - 7:59PM,0,1,0,1,0,0,0,2
8:00PM - 8:59PM,0,0,1,1,0,0,0,2
Membership Totals:,8,18,15,20,18,10,11,100
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,4,2,0,2,0,10
7:00AM - 7:59AM,0,0,1,1,0,0,0,2
8:00AM - 8:59AM,0,0,2,1,5,0,0,8
9:00AM - 9:59AM,2,3,0,3,2,1,2,13
10:00AM - 10:59AM,3,3,2,2,0,3,3,16
11:00AM - 11:59AM,1,2,0,4,2,5,0,14
12:00PM - 12:59PM,0,4,0,2,1,2,1,10
1:00PM - 1:59PM,1,1,2,0,0,2,2,8
2:00PM - 2:59PM,1,1,0,2,1,0,2,7
3:00PM - 3:59PM,3,0,2,2,1,1,1,10
4:00PM - 4:59PM,1,9,4,5,2,1,1,23
5:00PM - 5:59PM,0,4,2,1,5,0,1,13
6:00PM - 6:59PM,1,0,2,2,1,0,1,7
7:00PM - 7:59PM,2,4,2,1,1,0,2,12
8:00PM - 8:59PM,0,0,1,0,1,0,1,3
9:00PM - 9:59PM,0,1,3,1,1,0,0,6
10:00PM - 10:59PM,0,0,0,1,0,0,0,1
Membership Totals:,15,34,27,30,23,17,17,163
Membership Type: Bushnell ,,,,,,,,
12:00PM - 12:59PM,0,0,0,1,0,0,0,1
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,1,0,0,0,2
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,1,0,0,0,0,1
Membership Type: Club Sports - Kendo - Limited Hours,,,,,,,,
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,4,2,2,2,2,0,12
7:00AM - 7:59AM,0,2,1,2,0,1,0,6
8:00AM - 8:59AM,0,2,2,1,1,0,0,6
9:00AM - 9:59AM,0,0,1,1,1,2,1,6
10:00AM - 10:59AM,0,1,2,1,1,1,1,7
11:00AM - 11:59AM,0,3,2,3,2,0,2,12
12:00PM - 12:59PM,3,2,4,1,1,2,1,14
1:00PM - 1:59PM,0,3,0,2,1,1,3,10
2:00PM - 2:59PM,1,2,1,1,2,0,1,8
3:00PM - 3:59PM,3,4,3,1,2,1,1,15
4:00PM - 4:59PM,2,1,1,5,4,0,3,16
5:00PM - 5:59PM,1,4,7,4,2,0,2,20
6:00PM - 6:59PM,0,6,3,3,3,0,1,16
7:00PM - 7:59PM,0,1,3,3,1,0,1,9
8:00PM - 8:59PM,0,2,2,2,2,0,0,8
9:00PM - 9:59PM,0,0,1,0,0,0,0,1
Membership Totals:,10,37,35,32,25,10,17,166
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,2,0,0,0,0,0,2
6:00AM - 6:59AM,0,204,167,136,89,137,0,733
7:00AM - 7:59AM,0,294,190,215,161,81,0,941
8:00AM - 8:59AM,0,351,345,341,228,152,0,1417
9:00AM - 9:59AM,125,392,351,384,334,179,124,1889
10:00AM - 10:59AM,87,375,360,320,303,215,121,1781
11:00AM - 11:59AM,112,409,437,371,355,283,158,2125
12:00PM - 12:59PM,160,351,252,268,250,231,177,1689
1:00PM - 1:59PM,160,363,380,313,320,183,221,1940
2:00PM - 2:59PM,242,345,356,301,276,160,247,1927
3:00PM - 3:59PM,208,491,448,353,343,97,261,2201
4:00PM - 4:59PM,219,508,529,434,358,13,226,2287
5:00PM - 5:59PM,230,539,638,465,403,0,228,2503
6:00PM - 6:59PM,234,505,542,564,349,0,197,2391
7:00PM - 7:59PM,138,452,397,381,293,0,140,1801
8:00PM - 8:59PM,41,359,268,228,213,0,45,1154
9:00PM - 9:59PM,0,132,97,131,127,0,0,487
10:00PM - 10:59PM,0,14,33,15,27,0,0,89
Membership Totals:,1956,6086,5790,5220,4429,1731,2145,27357
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,1,2,1,1,0,0,5
7:00AM - 7:59AM,0,0,0,0,1,0,0,1
8:00AM - 8:59AM,0,2,1,1,0,1,0,5
9:00AM - 9:59AM,1,1,1,0,1,2,0,6
10:00AM - 10:59AM,0,1,4,2,3,3,2,15
11:00AM - 11:59AM,0,1,4,2,1,3,1,12
