Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jul 29, 2024 12:00 AM to Sun, Aug 4, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,1,1,1,0,4
7:00AM - 7:59AM,0,0,0,1,0,0,0,1
8:00AM - 8:59AM,0,0,1,2,0,0,0,3
9:00AM - 9:59AM,0,2,0,0,1,0,0,3
10:00AM - 10:59AM,0,0,2,1,1,1,0,5
11:00AM - 11:59AM,0,8,0,9,0,5,0,22
12:00PM - 12:59PM,0,5,2,0,4,3,3,17
1:00PM - 1:59PM,0,2,1,0,1,2,1,7
2:00PM - 2:59PM,0,2,1,3,3,1,3,13
3:00PM - 3:59PM,0,7,0,1,3,2,0,13
4:00PM - 4:59PM,0,7,5,4,4,1,0,21
5:00PM - 5:59PM,0,4,3,4,7,4,0,22
6:00PM - 6:59PM,0,3,4,1,5,0,0,13
7:00PM - 7:59PM,0,0,0,2,0,0,0,2
Membership Totals:,0,41,19,29,30,20,7,146
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,0,1,1,2,0,7
9:00AM - 9:59AM,0,1,1,0,2,3,0,7
10:00AM - 10:59AM,0,0,1,2,2,1,0,6
11:00AM - 11:59AM,0,4,0,3,1,3,0,11
12:00PM - 12:59PM,0,3,2,3,2,0,3,13
1:00PM - 1:59PM,0,2,1,2,1,0,2,8
2:00PM - 2:59PM,0,1,1,1,0,1,2,6
3:00PM - 3:59PM,0,4,2,1,3,1,2,13
4:00PM - 4:59PM,0,3,0,1,2,1,3,10
5:00PM - 5:59PM,0,3,3,4,4,2,0,16
6:00PM - 6:59PM,0,1,8,4,3,2,0,18
7:00PM - 7:59PM,0,0,1,0,0,1,0,2
Membership Totals:,0,25,20,22,21,17,12,117
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,2,1,0,0,1,0,4
10:00AM - 10:59AM,0,0,0,0,1,0,0,1
11:00AM - 11:59AM,0,2,2,4,3,1,0,12
12:00PM - 12:59PM,0,0,3,0,0,1,1,5
1:00PM - 1:59PM,0,0,1,1,1,1,3,7
2:00PM - 2:59PM,0,1,3,1,2,0,0,7
3:00PM - 3:59PM,0,1,0,1,2,4,2,10
4:00PM - 4:59PM,0,4,2,1,1,2,0,10
5:00PM - 5:59PM,0,3,2,3,2,0,0,10
6:00PM - 6:59PM,0,3,2,3,2,0,0,10
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,16,16,15,14,10,6,77
Membership Type: Courtesy,,,,,,,,
6:00AM - 6:59AM,0,1,0,1,0,0,0,2
Membership Totals:,0,1,0,1,0,0,0,2
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,7,8,5,7,5,0,32
7:00AM - 7:59AM,0,13,13,12,14,8,0,60
8:00AM - 8:59AM,0,13,7,5,9,8,0,42
9:00AM - 9:59AM,0,9,14,6,4,14,0,47
10:00AM - 10:59AM,0,19,4,14,14,10,0,61
11:00AM - 11:59AM,0,34,23,24,17,19,0,117
12:00PM - 12:59PM,0,26,27,20,26,18,25,142
1:00PM - 1:59PM,0,16,32,20,15,8,21,112
2:00PM - 2:59PM,0,30,16,20,11,20,15,112
3:00PM - 3:59PM,0,28,21,19,24,18,18,128
